participant,date,expName,psychopyVersion,OS,frameRate,browser,xResolution,yResolution,key_resp.keys,key_resp.rt,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID
293953,2022-09-21_20h42.33.270,vts_reward_expectancy,2022.2.4,MacIntel,333.3333333,Safari,1512,982,,,,,,,,,,,,,,,,,,,,,,
293953,2022-09-21_20h42.33.270,vts_reward_expectancy,2022.2.4,MacIntel,333.3333333,Safari,1512,982,space,20.696,,,,,,,,,,,,,,,,,,,,
293953,2022-09-21_20h42.33.270,vts_reward_expectancy,2022.2.4,MacIntel,333.3333333,Safari,1512,982,,,,,,,,,,,,,,,,,,,,,,
293953,2022-09-21_20h42.33.270,vts_reward_expectancy,2022.2.4,MacIntel,333.3333333,Safari,1512,982,,,l,1.835,1,1,0,0,0,0,8,1,0,0,1,0,0,0,0,1,hexagon,star
293953,2022-09-21_20h42.33.270,vts_reward_expectancy,2022.2.4,MacIntel,333.3333333,Safari,1512,982,,,l,1.417,1,2,0,0,1,1,0,1,1,0,0,0,0,1,0,0,triangle,circle
293953,2022-09-21_20h42.33.270,vts_reward_expectancy,2022.2.4,MacIntel,333.3333333,Safari,1512,982,,,a,1.497,1,3,0,0,2,2,4,1,0,1,0,0,0,0,1,0,circle,hexagon
293953,2022-09-21_20h42.33.270,vts_reward_expectancy,2022.2.4,MacIntel,333.3333333,Safari,1512,982,,,l,1.413,10,13,0,0,3,3,11,1,0,0,0,1,0,0,1,0,star,hexagon
293953,2022-09-21_20h42.33.270,vts_reward_expectancy,2022.2.4,MacIntel,333.3333333,Safari,1512,982,,,a,0.681,1,14,0,0,4,4,6,1,0,0,1,0,1,0,0,0,hexagon,triangle
293953,2022-09-21_20h42.33.270,vts_reward_expectancy,2022.2.4,MacIntel,333.3333333,Safari,1512,982,,,l,0.746,1,15,0,0,5,5,3,1,0,1,0,0,1,0,0,0,circle,triangle
293953,2022-09-21_20h42.33.270,vts_reward_expectancy,2022.2.4,MacIntel,333.3333333,Safari,1512,982,,,a,2.253,1,16,0,0,6,6,9,1,0,0,0,1,1,0,0,0,star,triangle
293953,2022-09-21_20h42.33.270,vts_reward_expectancy,2022.2.4,MacIntel,333.3333333,Safari,1512,982,,,a,1.215,10,26,0,0,7,7,1,1,1,0,0,0,0,0,1,0,triangle,hexagon
293953,2022-09-21_20h42.33.270,vts_reward_expectancy,2022.2.4,MacIntel,333.3333333,Safari,1512,982,,,a,0.888,10,36,0,0,8,8,2,1,1,0,0,0,0,0,0,1,triangle,star
293953,2022-09-21_20h42.33.270,vts_reward_expectancy,2022.2.4,MacIntel,333.3333333,Safari,1512,982,,,l,0.665,10,46,0,0,9,9,10,1,0,0,0,1,0,1,0,0,star ,circle
293953,2022-09-21_20h42.33.270,vts_reward_expectancy,2022.2.4,MacIntel,333.3333333,Safari,1512,982,,,l,0.982,10,56,0,0,10,10,7,1,0,0,1,0,0,1,0,0,hexagon,circle
293953,2022-09-21_20h42.33.270,vts_reward_expectancy,2022.2.4,MacIntel,333.3333333,Safari,1512,982,,,a,0.542,1,57,0,0,11,11,5,1,0,1,0,0,0,0,0,1,circle,star
293953,2022-09-21_20h42.33.270,vts_reward_expectancy,2022.2.4,MacIntel,333.3333333,Safari,1512,982,,,l,0.851,1,58,0,1,0,12,0,1,1,0,0,0,0,1,0,0,triangle,circle
293953,2022-09-21_20h42.33.270,vts_reward_expectancy,2022.2.4,MacIntel,333.3333333,Safari,1512,982,,,l,0.883,1,59,0,1,1,13,3,1,0,1,0,0,1,0,0,0,circle,triangle
293953,2022-09-21_20h42.33.270,vts_reward_expectancy,2022.2.4,MacIntel,333.3333333,Safari,1512,982,,,a,1.005,10,69,0,1,2,14,5,1,0,1,0,0,0,0,0,1,circle,star
293953,2022-09-21_20h42.33.270,vts_reward_expectancy,2022.2.4,MacIntel,333.3333333,Safari,1512,982,,,a,0.972,10,79,0,1,3,15,8,1,0,0,1,0,0,0,0,1,hexagon,star
293953,2022-09-21_20h42.33.270,vts_reward_expectancy,2022.2.4,MacIntel,333.3333333,Safari,1512,982,,,l,0.71,1,80,0,1,4,16,11,1,0,0,0,1,0,0,1,0,star,hexagon
293953,2022-09-21_20h42.33.270,vts_reward_expectancy,2022.2.4,MacIntel,333.3333333,Safari,1512,982,,,a,0.753,10,90,0,1,5,17,4,1,0,1,0,0,0,0,1,0,circle,hexagon
293953,2022-09-21_20h42.33.270,vts_reward_expectancy,2022.2.4,MacIntel,333.3333333,Safari,1512,982,,,a,0.909,10,100,0,1,6,18,1,1,1,0,0,0,0,0,1,0,triangle,hexagon
