participant,date,expName,psychopyVersion,OS,frameRate,browser,xResolution,yResolution,key_resp.keys,key_resp.rt,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,curr_topStim,curr_bottStim,curr_shape,acc,E1,target_resp_prac1.keys,pracBlock,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task1_prac_trials.ran,target_resp_prac1.rt
293854,2022-09-21_15h27.00.406,vts_reward_expectancy,2022.2.4,MacIntel,120.0048002,Chrome,1728,1117,,,l,0.4593,1,191,1,0,1,1,8,1,0,0,1,0,0,0,0,1,hexagon,star,,,,,,,,,,,,,
293854,2022-09-21_15h27.00.406,vts_reward_expectancy,2022.2.4,MacIntel,120.0048002,Chrome,1728,1117,,,a,0.4577,10,201,1,0,2,2,11,1,0,0,0,1,0,0,1,0,star,hexagon,,,,,,,,,,,,,
293854,2022-09-21_15h27.00.406,vts_reward_expectancy,2022.2.4,MacIntel,120.0048002,Chrome,1728,1117,,,l,1.1247,10,211,1,0,3,3,6,1,0,0,1,0,1,0,0,0,hexagon,triangle,,,,,,,,,,,,,
293854,2022-09-21_15h27.00.406,vts_reward_expectancy,2022.2.4,MacIntel,120.0048002,Chrome,1728,1117,,,l,0.7598,10,221,1,0,4,4,4,1,0,1,0,0,0,0,1,0,circle,hexagon,,,,,,,,,,,,,
293854,2022-09-21_15h27.00.406,vts_reward_expectancy,2022.2.4,MacIntel,120.0048002,Chrome,1728,1117,,,a,0.5403,10,231,1,0,5,5,0,1,1,0,0,0,0,1,0,0,triangle,circle,,,,,,,,,,,,,
293854,2022-09-21_15h27.00.406,vts_reward_expectancy,2022.2.4,MacIntel,120.0048002,Chrome,1728,1117,,,l,0.5998,10,241,1,0,6,6,3,1,0,1,0,0,1,0,0,0,circle,triangle,,,,,,,,,,,,,
293854,2022-09-21_15h27.00.406,vts_reward_expectancy,2022.2.4,MacIntel,120.0048002,Chrome,1728,1117,,,a,0.4077,10,251,1,0,7,7,10,1,0,0,0,1,0,1,0,0,star ,circle,,,,,,,,,,,,,
293854,2022-09-21_15h27.00.406,vts_reward_expectancy,2022.2.4,MacIntel,120.0048002,Chrome,1728,1117,,,l,0.4858,1,252,1,0,8,8,1,1,1,0,0,0,0,0,1,0,triangle,hexagon,,,,,,,,,,,,,
293854,2022-09-21_15h27.00.406,vts_reward_expectancy,2022.2.4,MacIntel,120.0048002,Chrome,1728,1117,,,a,0.6504,10,262,1,0,9,9,7,1,0,0,1,0,0,1,0,0,hexagon,circle,,,,,,,,,,,,,
293854,2022-09-21_15h27.00.406,vts_reward_expectancy,2022.2.4,MacIntel,120.0048002,Chrome,1728,1117,,,l,1.4844,10,272,1,0,10,10,2,1,1,0,0,0,0,0,0,1,triangle,star,,,,,,,,,,,,,
