participant,date,expName,psychopyVersion,OS,frameRate,browser,xResolution,yResolution,key_resp.keys,key_resp.rt,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,curr_topStim,curr_bottStim,curr_shape,acc,E1,target_resp_prac1.keys,pracBlock,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task1_prac_trials.ran,target_resp_prac1.rt
292843,2022-09-21_16h46.43.032,vts_reward_expectancy,2022.2.4,Win32,59.83008257,Chrome,1504,1003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292843,2022-09-21_16h46.43.032,vts_reward_expectancy,2022.2.4,Win32,59.83008257,Chrome,1504,1003,space,39.0502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292843,2022-09-21_16h46.43.032,vts_reward_expectancy,2022.2.4,Win32,59.83008257,Chrome,1504,1003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292843,2022-09-21_16h46.43.032,vts_reward_expectancy,2022.2.4,Win32,59.83008257,Chrome,1504,1003,,,a,2.4418,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,triangle,circle,,,,,,,,,,,,,
292843,2022-09-21_16h46.43.032,vts_reward_expectancy,2022.2.4,Win32,59.83008257,Chrome,1504,1003,,,a,1.3836,1,2,0,0,1,1,1,1,1,0,0,0,0,0,1,0,triangle,hexagon,,,,,,,,,,,,,
292843,2022-09-21_16h46.43.032,vts_reward_expectancy,2022.2.4,Win32,59.83008257,Chrome,1504,1003,,,a,0.7407,10,12,0,0,2,2,6,1,0,0,1,0,1,0,0,0,hexagon,triangle,,,,,,,,,,,,,
292843,2022-09-21_16h46.43.032,vts_reward_expectancy,2022.2.4,Win32,59.83008257,Chrome,1504,1003,,,a,1.0079,1,13,0,0,3,3,11,1,0,0,0,1,0,0,1,0,star,hexagon,,,,,,,,,,,,,
292843,2022-09-21_16h46.43.032,vts_reward_expectancy,2022.2.4,Win32,59.83008257,Chrome,1504,1003,,,a,1.3885,10,23,0,0,4,4,7,1,0,0,1,0,0,1,0,0,hexagon,circle,,,,,,,,,,,,,
292843,2022-09-21_16h46.43.032,vts_reward_expectancy,2022.2.4,Win32,59.83008257,Chrome,1504,1003,,,a,1.8224,1,24,0,0,5,5,2,1,1,0,0,0,0,0,0,1,triangle,star,,,,,,,,,,,,,
292843,2022-09-21_16h46.43.032,vts_reward_expectancy,2022.2.4,Win32,59.83008257,Chrome,1504,1003,,,a,1.1542,1,25,0,0,6,6,9,1,0,0,0,1,1,0,0,0,star,triangle,,,,,,,,,,,,,
292843,2022-09-21_16h46.43.032,vts_reward_expectancy,2022.2.4,Win32,59.83008257,Chrome,1504,1003,,,l,1.8834,10,35,0,0,7,7,4,1,0,1,0,0,0,0,1,0,circle,hexagon,,,,,,,,,,,,,
