LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,fix.started,training_feedback_txt.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,top_target_prac1.stopped,tgt_fix_prac1.stopped,bott_target_prac1.stopped,target_resp_prac1.stopped,acc,E1,target_resp_prac1.keys,pracBlock,prac_fback_text.started,prac_fback_text.stopped,fix.stopped,target_resp_prac1.rt,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,17.47708632098511,space,24.764842991018668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34124,2022-11-07_14h01.39.495,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.05055691387439,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,0,0,0,2,,,,,,,,,,,,71.00188579619862,71.00188579619862,71.00188579619862,71.00188579619862,71.00188579619862,71.00188579619862,71.00188579619862,71.00188579619862,71.00188579619862,71.00188579619862,a,2.2458621507976204,1,1,0,73.26992624299601,74.77178018097766,,,,,,,,,,,,,,,,,,,,,,34124,2022-11-07_14h01.39.495,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.05055691387439,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,0,1,1,9,,,,,,,,,,,,75.27246962301433,75.27246962301433,75.27246962301433,75.27246962301433,75.27246962301433,75.27246962301433,75.27246962301433,75.27246962301433,75.27246962301433,75.27246962301433,l,1.7343163299374282,10,11,0,77.02499267319217,78.52584834909067,78.52584834909067,,,,,,,,,,,,,,,,,,,,,34124,2022-11-07_14h01.39.495,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.05055691387439,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,0,2,2,3,,,,,,,,,,,,79.02673500496894,79.02673500496894,79.02673500496894,79.02673500496894,79.02673500496894,79.02673500496894,79.02673500496894,79.02673500496894,79.02673500496894,79.02673500496894,l,0.6578919889871031,1,12,0,79.71078795916401,81.21249889000319,,,,,,,,,,,,,,,,,,,,,,34124,2022-11-07_14h01.39.495,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.05055691387439,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,0,3,3,8,,,,,,,,,,,,81.71292821597308,81.71292821597308,81.71292821597308,81.71292821597308,81.71292821597308,81.71292821597308,81.71292821597308,81.71292821597308,81.71292821597308,81.71292821597308,a,1.6373787061311305,10,22,0,83.38132978603244,84.88297891011462,,,,,,,,,,,,,,,,,,,,,,34124,2022-11-07_14h01.39.495,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.05055691387439,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,0,4,4,7,,,,,,,,,,,,85.38346647610888,85.38346647610888,85.38346647610888,85.38346647610888,85.38346647610888,85.38346647610888,85.38346647610888,85.38346647610888,85.38346647610888,85.38346647610888,a,0.9265326040331274,1,23,0,86.33445409615524,87.83618041803129,87.83618041803129,,,,,,,,,,,,,,,,,,,,,34124,2022-11-07_14h01.39.495,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.05055691387439,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,0,5,5,11,,,,,,,,,,,,88.33676555310376,88.33676555310376,88.33676555310376,88.33676555310376,88.33676555310376,88.33676555310376,88.33676555310376,88.33676555310376,88.33676555310376,88.33676555310376,l,0.9096232717856765,10,33,0,89.27120540500619,90.77281375019811,,,,,,,,,,,,,,,,,,,,,,34124,2022-11-07_14h01.39.495,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.05055691387439,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,0,6,6,1,,,,,,,,,,,,91.27357424097136,91.27357424097136,91.27357424097136,91.27357424097136,91.27357424097136,91.27357424097136,91.27357424097136,91.27357424097136,91.27357424097136,91.27357424097136,a,1.2922505110036582,1,34,0,92.59175251796842,94.09320006403141,,,,,,,,,,,,,,,,,,,,,,34124,2022-11-07_14h01.39.495,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.05055691387439,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,0,7,7,6,,,,,,,,,,,,94.593575255014,94.593575255014,94.593575255014,94.593575255014,94.593575255014,94.593575255014,94.593575255014,94.593575255014,94.593575255014,94.593575255014,a,1.212219286011532,1,35,0,95.82833173405379,97.33007148606703,,,,,,,,,,,,,,,,,,,,,,34124,2022-11-07_14h01.39.495,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.05055691387439,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,0,8,8,5,,,,,,,,,,,,97.83037730911747,97.83037730911747,97.83037730911747,97.83037730911747,97.83037730911747,97.83037730911747,97.83037730911747,97.83037730911747,97.83037730911747,97.83037730911747,a,0.55187654402107,10,45,0,98.41438225912862,99.91622727015056,,,,,,,,,,,,,,,,,,,,,,34124,2022-11-07_14h01.39.495,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.05055691387439,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,0,9,9,0,,,,,,,,,,,,100.41662657610141,100.41662657610141,100.41662657610141,100.41662657610141,100.41662657610141,100.41662657610141,100.41662657610141,100.41662657610141,100.41662657610141,100.41662657610141,l,0.49655267293564975,10,55,0,100.93400768912397,102.43567076115869,,,,,,,,,,,,,,,,,,,,,,34124,2022-11-07_14h01.39.495,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.05055691387439,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,0,10,10,4,,,,,,,,,,,,102.93620201898739,102.93620201898739,102.93620201898739,102.93620201898739,102.93620201898739,102.93620201898739,102.93620201898739,102.93620201898739,102.93620201898739,102.93620201898739,a,0.520438252016902,10,65,0,103.4866972961463,104.988458288135,,,,,,,,,,,,,,,,,,,,,,34124,2022-11-07_14h01.39.495,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.05055691387439,
