LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,fix.started,training_feedback_txt.stopped,fix.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,top_target_prac1.stopped,bott_target_prac1.stopped,target_resp_prac1.stopped,acc,E1,target_resp_prac1.keys,pracBlock,prac_fback_text.started,target_resp_prac1.rt,prac_fback_text.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,13.439287008950487,space,24.55917558609508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13699,2022-11-10_13h52.18.329,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.07443784462158,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,0,0,0,7,,,,,,,,,,,,61.223149514058605,61.223149514058605,61.223149514058605,61.223149514058605,61.223149514058605,61.223149514058605,61.223149514058605,61.223149514058605,61.223149514058605,61.223149514058605,a,1.527419910999015,10,10,0,62.78231267398223,64.29721452505328,,,,,,,,,,,,,,,,,,,,,13699,2022-11-10_13h52.18.329,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.07443784462158,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,0,1,1,11,,,,,,,,,,,,64.7973755269777,64.7973755269777,64.7973755269777,64.7973755269777,64.7973755269777,64.7973755269777,64.7973755269777,64.7973755269777,64.7973755269777,64.7973755269777,a,0.8888398880371824,1,11,0,65.71512032696046,67.2154508830281,,,,,,,,,,,,,,,,,,,,,13699,2022-11-10_13h52.18.329,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.07443784462158,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,0,2,2,3,,,,,,,,,,,,67.71744024404325,67.71744024404325,67.71744024404325,67.71744024404325,67.71744024404325,67.71744024404325,67.71744024404325,67.71744024404325,67.71744024404325,67.71744024404325,a,1.2771504160482436,1,12,0,69.01767670398112,70.51824263599701,70.51824263599701,71.0184538459871,,,,,,,,,,,,,,,,,,,13699,2022-11-10_13h52.18.329,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.07443784462158,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,0,3,3,8,,,,,,,,,,,,71.0184538459871,71.0184538459871,71.0184538459871,71.0184538459871,71.0184538459871,71.0184538459871,71.0184538459871,71.0184538459871,71.0184538459871,71.0184538459871,a,1.4640898610232398,10,22,0,72.50464496505447,74.00442380597815,74.00442380597815,74.50471400702372,,,,,,,,,,,,,,,,,,,13699,2022-11-10_13h52.18.329,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.07443784462158,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,0,4,4,4,,,,,,,,,,,,74.50471400702372,74.50471400702372,74.50471400702372,74.50471400702372,74.50471400702372,74.50471400702372,74.50471400702372,74.50471400702372,74.50471400702372,74.50471400702372,l,1.0932480989722535,10,32,0,75.6219323379919,77.12259075103793,77.12259075103793,,,,,,,,,,,,,,,,,,,,13699,2022-11-10_13h52.18.329,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.07443784462158,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,0,5,5,1,,,,,,,,,,,,77.62465812300798,77.62465812300798,77.62465812300798,77.62465812300798,77.62465812300798,77.62465812300798,77.62465812300798,77.62465812300798,77.62465812300798,77.62465812300798,l,1.4731155469780788,10,42,0,79.12498564994894,80.62555467698257,80.62555467698257,,,,,,,,,,,,,,,,,,,,13699,2022-11-10_13h52.18.329,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.07443784462158,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,0,6,6,6,,,,,,,,,,,,81.12563905096613,81.12563905096613,81.12563905096613,81.12563905096613,81.12563905096613,81.12563905096613,81.12563905096613,81.12563905096613,81.12563905096613,81.12563905096613,a,0.7729289140552282,10,52,0,81.9260770509718,83.42844622104894,,,,,,,,,,,,,,,,,,,,,13699,2022-11-10_13h52.18.329,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.07443784462158,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,0,7,7,0,,,,,,,,,,,,83.92857128602918,83.92857128602918,83.92857128602918,83.92857128602918,83.92857128602918,83.92857128602918,83.92857128602918,83.92857128602918,83.92857128602918,83.92857128602918,a,1.5697904190747067,1,53,0,85.52976051205769,87.02975238196086,87.02975238196086,,,,,,,,,,,,,,,,,,,,13699,2022-11-10_13h52.18.329,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.07443784462158,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,0,8,8,10,,,,,,,,,,,,87.53183620504569,87.53183620504569,87.53183620504569,87.53183620504569,87.53183620504569,87.53183620504569,87.53183620504569,87.53183620504569,87.53183620504569,87.53183620504569,l,1.1172158200060949,10,63,0,88.68217109201942,90.18254806799814,90.18254806799814,90.68278552603442,,,,,,,,,,,,,,,,,,,13699,2022-11-10_13h52.18.329,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.07443784462158,
