LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,fix.started,training_feedback_txt.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,prac_fback_text.started,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,17.41958205300034,space,25.418935457011685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91140,2022-11-21_14h01.53.163,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.01972860357194,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,0,0,0,2,,,,,,,,,,,,73.04137067397824,73.04137067397824,73.04137067397824,73.04137067397824,73.04137067397824,73.04137067397824,73.04137067397824,73.04137067397824,73.04137067397824,73.04137067397824,l,4.0541974730440415,1,1,0,77.11915760100237,78.62093037398881,,,,,,,,,,,,,,,,91140,2022-11-21_14h01.53.163,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.01972860357194,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,0,1,1,0,,,,,,,,,,,,79.12139148300048,79.12139148300048,79.12139148300048,79.12139148300048,79.12139148300048,79.12139148300048,79.12139148300048,79.12139148300048,79.12139148300048,79.12139148300048,a,0.6073788390203845,1,2,0,79.75563782997779,81.25708337398828,,,,,,,,,,,,,,,,91140,2022-11-21_14h01.53.163,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.01972860357194,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,0,2,2,6,,,,,,,,,,,,81.75772179098567,81.75772179098567,81.75772179098567,81.75772179098567,81.75772179098567,81.75772179098567,81.75772179098567,81.75772179098567,81.75772179098567,81.75772179098567,a,1.7392840730317403,10,12,0,83.5261682139826,85.0279204690014,,,,,,,,,,,,,,,,91140,2022-11-21_14h01.53.163,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.01972860357194,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,0,3,3,10,,,,,,,,,,,,85.52849175597657,85.52849175597657,85.52849175597657,85.52849175597657,85.52849175597657,85.52849175597657,85.52849175597657,85.52849175597657,85.52849175597657,85.52849175597657,l,1.851109974028077,1,13,0,87.3970375630015,88.89870558699477,,,,,,,,,,,,,,,,91140,2022-11-21_14h01.53.163,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.01972860357194,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,0,4,4,5,,,,,,,,,,,,89.39924922498176,89.39924922498176,89.39924922498176,89.39924922498176,89.39924922498176,89.39924922498176,89.39924922498176,89.39924922498176,89.39924922498176,89.39924922498176,l,0.9046573860396165,1,14,0,90.33372292399872,91.83539750697673,,,,,,,,,,,,,,,,91140,2022-11-21_14h01.53.163,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.01972860357194,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,0,5,5,4,,,,,,,,,,,,92.3360775889887,92.3360775889887,92.3360775889887,92.3360775889887,92.3360775889887,92.3360775889887,92.3360775889887,92.3360775889887,92.3360775889887,92.3360775889887,l,0.8138464740186464,1,15,0,93.17015963597805,94.67179211697658,,,,,,,,,,,,,,,,91140,2022-11-21_14h01.53.163,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.01972860357194,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,0,6,6,8,,,,,,,,,,,,95.17245663498761,95.17245663498761,95.17245663498761,95.17245663498761,95.17245663498761,95.17245663498761,95.17245663498761,95.17245663498761,95.17245663498761,95.17245663498761,l,0.8685529560316354,1,16,0,96.0734098989924,97.57520182599546,,,,,,,,,,,,,,,,91140,2022-11-21_14h01.53.163,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.01972860357194,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,0,7,7,9,,,,,,,,,,,,98.0755083799886,98.0755083799886,98.0755083799886,98.0755083799886,98.0755083799886,98.0755083799886,98.0755083799886,98.0755083799886,98.0755083799886,98.0755083799886,l,1.5443464390409645,1,17,0,99.64403338800184,101.14577092198306,,,,,,,,,,,,,,,,91140,2022-11-21_14h01.53.163,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.01972860357194,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,0,8,8,7,,,,,,,,,,,,101.64618364299531,101.64618364299531,101.64618364299531,101.64618364299531,101.64618364299531,101.64618364299531,101.64618364299531,101.64618364299531,101.64618364299531,101.64618364299531,l,1.4843698760087136,10,27,0,103.14777491000132,104.64956254899153,,,,,,,,,,,,,,,,91140,2022-11-21_14h01.53.163,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.01972860357194,
