training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,top_target_prac1.stopped,tgt_fix_prac1.stopped,bott_target_prac1.stopped,target_resp_prac1.stopped,acc,E1,target_resp_prac1.keys,pracBlock,prac_fback_text.started,prac_fback_text.stopped,fix.started,fix.stopped,target_resp_prac1.rt,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,star.started,hegagon.started,triangle.started,circle.started,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,points_trial,points_cumul,vts_fback.started,vts_fback.stopped,blockNum,norew_fback.started,norew_fback.stopped,key_resp_2.keys,key_resp_2.rt,rewExpectancy,feedbk_text.started,feedbk_text.stopped,text_3.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,174,hexagon,0.0010812809996423312,102.94371188100013,104.44564323899976,104.44564323899976,104.44564323899976,,,,,1,0,d,0,104.99620406699978,,106.49782182700073,,0.5178571090000332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37688,2022-10-25_10h29.05.330,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.99429622191361,
,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,F,160,hexagon,0.0017591489995538723,,,,,,,,,1,0,,1,142.90458511699944,,144.4063082770008,,,140.70236137599932,142.20369827099967,142.20369827099967,142.20369827099967,k,0.6705854270003329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37688,2022-10-25_10h29.05.330,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.99429622191361,
,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,D,146,hexagon,0.001365335998343653,,,,,,,,,1,0,,1,147.34297876600067,,148.84463826899992,,,145.39083596400087,146.892498444,146.892498444,146.892498444,j,0.4310425210005633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37688,2022-10-25_10h29.05.330,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.99429622191361,
,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,S,181,star,0.001356811000732705,,,,,,,,,1,0,,1,151.88119395399917,,153.3828913670004,,,149.82892675199946,151.33075015500071,151.33075015500071,151.33075015500071,k,0.5198392359998252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37688,2022-10-25_10h29.05.330,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.99429622191361,
,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,Y,132,star,0.0012109330000384944,,,,,,,,,1,0,,1,156.3194806650008,,157.82117223500063,,,154.36730594899927,155.86906681599976,155.86906681599976,155.86906681599976,j,0.4228396870003053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37688,2022-10-25_10h29.05.330,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.99429622191361,
,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,U,125,hexagon,0.0012902430007670773,,,,,,,,,1,0,,1,160.7905414500001,,162.2926975240007,,,158.80529090100026,160.30709390599986,160.30709390599986,160.30709390599986,j,0.4561354979996395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37688,2022-10-25_10h29.05.330,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.99429622191361,
,,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,B,174,star,0.0018119599990313873,,,,,,,,,1,0,,1,165.31248900600076,,166.81445039999926,,,163.27719531500043,164.7787582960009,164.7787582960009,164.7787582960009,k,0.5037840059994778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37688,2022-10-25_10h29.05.330,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.99429622191361,
,,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,H,139,hexagon,0.0015313259991671657,,,,,,,,,1,0,,1,169.71754350099945,,171.2191150109993,,,167.79875123999955,169.30039354700057,169.30039354700057,169.30039354700057,j,0.3902102170013677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37688,2022-10-25_10h29.05.330,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.99429622191361,
,,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,W,167,star,0.0012279040001885733,,,,,,,,,1,0,,1,174.15576941700056,,175.6573600699994,,,172.20369678600036,173.70538861400019,173.70538861400019,173.70538861400019,k,0.4251846060014941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37688,2022-10-25_10h29.05.330,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.99429622191361,
,,,,,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,F,160,star,0.0012238090002938407,,,,,,,,,1,0,,1,178.66088428399962,180.1624842500005,180.1624842500005,,,176.64186090099975,178.14355810100096,178.14355810100096,178.14355810100096,k,0.5004637229994842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37688,2022-10-25_10h29.05.330,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.99429622191361,
