LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,fix.started,training_feedback_txt.stopped,fix.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,top_target_prac1.stopped,bott_target_prac1.stopped,target_resp_prac1.stopped,acc,E1,target_resp_prac1.keys,pracBlock,prac_fback_text.started,target_resp_prac1.rt,prac_fback_text.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,24.002667482942343,space,3.93848740006797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58294,2022-11-08_10h17.39.240,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.147013149159356,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,0,0,0,5,,,,,,,,,,,,81.72382217692211,81.72382217692211,81.72382217692211,81.72382217692211,81.72382217692211,81.72382217692211,81.72382217692211,81.72382217692211,81.72382217692211,81.72382217692211,l,1.570783870993182,1,1,0,83.31477320601698,84.81569201895036,,,,,,,,,,,,,,,,,,,,,58294,2022-11-08_10h17.39.240,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.147013149159356,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,0,1,1,10,,,,,,,,,,,,85.31606981891673,85.31606981891673,85.31606981891673,85.31606981891673,85.31606981891673,85.31606981891673,85.31606981891673,85.31606981891673,85.31606981891673,85.31606981891673,l,0.9592094490071759,10,11,0,86.30121608392801,87.80084866692778,87.80084866692778,88.30037748801988,,,,,,,,,,,,,,,,,,,58294,2022-11-08_10h17.39.240,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.147013149159356,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,0,2,2,6,,,,,,,,,,,,88.30037748801988,88.30037748801988,88.30037748801988,88.30037748801988,88.30037748801988,88.30037748801988,88.30037748801988,88.30037748801988,88.30037748801988,88.30037748801988,l,1.3728303120005876,1,12,0,89.703633883968,91.20270859298762,91.20270859298762,91.70306152792182,,,,,,,,,,,,,,,,,,,58294,2022-11-08_10h17.39.240,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.147013149159356,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,0,3,3,1,,,,,,,,,,,,91.70306152792182,91.70306152792182,91.70306152792182,91.70306152792182,91.70306152792182,91.70306152792182,91.70306152792182,91.70306152792182,91.70306152792182,91.70306152792182,l,1.1311951489187777,1,13,0,92.8534034199547,94.35586246591993,,,,,,,,,,,,,,,,,,,,,58294,2022-11-08_10h17.39.240,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.147013149159356,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,0,4,4,7,,,,,,,,,,,,94.85602299601305,94.85602299601305,94.85602299601305,94.85602299601305,94.85602299601305,94.85602299601305,94.85602299601305,94.85602299601305,94.85602299601305,94.85602299601305,l,0.588879197021015,10,23,0,95.47355528292246,96.9738929279847,96.9738929279847,,,,,,,,,,,,,,,,,,,,58294,2022-11-08_10h17.39.240,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.147013149159356,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,0,5,5,3,,,,,,,,,,,,97.47393223096151,97.47393223096151,97.47393223096151,97.47393223096151,97.47393223096151,97.47393223096151,97.47393223096151,97.47393223096151,97.47393223096151,97.47393223096151,a,0.6939681870862842,10,33,0,98.19104514596984,99.69370877998881,,,,,,,,,,,,,,,,,,,,,58294,2022-11-08_10h17.39.240,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.147013149159356,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,0,6,6,11,,,,,,,,,,,,100.19389718293678,100.19389718293678,100.19389718293678,100.19389718293678,100.19389718293678,100.19389718293678,100.19389718293678,100.19389718293678,100.19389718293678,100.19389718293678,l,1.8221749479416758,10,43,0,102.04462265700568,103.54505257599521,103.54505257599521,,,,,,,,,,,,,,,,,,,,58294,2022-11-08_10h17.39.240,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.147013149159356,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,0,7,7,9,,,,,,,,,,,,104.04712714499328,104.04712714499328,104.04712714499328,104.04712714499328,104.04712714499328,104.04712714499328,104.04712714499328,104.04712714499328,104.04712714499328,104.04712714499328,a,1.9057429210515693,1,44,0,105.98129998298828,107.4813488869695,107.4813488869695,107.98138919996563,,,,,,,,,,,,,,,,,,,58294,2022-11-08_10h17.39.240,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.147013149159356,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,0,8,8,0,,,,,,,,,,,,107.98138919996563,107.98138919996563,107.98138919996563,107.98138919996563,107.98138919996563,107.98138919996563,107.98138919996563,107.98138919996563,107.98138919996563,107.98138919996563,l,1.302551380940713,10,54,0,109.30166238592938,110.80141051695682,110.80141051695682,111.301497823908,,,,,,,,,,,,,,,,,,,58294,2022-11-08_10h17.39.240,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.147013149159356,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,0,9,9,2,,,,,,,,,,,,111.301497823908,111.301497823908,111.301497823908,111.301497823908,111.301497823908,111.301497823908,111.301497823908,111.301497823908,111.301497823908,111.301497823908,a,2.5387003569630906,10,64,0,113.87077881791629,115.37130397791043,115.37130397791043,115.87123377993703,,,,,,,,,,,,,,,,,,,58294,2022-11-08_10h17.39.240,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.147013149159356,
