LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,fix.started,training_feedback_txt.stopped,fix.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,prac_fback_text.started,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,prac_fback_text.stopped,star.started,hegagon.started,triangle.started,circle.started,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_fback.started,vts_fback.stopped,blockNum,norew_fback.started,norew_fback.stopped,top_target.stopped,tgt_fix.stopped,bot_target.stopped,target_resp.stopped,key_resp_2.keys,key_resp_2.rt,rewExpectancy,feedbk_text.started,feedbk_text.stopped,text_3.started,debrief.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,794.6431437839055,space,13.319595728069544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45451,2022-12-01_11h17.39.129,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.204554261240915,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,844.8143623739015,844.8143623739015,844.8143623739015,844.8143623739015,844.8143623739015,844.8143623739015,844.8143623739015,844.8143623739015,844.8143623739015,844.8143623739015,l,2.32303197204601,1,1,0,847.1665708048968,848.668319453951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45451,2022-12-01_11h17.39.129,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.204554261240915,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,0,1,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,849.1689804400085,849.1689804400085,849.1689804400085,849.1689804400085,849.1689804400085,849.1689804400085,849.1689804400085,849.1689804400085,849.1689804400085,849.1689804400085,l,1.9530980810523033,10,11,0,851.1543555069948,852.6561396939214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45451,2022-12-01_11h17.39.129,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.204554261240915,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,853.1566917239688,853.1566917239688,853.1566917239688,853.1566917239688,853.1566917239688,853.1566917239688,853.1566917239688,853.1566917239688,853.1566917239688,853.1566917239688,l,1.8219433111371472,10,21,0,855.0085788059514,856.5103193609975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45451,2022-12-01_11h17.39.129,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.204554261240915,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,0,3,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,857.0109692919068,857.0109692919068,857.0109692919068,857.0109692919068,857.0109692919068,857.0109692919068,857.0109692919068,857.0109692919068,857.0109692919068,857.0109692919068,a,2.097294089035131,10,31,0,859.1298303320073,860.631453015958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45451,2022-12-01_11h17.39.129,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.204554261240915,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,0,4,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,861.1319707710063,861.1319707710063,861.1319707710063,861.1319707710063,861.1319707710063,861.1319707710063,861.1319707710063,861.1319707710063,861.1319707710063,861.1319707710063,a,3.2421449290122837,10,41,0,864.4024399289628,865.9041418900015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45451,2022-12-01_11h17.39.129,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.204554261240915,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,0,5,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,866.4045674139634,866.4045674139634,866.4045674139634,866.4045674139634,866.4045674139634,866.4045674139634,866.4045674139634,866.4045674139634,866.4045674139634,866.4045674139634,a,1.0077112760627642,10,51,0,867.4389772769064,868.940688631963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45451,2022-12-01_11h17.39.129,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.204554261240915,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,0,6,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,869.4413717899006,869.4413717899006,869.4413717899006,869.4413717899006,869.4413717899006,869.4413717899006,869.4413717899006,869.4413717899006,869.4413717899006,869.4413717899006,l,2.109927505021915,1,52,0,871.5768971469952,873.078629364958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45451,2022-12-01_11h17.39.129,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.204554261240915,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,0,7,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,873.5793102999451,873.5793102999451,873.5793102999451,873.5793102999451,873.5793102999451,873.5793102999451,873.5793102999451,873.5793102999451,873.5793102999451,873.5793102999451,a,0.7074135650182143,10,62,0,874.3133767039981,875.8148901989916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45451,2022-12-01_11h17.39.129,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.204554261240915,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,0,8,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,876.3154847469414,876.3154847469414,876.3154847469414,876.3154847469414,876.3154847469414,876.3154847469414,876.3154847469414,876.3154847469414,876.3154847469414,876.3154847469414,a,1.2897273229900748,10,72,0,877.6336952099809,879.1351893459214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45451,2022-12-01_11h17.39.129,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.204554261240915,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,0,9,9,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,879.6357353070052,879.6357353070052,879.6357353070052,879.6357353070052,879.6357353070052,879.6357353070052,879.6357353070052,879.6357353070052,879.6357353070052,879.6357353070052,l,0.7363595910137519,10,82,0,880.4034540049033,881.9051174499327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45451,2022-12-01_11h17.39.129,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.204554261240915,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,882.4055880339583,882.4055880339583,882.4055880339583,882.4055880339583,882.4055880339583,882.4055880339583,882.4055880339583,882.4055880339583,882.4055880339583,882.4055880339583,l,0.7457150570116937,10,92,0,883.1729450549465,884.674704118981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45451,2022-12-01_11h17.39.129,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.204554261240915,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,0,11,11,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,885.1752635409357,885.1752635409357,885.1752635409357,885.1752635409357,885.1752635409357,885.1752635409357,885.1752635409357,885.1752635409357,885.1752635409357,885.1752635409357,a,1.408164111082442,10,102,0,886.610177341965,888.1115960559109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45451,2022-12-01_11h17.39.129,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.204554261240915,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,1,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,888.6122450859984,888.6122450859984,888.6122450859984,888.6122450859984,888.6122450859984,888.6122450859984,888.6122450859984,888.6122450859984,888.6122450859984,888.6122450859984,a,1.109962214017287,10,112,0,889.7470401099417,891.2485088809626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45451,2022-12-01_11h17.39.129,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.204554261240915,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,1,1,13,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,891.7490775999613,891.7490775999613,891.7490775999613,891.7490775999613,891.7490775999613,891.7490775999613,891.7490775999613,891.7490775999613,891.7490775999613,891.7490775999613,l,0.7414760930696502,1,113,0,892.5166646660073,894.0184541488998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45451,2022-12-01_11h17.39.129,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.204554261240915,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,1,2,14,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,894.5188535819761,894.5188535819761,894.5188535819761,894.5188535819761,894.5188535819761,894.5188535819761,894.5188535819761,894.5188535819761,894.5188535819761,894.5188535819761,l,3.0342567280167714,1,114,0,897.5722421099199,899.0739861639449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45451,2022-12-01_11h17.39.129,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.204554261240915,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,1,3,15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,899.5743663769681,899.5743663769681,899.5743663769681,899.5743663769681,899.5743663769681,899.5743663769681,899.5743663769681,899.5743663769681,899.5743663769681,899.5743663769681,a,0.5204115860396996,10,124,0,900.1252502969,901.6267512089107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45451,2022-12-01_11h17.39.129,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.204554261240915,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,1,4,16,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,902.1271874239901,902.1271874239901,902.1271874239901,902.1271874239901,902.1271874239901,902.1271874239901,902.1271874239901,902.1271874239901,902.1271874239901,902.1271874239901,a,0.657586952089332,1,125,0,902.8112888919422,904.3129706250038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45451,2022-12-01_11h17.39.129,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.204554261240915,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,1,5,17,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,904.8137642910006,904.8137642910006,904.8137642910006,904.8137642910006,904.8137642910006,904.8137642910006,904.8137642910006,904.8137642910006,904.8137642910006,904.8137642910006,l,1.322861870052293,10,135,0,906.1650811259169,907.666790765943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45451,2022-12-01_11h17.39.129,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.204554261240915,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,1,6,18,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,908.167122980929,908.167122980929,908.167122980929,908.167122980929,908.167122980929,908.167122980929,908.167122980929,908.167122980929,908.167122980929,908.167122980929,l,0.818156799999997,10,145,0,909.0017561039422,910.5029684219044,910.5029684219044,911.0037384789903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45451,2022-12-01_11h17.39.129,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.204554261240915,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,1,7,19,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,911.0037384789903,911.0037384789903,911.0037384789903,911.0037384789903,911.0037384789903,911.0037384789903,911.0037384789903,911.0037384789903,911.0037384789903,911.0037384789903,a,1.3428745389683172,10,155,0,912.3720887500094,913.8736303449841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45451,2022-12-01_11h17.39.129,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.204554261240915,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,1,8,20,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,914.374338149908,914.374338149908,914.374338149908,914.374338149908,914.374338149908,914.374338149908,914.374338149908,914.374338149908,914.374338149908,914.374338149908,l,1.7424821620807052,1,156,0,916.1427273809677,917.6444748869399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45451,2022-12-01_11h17.39.129,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.204554261240915,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,1,9,21,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,918.1449605450034,918.1449605450034,918.1449605450034,918.1449605450034,918.1449605450034,918.1449605450034,918.1449605450034,918.1449605450034,918.1449605450034,918.1449605450034,a,0.6932722569908947,10,166,0,918.862551942002,920.3640540819615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45451,2022-12-01_11h17.39.129,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.204554261240915,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,1,10,22,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,920.8644885609392,920.8644885609392,920.8644885609392,920.8644885609392,920.8644885609392,920.8644885609392,920.8644885609392,920.8644885609392,920.8644885609392,920.8644885609392,l,3.2183389990823343,1,167,0,924.1015619119862,925.6033344339812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45451,2022-12-01_11h17.39.129,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.204554261240915,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,1,11,23,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,926.1037878548959,926.1037878548959,926.1037878548959,926.1037878548959,926.1037878548959,926.1037878548959,926.1037878548959,926.1037878548959,926.1037878548959,926.1037878548959,a,1.1950837520416826,10,177,0,927.3216667189263,928.8233471389394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45451,2022-12-01_11h17.39.129,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.204554261240915,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,2,0,24,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,929.3238278569188,929.3238278569188,929.3238278569188,929.3238278569188,929.3238278569188,929.3238278569188,929.3238278569188,929.3238278569188,929.3238278569188,929.3238278569188,a,1.8698575079906732,1,178,0,931.2261151509592,932.7279077719431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45451,2022-12-01_11h17.39.129,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.204554261240915,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,2,1,25,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,933.2283746369649,933.2283746369649,933.2283746369649,933.2283746369649,933.2283746369649,933.2283746369649,933.2283746369649,933.2283746369649,933.2283746369649,933.2283746369649,l,0.6311807309975848,10,188,0,933.879040402011,935.380753956968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45451,2022-12-01_11h17.39.129,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.204554261240915,
