LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,training_feedback_txt.stopped,fix.started,fix.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,17.925126235000107,space,36.345399570999916,,,,,,,,,,,,,,,,,,,,51419,2022-10-25_08h14.48.778,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.901096221799214,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,0,0,0,6,,,,,,,,74.49422106200018,74.49422106200018,74.49422106200018,74.49422106200018,74.49422106200018,74.49422106200018,74.49422106200018,74.49422106200018,74.49422106200018,74.49422106200018,l,2.072410937999848,10,10,0,76.59920090200012,78.10509043600018,78.10509043600018,78.60584564500004,51419,2022-10-25_08h14.48.778,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.901096221799214,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,0,1,1,5,,,,,,,,78.60584564500004,78.60584564500004,78.60584564500004,78.60584564500004,78.60584564500004,78.60584564500004,78.60584564500004,78.60584564500004,78.60584564500004,78.60584564500004,a,0.6502958319999834,10,20,0,79.27328476800017,,80.774687395,,51419,2022-10-25_08h14.48.778,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.901096221799214,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,0,2,2,3,,,,,,,,81.27528214900008,81.27528214900008,81.27528214900008,81.27528214900008,81.27528214900008,81.27528214900008,81.27528214900008,81.27528214900008,81.27528214900008,81.27528214900008,a,0.5318556529998659,1,21,0,81.82595872900015,,83.32775237400006,,51419,2022-10-25_08h14.48.778,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.901096221799214,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,0,3,3,11,,,,,,,,83.82848311700013,83.82848311700013,83.82848311700013,83.82848311700013,83.82848311700013,83.82848311700013,83.82848311700013,83.82848311700013,83.82848311700013,83.82848311700013,l,0.4513976419998471,1,22,0,84.31214272500006,,85.81353081300017,,51419,2022-10-25_08h14.48.778,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.901096221799214,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,0,4,4,4,,,,,,,,86.31437074000019,86.31437074000019,86.31437074000019,86.31437074000019,86.31437074000019,86.31437074000019,86.31437074000019,86.31437074000019,86.31437074000019,86.31437074000019,a,0.5011524089998147,10,32,0,86.83167908900009,88.33333914900004,88.33333914900004,,51419,2022-10-25_08h14.48.778,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.901096221799214,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,0,5,5,8,,,,,,,,88.83391556600009,88.83391556600009,88.83391556600009,88.83391556600009,88.83391556600009,88.83391556600009,88.83391556600009,88.83391556600009,88.83391556600009,88.83391556600009,a,0.6294942019999326,1,33,0,89.48429261500019,,90.98615744000017,,51419,2022-10-25_08h14.48.778,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.901096221799214,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,0,6,6,10,,,,,,,,91.48673525599997,91.48673525599997,91.48673525599997,91.48673525599997,91.48673525599997,91.48673525599997,91.48673525599997,91.48673525599997,91.48673525599997,91.48673525599997,a,2.4559663850000106,1,34,0,93.97319014499999,,95.47435330799999,,51419,2022-10-25_08h14.48.778,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.901096221799214,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,0,7,7,2,,,,,,,,95.97505199300008,95.97505199300008,95.97505199300008,95.97505199300008,95.97505199300008,95.97505199300008,95.97505199300008,95.97505199300008,95.97505199300008,95.97505199300008,a,1.071915183999863,1,35,0,97.0764648060001,,98.57798196300018,,51419,2022-10-25_08h14.48.778,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.901096221799214,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,0,8,8,0,,,,,,,,99.07840653500011,99.07840653500011,99.07840653500011,99.07840653500011,99.07840653500011,99.07840653500011,99.07840653500011,99.07840653500011,99.07840653500011,99.07840653500011,l,2.7922615029999633,10,45,0,101.89706444600006,,103.39974906500015,,51419,2022-10-25_08h14.48.778,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.901096221799214,
