LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,fix.started,training_feedback_txt.stopped,fix.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,20.97248731700074,space,21.301816642999256,,,,,,,,,,,,,,,,,,,,39022,2022-10-25_10h16.01.156,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.84379787286431,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,0,0,0,2,,,,,,,,59.49714409100034,59.49714409100034,59.49714409100034,59.49714409100034,59.49714409100034,59.49714409100034,59.49714409100034,59.49714409100034,59.49714409100034,59.49714409100034,l,1.5147278569993432,1,1,0,61.039932800000315,62.54149612600031,,,39022,2022-10-25_10h16.01.156,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.84379787286431,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,0,1,1,7,,,,,,,,63.04208623700015,63.04208623700015,63.04208623700015,63.04208623700015,63.04208623700015,63.04208623700015,63.04208623700015,63.04208623700015,63.04208623700015,63.04208623700015,a,0.43442762199902063,1,2,0,63.50920487300027,65.01097937000031,,,39022,2022-10-25_10h16.01.156,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.84379787286431,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,0,2,2,9,,,,,,,,65.5116572400002,65.5116572400002,65.5116572400002,65.5116572400002,65.5116572400002,65.5116572400002,65.5116572400002,65.5116572400002,65.5116572400002,65.5116572400002,a,0.2513746179993177,10,12,0,65.7952753590007,67.29687882500002,,,39022,2022-10-25_10h16.01.156,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.84379787286431,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,0,3,3,3,,,,,,,,67.79768172500007,67.79768172500007,67.79768172500007,67.79768172500007,67.79768172500007,67.79768172500007,67.79768172500007,67.79768172500007,67.79768172500007,67.79768172500007,a,0.33415524900010496,1,13,0,68.16438625299998,69.6663314540001,,,39022,2022-10-25_10h16.01.156,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.84379787286431,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,0,4,4,11,,,,,,,,70.16669343300055,70.16669343300055,70.16669343300055,70.16669343300055,70.16669343300055,70.16669343300055,70.16669343300055,70.16669343300055,70.16669343300055,70.16669343300055,a,0.5959201169989683,1,14,0,70.78404315100033,72.28586178500063,,,39022,2022-10-25_10h16.01.156,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.84379787286431,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,0,5,5,1,,,,,,,,72.78647111100054,72.78647111100054,72.78647111100054,72.78647111100054,72.78647111100054,72.78647111100054,72.78647111100054,72.78647111100054,72.78647111100054,72.78647111100054,a,1.1917910510001093,1,15,0,74.00442156100053,75.50592477700047,,,39022,2022-10-25_10h16.01.156,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.84379787286431,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,0,6,6,6,,,,,,,,76.00649129900012,76.00649129900012,76.00649129900012,76.00649129900012,76.00649129900012,76.00649129900012,76.00649129900012,76.00649129900012,76.00649129900012,76.00649129900012,a,0.5819879219998256,1,16,0,76.60716817000048,78.10869531300068,,,39022,2022-10-25_10h16.01.156,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.84379787286431,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,0,7,7,5,,,,,,,,78.60929664000014,78.60929664000014,78.60929664000014,78.60929664000014,78.60929664000014,78.60929664000014,78.60929664000014,78.60929664000014,78.60929664000014,78.60929664000014,l,0.3225660529997185,1,17,0,78.9597037630001,80.46127903100023,,,39022,2022-10-25_10h16.01.156,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.84379787286431,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,0,8,8,8,,,,,,,,80.96189946400045,80.96189946400045,80.96189946400045,80.96189946400045,80.96189946400045,80.96189946400045,80.96189946400045,80.96189946400045,80.96189946400045,80.96189946400045,a,0.29753123599948594,10,27,0,81.27907431900076,82.78109053800017,,,39022,2022-10-25_10h16.01.156,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.84379787286431,
