LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,fix.started,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,21.864471237990074,space,9.033174904994667,,,,,,,,,,,,,,,,,,25726,2022-11-29_14h04.08.619,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.95568243573572,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,0,0,0,8,,,,68.25142376200529,68.25142376200529,68.25142376200529,68.25142376200529,68.25142376200529,68.25142376200529,68.25142376200529,68.25142376200529,68.25142376200529,68.25142376200529,l,1.1555449329898693,1,1,0,69.43935223898734,70.94095527700847,25726,2022-11-29_14h04.08.619,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.95568243573572,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,0,1,1,4,,,,71.44166365198907,71.44166365198907,71.44166365198907,71.44166365198907,71.44166365198907,71.44166365198907,71.44166365198907,71.44166365198907,71.44166365198907,71.44166365198907,a,1.1510039269924164,10,11,0,72.60926991098677,74.11116745899199,25726,2022-11-29_14h04.08.619,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.95568243573572,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,0,2,2,9,,,,74.61165391199756,74.61165391199756,74.61165391199756,74.61165391199756,74.61165391199756,74.61165391199756,74.61165391199756,74.61165391199756,74.61165391199756,74.61165391199756,l,0.9283110439719167,10,21,0,75.56291169198812,77.06440039200243,25726,2022-11-29_14h04.08.619,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.95568243573572,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,0,3,3,5,,,,77.56508705101442,77.56508705101442,77.56508705101442,77.56508705101442,77.56508705101442,77.56508705101442,77.56508705101442,77.56508705101442,77.56508705101442,77.56508705101442,a,0.6962364689970855,1,22,0,78.28245990601135,79.78398349598865,25726,2022-11-29_14h04.08.619,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.95568243573572,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,0,4,4,7,,,,80.28445839800406,80.28445839800406,80.28445839800406,80.28445839800406,80.28445839800406,80.28445839800406,80.28445839800406,80.28445839800406,80.28445839800406,80.28445839800406,l,0.8576045039808378,1,23,0,81.1689033319999,82.67052660998888,25726,2022-11-29_14h04.08.619,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.95568243573572,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,0,5,5,10,,,,83.17107217901503,83.17107217901503,83.17107217901503,83.17107217901503,83.17107217901503,83.17107217901503,83.17107217901503,83.17107217901503,83.17107217901503,83.17107217901503,a,0.8409721109783277,1,24,0,84.03871534898644,85.54037796199555,25726,2022-11-29_14h04.08.619,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.95568243573572,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,0,6,6,6,,,,86.04100551400916,86.04100551400916,86.04100551400916,86.04100551400916,86.04100551400916,86.04100551400916,86.04100551400916,86.04100551400916,86.04100551400916,86.04100551400916,a,1.8185298209718894,10,34,0,87.87621711101383,89.37813444601488,25726,2022-11-29_14h04.08.619,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.95568243573572,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,0,7,7,0,,,,89.8785594739893,89.8785594739893,89.8785594739893,89.8785594739893,89.8785594739893,89.8785594739893,89.8785594739893,89.8785594739893,89.8785594739893,89.8785594739893,l,0.8268075839732774,1,35,0,90.72954088900588,92.23135647099116,25726,2022-11-29_14h04.08.619,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.95568243573572,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,0,8,8,1,,,,92.73165603200323,92.73165603200323,92.73165603200323,92.73165603200323,92.73165603200323,92.73165603200323,92.73165603200323,92.73165603200323,92.73165603200323,92.73165603200323,l,2.8222668299858924,10,45,0,95.58482817700133,97.08643493999261,25726,2022-11-29_14h04.08.619,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.95568243573572,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,0,9,9,3,,,,97.58708022299106,97.58708022299106,97.58708022299106,97.58708022299106,97.58708022299106,97.58708022299106,97.58708022299106,97.58708022299106,97.58708022299106,97.58708022299106,l,1.173997153993696,10,55,0,98.788449226995,100.28998662400409,25726,2022-11-29_14h04.08.619,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.95568243573572,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,0,10,10,11,,,,100.79045716699329,100.79045716699329,100.79045716699329,100.79045716699329,100.79045716699329,100.79045716699329,100.79045716699329,100.79045716699329,100.79045716699329,100.79045716699329,a,0.817295987973921,1,56,0,101.62472610000987,103.12640829599695,25726,2022-11-29_14h04.08.619,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.95568243573572,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,0,11,11,2,,,,103.62706795398844,103.62706795398844,103.62706795398844,103.62706795398844,103.62706795398844,103.62706795398844,103.62706795398844,103.62706795398844,103.62706795398844,103.62706795398844,a,1.1412617129972205,1,57,0,104.79504424199695,106.29665083900909,25726,2022-11-29_14h04.08.619,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.95568243573572,
