LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,training_feedback_txt.stopped,fix.started,fix.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,prac_fback_text.started,prac_fback_text.stopped,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,top_target_prac2.stopped,bott_target_prac2.stopped,target_resp_prac2.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.83610825799406,space,21.483341020997614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90376,2022-11-11_14h54.10.806,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.923432812272395,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,0,9,9,4,,,,,,,,,,,,,,,,,,,,307.6850140108727,307.6850140108727,307.6850140108727,307.6850140108727,307.6850140108727,307.6850140108727,307.6850140108727,307.6850140108727,307.6850140108727,307.6850140108727,l,1.4764771978370845,1,64,0,309.18631531181745,,310.6878153870348,,,,,,,,,,,,,,,,,,,,,,,,,,90376,2022-11-11_14h54.10.806,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.923432812272395,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,0,10,10,5,,,,,,,,,,,,,,,,,,,,311.187963002827,311.187963002827,311.187963002827,311.187963002827,311.187963002827,311.187963002827,311.187963002827,311.187963002827,311.187963002827,311.187963002827,a,1.7184380900580436,10,74,0,312.9384348518215,314.43920378084294,314.43920378084294,314.9392915358767,,,,,,,,,,,,,,,,,,,,,,,,,90376,2022-11-11_14h54.10.806,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.923432812272395,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,0,11,11,9,,,,,,,,,,,,,,,,,,,,314.9392915358767,314.9392915358767,314.9392915358767,314.9392915358767,314.9392915358767,314.9392915358767,314.9392915358767,314.9392915358767,314.9392915358767,314.9392915358767,l,0.859066299861297,10,84,0,315.8248053358402,317.32537603680976,317.32537603680976,317.8255634899251,,,,,,,,,,,,,,,,,,,,,,,,,90376,2022-11-11_14h54.10.806,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.923432812272395,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,1,0,12,2,,,,,,,,,,,,,,,,,,,,317.8255634899251,317.8255634899251,317.8255634899251,317.8255634899251,317.8255634899251,317.8255634899251,317.8255634899251,317.8255634899251,317.8255634899251,317.8255634899251,l,2.3387390098068863,10,94,0,320.1926682209596,,321.69560428801924,,,,,,,,,,,,,,,,,,,,,,,,,,90376,2022-11-11_14h54.10.806,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.923432812272395,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,1,1,13,0,,,,,,,,,,,,,,,,,,,,322.19556762091815,322.19556762091815,322.19556762091815,322.19556762091815,322.19556762091815,322.19556762091815,322.19556762091815,322.19556762091815,322.19556762091815,322.19556762091815,a,2.9291464060079306,1,95,0,325.14729984197766,,326.64894955581985,,,,,,,,,,,,,,,,,,,,,,,,,,90376,2022-11-11_14h54.10.806,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.923432812272395,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,1,2,14,8,,,,,,,,,,,,,,,,,,,,327.1491411149036,327.1491411149036,327.1491411149036,327.1491411149036,327.1491411149036,327.1491411149036,327.1491411149036,327.1491411149036,327.1491411149036,327.1491411149036,l,1.565344270085916,1,96,0,328.7331484318711,330.2314988519065,330.2314988519065,,,,,,,,,,,,,,,,,,,,,,,,,,90376,2022-11-11_14h54.10.806,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.923432812272395,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,1,3,15,5,,,,,,,,,,,,,,,,,,,,330.7358002769761,330.7358002769761,330.7358002769761,330.7358002769761,330.7358002769761,330.7358002769761,330.7358002769761,330.7358002769761,330.7358002769761,330.7358002769761,l,2.039208612870425,10,106,0,332.80431396793574,334.30361464596353,334.30361464596353,334.803661871003,,,,,,,,,,,,,,,,,,,,,,,,,90376,2022-11-11_14h54.10.806,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.923432812272395,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,1,4,16,4,,,,,,,,,,,,,,,,,,,,334.803661871003,334.803661871003,334.803661871003,334.803661871003,334.803661871003,334.803661871003,334.803661871003,334.803661871003,334.803661871003,334.803661871003,l,1.2791715329512954,10,116,0,336.10616704891436,,337.6067567570135,,,,,,,,,,,,,,,,,,,,,,,,,,90376,2022-11-11_14h54.10.806,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.923432812272395,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,1,5,17,10,,,,,,,,,,,,,,,,,,,,338.10699281282723,338.10699281282723,338.10699281282723,338.10699281282723,338.10699281282723,338.10699281282723,338.10699281282723,338.10699281282723,338.10699281282723,338.10699281282723,a,1.0693676979281008,10,126,0,339.2073163508903,,340.7094952929765,,,,,,,,,,,,,,,,,,,,,,,,,,90376,2022-11-11_14h54.10.806,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.923432812272395,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,1,6,18,6,,,,,,,,,,,,,,,,,,,,341.20992319099605,341.20992319099605,341.20992319099605,341.20992319099605,341.20992319099605,341.20992319099605,341.20992319099605,341.20992319099605,341.20992319099605,341.20992319099605,l,0.9819318030495197,10,136,0,342.2102889090311,343.7107816010248,343.7107816010248,,,,,,,,,,,,,,,,,,,,,,,,,,90376,2022-11-11_14h54.10.806,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.923432812272395,
