LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,training_feedback_txt.stopped,fix.started,fix.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,18.376408703974448,space,20.789812132017687,,,,,,,,,,,,,,,,,,,,17658,2022-12-01_14h05.39.560,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.837240199536105,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,0,0,0,1,,,,59.89003122202121,59.89003122202121,59.89003122202121,59.89003122202121,59.89003122202121,59.89003122202121,59.89003122202121,59.89003122202121,59.89003122202121,59.89003122202121,l,1.1463286500656977,1,1,0,61.05681303597521,62.55850666703191,62.55850666703191,,17658,2022-12-01_14h05.39.560,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.837240199536105,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,0,1,1,8,,,,63.0589269020129,63.0589269020129,63.0589269020129,63.0589269020129,63.0589269020129,63.0589269020129,63.0589269020129,63.0589269020129,63.0589269020129,63.0589269020129,a,2.1193229609634727,1,2,0,65.19473988993559,66.696309368941,66.696309368941,,17658,2022-12-01_14h05.39.560,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.837240199536105,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,0,2,2,0,,,,67.19685139099602,67.19685139099602,67.19685139099602,67.19685139099602,67.19685139099602,67.19685139099602,67.19685139099602,67.19685139099602,67.19685139099602,67.19685139099602,a,1.411671438952908,10,12,0,68.63173961499706,,70.13336207391694,,17658,2022-12-01_14h05.39.560,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.837240199536105,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,0,3,3,10,,,,70.63412705995142,70.63412705995142,70.63412705995142,70.63412705995142,70.63412705995142,70.63412705995142,70.63412705995142,70.63412705995142,70.63412705995142,70.63412705995142,a,2.003232804010622,10,22,0,72.66962418996263,,74.1712240469642,,17658,2022-12-01_14h05.39.560,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.837240199536105,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,0,4,4,4,,,,74.671611252008,74.671611252008,74.671611252008,74.671611252008,74.671611252008,74.671611252008,74.671611252008,74.671611252008,74.671611252008,74.671611252008,l,2.870747953886166,1,23,0,77.57486657099798,,79.07654474698938,,17658,2022-12-01_14h05.39.560,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.837240199536105,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,0,5,5,9,,,,79.5773102369858,79.5773102369858,79.5773102369858,79.5773102369858,79.5773102369858,79.5773102369858,79.5773102369858,79.5773102369858,79.5773102369858,79.5773102369858,a,1.0020852499874309,1,24,0,80.61182541400194,,82.1132361239288,,17658,2022-12-01_14h05.39.560,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.837240199536105,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,0,6,6,3,,,,82.61381939495914,82.61381939495914,82.61381939495914,82.61381939495914,82.61381939495914,82.61381939495914,82.61381939495914,82.61381939495914,82.61381939495914,82.61381939495914,a,1.2287192220101133,10,34,0,83.86527072894387,,85.36697828397155,,17658,2022-12-01_14h05.39.560,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.837240199536105,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,0,7,7,5,,,,85.86724627495278,85.86724627495278,85.86724627495278,85.86724627495278,85.86724627495278,85.86724627495278,85.86724627495278,85.86724627495278,85.86724627495278,85.86724627495278,l,1.2494747369783,10,44,0,87.13561859598849,,88.63723344996106,,17658,2022-12-01_14h05.39.560,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.837240199536105,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,0,8,8,2,,,,89.13803022901993,89.13803022901993,89.13803022901993,89.13803022901993,89.13803022901993,89.13803022901993,89.13803022901993,89.13803022901993,89.13803022901993,89.13803022901993,l,0.6896186720114201,1,45,0,89.85532122501172,,91.3568327149842,,17658,2022-12-01_14h05.39.560,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.837240199536105,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,0,9,9,11,,,,91.85745497397147,91.85745497397147,91.85745497397147,91.85745497397147,91.85745497397147,91.85745497397147,91.85745497397147,91.85745497397147,91.85745497397147,91.85745497397147,a,1.0190021169837564,1,46,0,92.9086859410163,,94.41011055198032,,17658,2022-12-01_14h05.39.560,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.837240199536105,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,0,10,10,7,,,,94.91072193393484,94.91072193393484,94.91072193393484,94.91072193393484,94.91072193393484,94.91072193393484,94.91072193393484,94.91072193393484,94.91072193393484,94.91072193393484,a,1.3193543419474736,10,56,0,96.262416913989,,97.76384967600461,,17658,2022-12-01_14h05.39.560,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.837240199536105,
