LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,fix.started,training_feedback_txt.stopped,fix.stopped,participant,date,expName,psychopyVersion,frameRate,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,1,7,19,1,,,,,,,,694.1839658289973,694.1839658289973,694.1839658289973,694.1839658289973,694.1839658289973,694.1839658289973,694.1839658289973,694.1839658289973,694.1839658289973,694.1839658289973,l,0.5643696969927987,1,164,0,694.7679546340078,696.2696062239993,,,40673,2022-10-26_14h41.08.712,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.10340526239601,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,1,8,20,6,,,,,,,,696.7702504180052,696.7702504180052,696.7702504180052,696.7702504180052,696.7702504180052,696.7702504180052,696.7702504180052,696.7702504180052,696.7702504180052,696.7702504180052,a,0.6098601109988522,1,165,0,697.4042444289953,698.9056766050053,,,40673,2022-10-26_14h41.08.712,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.10340526239601,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,1,9,21,0,,,,,,,,699.4063106270041,699.4063106270041,699.4063106270041,699.4063106270041,699.4063106270041,699.4063106270041,699.4063106270041,699.4063106270041,699.4063106270041,699.4063106270041,l,0.6291887879924616,10,175,0,700.0571671530051,701.5586383170012,,,40673,2022-10-26_14h41.08.712,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.10340526239601,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,1,10,22,7,,,,,,,,702.0592559689976,702.0592559689976,702.0592559689976,702.0592559689976,702.0592559689976,702.0592559689976,702.0592559689976,702.0592559689976,702.0592559689976,702.0592559689976,l,0.39267072099028155,10,185,0,702.4763264619978,703.9783311619976,,,40673,2022-10-26_14h41.08.712,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.10340526239601,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,1,11,23,11,,,,,,,,704.4785643450014,704.4785643450014,704.4785643450014,704.4785643450014,704.4785643450014,704.4785643450014,704.4785643450014,704.4785643450014,704.4785643450014,704.4785643450014,a,0.7509558800084051,10,195,0,705.2463568590028,706.7478719369974,706.7478719369974,,40673,2022-10-26_14h41.08.712,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.10340526239601,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,2,0,24,9,,,,,,,,707.248405218008,707.248405218008,707.248405218008,707.248405218008,707.248405218008,707.248405218008,707.248405218008,707.248405218008,707.248405218008,707.248405218008,a,1.0351640449953265,10,205,0,708.3161448430037,709.8177307370061,,,40673,2022-10-26_14h41.08.712,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.10340526239601,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,2,1,25,1,,,,,,,,710.3182379490027,710.3182379490027,710.3182379490027,710.3182379490027,710.3182379490027,710.3182379490027,710.3182379490027,710.3182379490027,710.3182379490027,710.3182379490027,l,1.0614450180000858,1,206,0,711.4028729970014,712.9044682990061,,,40673,2022-10-26_14h41.08.712,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.10340526239601,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,2,2,26,11,,,,,,,,713.4053371189948,713.4053371189948,713.4053371189948,713.4053371189948,713.4053371189948,713.4053371189948,713.4053371189948,713.4053371189948,713.4053371189948,713.4053371189948,a,0.8310640620038612,10,216,0,714.2560535250086,715.7575886970008,,,40673,2022-10-26_14h41.08.712,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.10340526239601,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,2,3,27,4,,,,,,,,716.258115988996,716.258115988996,716.258115988996,716.258115988996,716.258115988996,716.258115988996,716.258115988996,716.258115988996,716.258115988996,716.258115988996,a,0.3697067989996867,10,226,0,716.6587000470026,718.1603774700052,,,40673,2022-10-26_14h41.08.712,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.10340526239601,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,2,4,28,10,,,,,,,,718.6608731669985,718.6608731669985,718.6608731669985,718.6608731669985,718.6608731669985,718.6608731669985,718.6608731669985,718.6608731669985,718.6608731669985,718.6608731669985,l,0.7844878629985033,1,227,0,719.461773367002,720.9634039200027,720.9634039200027,,40673,2022-10-26_14h41.08.712,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.10340526239601,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,2,5,29,7,,,,,,,,721.4638825139991,721.4638825139991,721.4638825139991,721.4638825139991,721.4638825139991,721.4638825139991,721.4638825139991,721.4638825139991,721.4638825139991,721.4638825139991,l,0.5485564199916553,10,237,0,722.0313444740023,723.5329120100068,,,40673,2022-10-26_14h41.08.712,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.10340526239601,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,2,6,30,3,,,,,,,,724.0333465330041,724.0333465330041,724.0333465330041,724.0333465330041,724.0333465330041,724.0333465330041,724.0333465330041,724.0333465330041,724.0333465330041,724.0333465330041,a,0.475095992005663,10,247,0,724.5338633719948,726.0356120430079,,,40673,2022-10-26_14h41.08.712,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.10340526239601,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,2,7,31,6,,,,,,,,726.5361755330086,726.5361755330086,726.5361755330086,726.5361755330086,726.5361755330086,726.5361755330086,726.5361755330086,726.5361755330086,726.5361755330086,726.5361755330086,a,0.8118849079910433,1,248,0,727.3703974840028,728.8722259930073,,,40673,2022-10-26_14h41.08.712,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.10340526239601,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,2,8,32,8,,,,,,,,729.3724947029987,729.3724947029987,729.3724947029987,729.3724947029987,729.3724947029987,729.3724947029987,729.3724947029987,729.3724947029987,729.3724947029987,729.3724947029987,l,0.8956679190014256,10,258,0,730.2904530090018,731.7920309750043,,,40673,2022-10-26_14h41.08.712,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.10340526239601,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,2,9,33,2,,,,,,,,732.292662952008,732.292662952008,732.292662952008,732.292662952008,732.292662952008,732.292662952008,732.292662952008,732.292662952008,732.292662952008,732.292662952008,l,0.6010151749942452,10,268,0,732.9266061079979,734.4280854219978,,,40673,2022-10-26_14h41.08.712,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.10340526239601,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,2,10,34,5,,,,,,,,734.9286958470038,734.9286958470038,734.9286958470038,734.9286958470038,734.9286958470038,734.9286958470038,734.9286958470038,734.9286958470038,734.9286958470038,734.9286958470038,a,0.5395687950076535,10,278,0,735.4959399539948,736.9975605090003,,,40673,2022-10-26_14h41.08.712,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.10340526239601,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,2,11,35,0,,,,,,,,737.4984710389981,737.4984710389981,737.4984710389981,737.4984710389981,737.4984710389981,737.4984710389981,737.4984710389981,737.4984710389981,737.4984710389981,737.4984710389981,l,0.5932966429973021,10,288,0,738.1156516140036,739.6172413589957,,,40673,2022-10-26_14h41.08.712,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.10340526239601,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,3,0,36,11,,,,,,,,740.118136887002,740.118136887002,740.118136887002,740.118136887002,740.118136887002,740.118136887002,740.118136887002,740.118136887002,740.118136887002,740.118136887002,a,0.7182689220062457,10,298,0,740.8689493279962,742.3703400539962,,,40673,2022-10-26_14h41.08.712,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.10340526239601,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,3,1,37,8,,,,,,,,742.8710265650006,742.8710265650006,742.8710265650006,742.8710265650006,742.8710265650006,742.8710265650006,742.8710265650006,742.8710265650006,742.8710265650006,742.8710265650006,l,0.6685120079928311,10,308,0,743.5716698220058,745.0734144290036,,,40673,2022-10-26_14h41.08.712,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.10340526239601,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,3,2,38,9,,,,,,,,745.5739321779984,745.5739321779984,745.5739321779984,745.5739321779984,745.5739321779984,745.5739321779984,745.5739321779984,745.5739321779984,745.5739321779984,745.5739321779984,a,0.6930740820098436,10,318,0,746.2914805720065,747.793042588004,,,40673,2022-10-26_14h41.08.712,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.10340526239601,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,3,3,39,2,,,,,,,,748.2935350869957,748.2935350869957,748.2935350869957,748.2935350869957,748.2935350869957,748.2935350869957,748.2935350869957,748.2935350869957,748.2935350869957,748.2935350869957,l,0.5415107820008416,10,328,0,748.8608484370052,750.3627129600063,,,40673,2022-10-26_14h41.08.712,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.10340526239601,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,3,4,40,6,,,,,,,,750.8632281300088,750.8632281300088,750.8632281300088,750.8632281300088,750.8632281300088,750.8632281300088,750.8632281300088,750.8632281300088,750.8632281300088,750.8632281300088,a,1.1958112669963157,10,338,0,752.0810082700045,753.5826680530008,,,40673,2022-10-26_14h41.08.712,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.10340526239601,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,3,5,41,5,,,,,,,,754.0832470790047,754.0832470790047,754.0832470790047,754.0832470790047,754.0832470790047,754.0832470790047,754.0832470790047,754.0832470790047,754.0832470790047,754.0832470790047,a,1.2882393799955025,10,348,0,755.4013627690001,756.9033140569954,,,40673,2022-10-26_14h41.08.712,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.10340526239601,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,3,6,42,1,,,,,,,,757.4038639770006,757.4038639770006,757.4038639770006,757.4038639770006,757.4038639770006,757.4038639770006,757.4038639770006,757.4038639770006,757.4038639770006,757.4038639770006,l,2.62389652398997,1,349,0,760.0564192989987,761.5582406489993,,,40673,2022-10-26_14h41.08.712,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.10340526239601,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,3,7,43,10,,,,,,,,762.0588175080047,762.0588175080047,762.0588175080047,762.0588175080047,762.0588175080047,762.0588175080047,762.0588175080047,762.0588175080047,762.0588175080047,762.0588175080047,a,0.7050300589908147,1,350,0,762.7926824190072,764.2943882929976,,,40673,2022-10-26_14h41.08.712,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.10340526239601,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,3,8,44,3,,,,,,,,764.7948654270003,764.7948654270003,764.7948654270003,764.7948654270003,764.7948654270003,764.7948654270003,764.7948654270003,764.7948654270003,764.7948654270003,764.7948654270003,a,0.4506556359992828,10,360,0,765.2623227970034,766.763806094008,766.763806094008,,40673,2022-10-26_14h41.08.712,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.10340526239601,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,3,9,45,4,,,,,,,,767.264426542999,767.264426542999,767.264426542999,767.264426542999,767.264426542999,767.264426542999,767.264426542999,767.264426542999,767.264426542999,767.264426542999,a,0.651751712008263,10,370,0,767.948724050002,769.4501889649982,,,40673,2022-10-26_14h41.08.712,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.10340526239601,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,3,10,46,0,,,,,,,,769.951020196997,769.951020196997,769.951020196997,769.951020196997,769.951020196997,769.951020196997,769.951020196997,769.951020196997,769.951020196997,769.951020196997,l,0.43651795500773005,10,380,0,770.418050060005,771.919611143996,,,40673,2022-10-26_14h41.08.712,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.10340526239601,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,3,11,47,7,,,,,,,,772.4203809440078,772.4203809440078,772.4203809440078,772.4203809440078,772.4203809440078,772.4203809440078,772.4203809440078,772.4203809440078,772.4203809440078,772.4203809440078,l,0.47205334799946286,10,390,0,772.9207067020034,774.4222499290045,,,40673,2022-10-26_14h41.08.712,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.10340526239601,
0,0,0,1,1,0,0,0,star,triangle,1,0,1,0,0,0,0,9,,,,,,,,781.4467968889949,781.4467968889949,781.4467968889949,781.4467968889949,781.4467968889949,781.4467968889949,781.4467968889949,781.4467968889949,781.4467968889949,781.4467968889949,a,0.8923715240089223,10,400,1,782.3643370729988,783.8662073820014,,,40673,2022-10-26_14h41.08.712,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.10340526239601,
1,0,0,0,0,0,0,1,triangle,star,1,0,1,0,0,1,1,2,,,,,,,,784.3666342579963,784.3666342579963,784.3666342579963,784.3666342579963,784.3666342579963,784.3666342579963,784.3666342579963,784.3666342579963,784.3666342579963,784.3666342579963,l,0.7092742030072259,10,410,1,785.1011428750062,786.6023053829995,,,40673,2022-10-26_14h41.08.712,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.10340526239601,
1,0,0,0,0,0,1,0,triangle,hexagon,1,0,1,0,0,2,2,1,,,,,,,,787.1030002729967,787.1030002729967,787.1030002729967,787.1030002729967,787.1030002729967,787.1030002729967,787.1030002729967,787.1030002729967,787.1030002729967,787.1030002729967,l,0.6766604279982857,1,411,1,787.8038343480002,789.3054994529957,,,40673,2022-10-26_14h41.08.712,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.10340526239601,
0,0,0,1,0,1,0,0,star ,circle,1,0,1,0,0,3,3,10,,,,,,,,789.8060092300002,789.8060092300002,789.8060092300002,789.8060092300002,789.8060092300002,789.8060092300002,789.8060092300002,789.8060092300002,789.8060092300002,789.8060092300002,a,0.5988226179906633,1,412,1,790.4232654350053,791.9250144179969,,,40673,2022-10-26_14h41.08.712,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.10340526239601,
0,1,0,0,0,0,0,1,circle,star,1,0,1,0,0,4,4,5,,,,,,,,792.4256650290044,792.4256650290044,792.4256650290044,792.4256650290044,792.4256650290044,792.4256650290044,792.4256650290044,792.4256650290044,792.4256650290044,792.4256650290044,a,0.7142313450021902,10,422,1,793.1596494429978,794.6616102990083,,,40673,2022-10-26_14h41.08.712,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.10340526239601,
0,1,0,0,0,0,1,0,circle,hexagon,1,0,1,0,0,5,5,4,,,,,,,,795.1619700400042,795.1619700400042,795.1619700400042,795.1619700400042,795.1619700400042,795.1619700400042,795.1619700400042,795.1619700400042,795.1619700400042,795.1619700400042,a,0.5063773099973332,10,432,1,795.6959623779985,797.197473334003,,,40673,2022-10-26_14h41.08.712,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.10340526239601,
0,0,1,0,0,0,0,1,hexagon,star,1,0,1,0,0,6,6,8,,,,,,,,797.698166037997,797.698166037997,797.698166037997,797.698166037997,797.698166037997,797.698166037997,797.698166037997,797.698166037997,797.698166037997,797.698166037997,a,2.576821545997518,1,433,1,800.3008272430015,801.8025507790007,,,40673,2022-10-26_14h41.08.712,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.10340526239601,
0,0,1,0,0,1,0,0,hexagon,circle,1,0,1,0,0,7,7,7,,,,,,,,802.3032636700082,802.3032636700082,802.3032636700082,802.3032636700082,802.3032636700082,802.3032636700082,802.3032636700082,802.3032636700082,802.3032636700082,802.3032636700082,l,0.6762236740032677,10,443,1,803.0038388499961,804.5054637980065,,,40673,2022-10-26_14h41.08.712,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.10340526239601,
1,0,0,0,0,1,0,0,triangle,circle,1,0,1,0,0,8,8,0,,,,,,,,805.0060278500023,805.0060278500023,805.0060278500023,805.0060278500023,805.0060278500023,805.0060278500023,805.0060278500023,805.0060278500023,805.0060278500023,805.0060278500023,l,0.3828227359917946,10,453,1,805.4064343250066,806.9082014890009,,,40673,2022-10-26_14h41.08.712,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.10340526239601,
0,1,0,0,1,0,0,0,circle,triangle,1,0,1,0,0,9,9,3,,,,,,,,807.4087287629955,807.4087287629955,807.4087287629955,807.4087287629955,807.4087287629955,807.4087287629955,807.4087287629955,807.4087287629955,807.4087287629955,807.4087287629955,a,0.5164025539997965,10,463,1,807.9426228679949,809.4442280600051,,,40673,2022-10-26_14h41.08.712,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.10340526239601,
