LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,training_feedback_txt.stopped,fix.started,fix.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,top_target_prac1.stopped,bott_target_prac1.stopped,target_resp_prac1.stopped,acc,E1,target_resp_prac1.keys,pracBlock,prac_fback_text.started,target_resp_prac1.rt,tgt_fix_prac1.stopped,prac_fback_text.stopped,participant,date,expName,psychopyVersion,frameRate,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,0,11,11,9,,,,,,,,,,,,309.7819005209021,309.7819005209021,309.7819005209021,309.7819005209021,309.7819005209021,309.7819005209021,309.7819005209021,309.7819005209021,309.7819005209021,309.7819005209021,a,0.46775197121314704,10,48,0,310.2827127089258,,311.7841752790846,,,,,,,,,,,,,,,,,,,,,38074,2022-11-09_14h33.05.439,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.81407118843644,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,1,0,12,2,,,,,,,,,,,,312.2845840288792,312.2845840288792,312.2845840288792,312.2845840288792,312.2845840288792,312.2845840288792,312.2845840288792,312.2845840288792,312.2845840288792,312.2845840288792,a,0.3370794472284615,10,58,0,312.6516613669228,,314.15344914002344,,,,,,,,,,,,,,,,,,,,,38074,2022-11-09_14h33.05.439,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.81407118843644,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,1,1,13,4,,,,,,,,,,,,314.65379201690666,314.65379201690666,314.65379201690666,314.65379201690666,314.65379201690666,314.65379201690666,314.65379201690666,314.65379201690666,314.65379201690666,314.65379201690666,a,0.37623144523240626,10,68,0,315.0543398188893,,316.5561191639863,,,,,,,,,,,,,,,,,,,,,38074,2022-11-09_14h33.05.439,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.81407118843644,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,1,2,14,7,,,,,,,,,,,,317.05677666608244,317.05677666608244,317.05677666608244,317.05677666608244,317.05677666608244,317.05677666608244,317.05677666608244,317.05677666608244,317.05677666608244,317.05677666608244,a,0.48457228508777916,1,69,0,317.5740724268835,,319.0755407488905,,,,,,,,,,,,,,,,,,,,,38074,2022-11-09_14h33.05.439,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.81407118843644,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,1,3,15,9,,,,,,,,,,,,319.5759760320652,319.5759760320652,319.5759760320652,319.5759760320652,319.5759760320652,319.5759760320652,319.5759760320652,319.5759760320652,319.5759760320652,319.5759760320652,l,0.3147814520634711,10,79,0,319.9099941139575,,321.4113406809047,,,,,,,,,,,,,,,,,,,,,38074,2022-11-09_14h33.05.439,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.81407118843644,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,1,4,16,3,,,,,,,,,,,,321.9119687890634,321.9119687890634,321.9119687890634,321.9119687890634,321.9119687890634,321.9119687890634,321.9119687890634,321.9119687890634,321.9119687890634,321.9119687890634,a,0.352444414049387,10,89,0,322.2956053649541,,323.7974892340135,,,,,,,,,,,,,,,,,,,,,38074,2022-11-09_14h33.05.439,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.81407118843644,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,1,5,17,5,,,,,,,,,,,,324.2979961489327,324.2979961489327,324.2979961489327,324.2979961489327,324.2979961489327,324.2979961489327,324.2979961489327,324.2979961489327,324.2979961489327,324.2979961489327,l,0.31799727119505405,1,90,0,324.6483162669465,,326.1501933040563,,,,,,,,,,,,,,,,,,,,,38074,2022-11-09_14h33.05.439,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.81407118843644,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,1,6,18,8,,,,,,,,,,,,326.65068521210924,326.65068521210924,326.65068521210924,326.65068521210924,326.65068521210924,326.65068521210924,326.65068521210924,326.65068521210924,326.65068521210924,326.65068521210924,a,0.30598886008374393,10,100,0,326.9842556370422,,328.4859546639491,,,,,,,,,,,,,,,,,,,,,38074,2022-11-09_14h33.05.439,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.81407118843644,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,1,7,19,6,,,,,,,,,,,,328.986544854939,328.986544854939,328.986544854939,328.986544854939,328.986544854939,328.986544854939,328.986544854939,328.986544854939,328.986544854939,328.986544854939,l,0.32017706404440105,10,110,0,329.3368510999717,,330.8382973410189,,,,,,,,,,,,,,,,,,,,,38074,2022-11-09_14h33.05.439,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.81407118843644,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,1,8,20,11,,,,,,,,,,,,331.33913145097904,331.33913145097904,331.33913145097904,331.33913145097904,331.33913145097904,331.33913145097904,331.33913145097904,331.33913145097904,331.33913145097904,331.33913145097904,a,0.37586429505608976,1,111,0,331.7393483968917,,333.24106953991577,,,,,,,,,,,,,,,,,,,,,38074,2022-11-09_14h33.05.439,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.81407118843644,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,1,9,21,1,,,,,,,,,,,,333.7416362990625,333.7416362990625,333.7416362990625,333.7416362990625,333.7416362990625,333.7416362990625,333.7416362990625,333.7416362990625,333.7416362990625,333.7416362990625,l,0.2690063831396401,1,112,0,334.04213433200493,,335.5437398259528,,,,,,,,,,,,,,,,,,,,,38074,2022-11-09_14h33.05.439,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.81407118843644,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,1,10,22,0,,,,,,,,,,,,336.04435746604577,336.04435746604577,336.04435746604577,336.04435746604577,336.04435746604577,336.04435746604577,336.04435746604577,336.04435746604577,336.04435746604577,336.04435746604577,a,0.31788909202441573,1,113,0,336.39460068009794,337.89584323600866,337.89584323600866,,,,,,,,,,,,,,,,,,,,,38074,2022-11-09_14h33.05.439,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.81407118843644,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,1,11,23,10,,,,,,,,,,,,338.396402657032,338.396402657032,338.396402657032,338.396402657032,338.396402657032,338.396402657032,338.396402657032,338.396402657032,338.396402657032,338.396402657032,a,0.28404965810477734,1,114,0,338.6967006169725,340.19881046097726,340.19881046097726,,,,,,,,,,,,,,,,,,,,,38074,2022-11-09_14h33.05.439,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.81407118843644,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,2,0,24,4,,,,,,,,,,,,340.6994120751042,340.6994120751042,340.6994120751042,340.6994120751042,340.6994120751042,340.6994120751042,340.6994120751042,340.6994120751042,340.6994120751042,340.6994120751042,l,0.2749957509804517,10,124,0,340.9996400659438,,342.5013224610593,,,,,,,,,,,,,,,,,,,,,38074,2022-11-09_14h33.05.439,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.81407118843644,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,2,1,25,6,,,,,,,,,,,,343.0020548359025,343.0020548359025,343.0020548359025,343.0020548359025,343.0020548359025,343.0020548359025,343.0020548359025,343.0020548359025,343.0020548359025,343.0020548359025,l,0.550992168020457,10,134,0,343.58583415695466,,345.08763595391065,,,,,,,,,,,,,,,,,,,,,38074,2022-11-09_14h33.05.439,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.81407118843644,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,2,2,26,11,,,,,,,,,,,,345.5879922870081,345.5879922870081,345.5879922870081,345.5879922870081,345.5879922870081,345.5879922870081,345.5879922870081,345.5879922870081,345.5879922870081,345.5879922870081,l,0.34973872103728354,1,135,0,345.95528974500485,347.4570131399669,347.4570131399669,,,,,,,,,,,,,,,,,,,,,38074,2022-11-09_14h33.05.439,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.81407118843644,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,2,3,27,8,,,,,,,,,,,,347.95738184591755,347.95738184591755,347.95738184591755,347.95738184591755,347.95738184591755,347.95738184591755,347.95738184591755,347.95738184591755,347.95738184591755,347.95738184591755,a,0.29584036697633564,10,145,0,348.27434041001834,,349.7761131960433,,,,,,,,,,,,,,,,,,,,,38074,2022-11-09_14h33.05.439,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.81407118843644,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,2,4,28,1,,,,,,,,,,,,350.2767938559409,350.2767938559409,350.2767938559409,350.2767938559409,350.2767938559409,350.2767938559409,350.2767938559409,350.2767938559409,350.2767938559409,350.2767938559409,a,0.2945019791368395,10,155,0,350.59372062492184,,352.09518348705024,,,,,,,,,,,,,,,,,,,,,38074,2022-11-09_14h33.05.439,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.81407118843644,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,2,5,29,3,,,,,,,,,,,,352.59597433102317,352.59597433102317,352.59597433102317,352.59597433102317,352.59597433102317,352.59597433102317,352.59597433102317,352.59597433102317,352.59597433102317,352.59597433102317,a,0.3373889080248773,1,156,0,352.9629704048857,,354.4645843319595,,,,,,,,,,,,,,,,,,,,,38074,2022-11-09_14h33.05.439,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.81407118843644,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,2,6,30,10,,,,,,,,,,,,354.96528511098586,354.96528511098586,354.96528511098586,354.96528511098586,354.96528511098586,354.96528511098586,354.96528511098586,354.96528511098586,354.96528511098586,354.96528511098586,l,0.30937158106826246,10,166,0,355.2990131310653,,356.8004455349874,,,,,,,,,,,,,,,,,,,,,38074,2022-11-09_14h33.05.439,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.81407118843644,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,2,7,31,7,,,,,,,,,,,,357.30131699494086,357.30131699494086,357.30131699494086,357.30131699494086,357.30131699494086,357.30131699494086,357.30131699494086,357.30131699494086,357.30131699494086,357.30131699494086,a,0.381117737153545,1,167,0,357.7016264300328,,359.20328890695237,,,,,,,,,,,,,,,,,,,,,38074,2022-11-09_14h33.05.439,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.81407118843644,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,2,8,32,5,,,,,,,,,,,,359.7036026220303,359.7036026220303,359.7036026220303,359.7036026220303,359.7036026220303,359.7036026220303,359.7036026220303,359.7036026220303,359.7036026220303,359.7036026220303,l,0.39761343598365784,1,168,0,360.1209171190858,,361.6224237270653,,,,,,,,,,,,,,,,,,,,,38074,2022-11-09_14h33.05.439,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.81407118843644,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,2,9,33,2,,,,,,,,,,,,362.1231686200481,362.1231686200481,362.1231686200481,362.1231686200481,362.1231686200481,362.1231686200481,362.1231686200481,362.1231686200481,362.1231686200481,362.1231686200481,l,0.4650432881899178,1,169,0,362.6068792520091,,364.1085911709815,,,,,,,,,,,,,,,,,,,,,38074,2022-11-09_14h33.05.439,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.81407118843644,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,2,10,34,0,,,,,,,,,,,,364.60917853191495,364.60917853191495,364.60917853191495,364.60917853191495,364.60917853191495,364.60917853191495,364.60917853191495,364.60917853191495,364.60917853191495,364.60917853191495,a,0.3414730071090162,10,179,0,364.9762006669771,,366.47793768602423,,,,,,,,,,,,,,,,,,,,,38074,2022-11-09_14h33.05.439,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.81407118843644,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,2,11,35,9,,,,,,,,,,,,366.9783083999064,366.9783083999064,366.9783083999064,366.9783083999064,366.9783083999064,366.9783083999064,366.9783083999064,366.9783083999064,366.9783083999064,366.9783083999064,a,0.3450286742299795,1,180,0,367.3454224220477,,368.84729061392136,,,,,,,,,,,,,,,,,,,,,38074,2022-11-09_14h33.05.439,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.81407118843644,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,3,0,36,0,,,,,,,,,,,,369.3477081810124,369.3477081810124,369.3477081810124,369.3477081810124,369.3477081810124,369.3477081810124,369.3477081810124,369.3477081810124,369.3477081810124,369.3477081810124,a,0.6763307969085872,10,190,0,370.0484852970112,,371.55006796191446,,,,,,,,,,,,,,,,,,,,,38074,2022-11-09_14h33.05.439,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.81407118843644,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,3,1,37,9,,,,,,,,,,,,372.05067346594296,372.05067346594296,372.05067346594296,372.05067346594296,372.05067346594296,372.05067346594296,372.05067346594296,372.05067346594296,372.05067346594296,372.05067346594296,l,0.538933846866712,1,191,0,372.61796919908375,,374.1196301439777,,,,,,,,,,,,,,,,,,,,,38074,2022-11-09_14h33.05.439,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.81407118843644,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,3,2,38,8,,,,,,,,,,,,374.6200509238988,374.6200509238988,374.6200509238988,374.6200509238988,374.6200509238988,374.6200509238988,374.6200509238988,374.6200509238988,374.6200509238988,374.6200509238988,a,0.38864889508113265,10,201,0,375.03733718092553,,376.53903428209014,,,,,,,,,,,,,,,,,,,,,38074,2022-11-09_14h33.05.439,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.81407118843644,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,3,3,39,4,,,,,,,,,,,,377.03965252195485,377.03965252195485,377.03965252195485,377.03965252195485,377.03965252195485,377.03965252195485,377.03965252195485,377.03965252195485,377.03965252195485,377.03965252195485,a,3.3033434911631048,10,211,0,380.35973206092604,381.8613366619684,381.8613366619684,,,,,,,,,,,,,,,,,,,,,38074,2022-11-09_14h33.05.439,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.81407118843644,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,3,4,40,11,,,,,,,,,,,,382.3620231610257,382.3620231610257,382.3620231610257,382.3620231610257,382.3620231610257,382.3620231610257,382.3620231610257,382.3620231610257,382.3620231610257,382.3620231610257,l,0.5680353541392833,10,221,0,382.9624392138794,,384.4642004019115,,,,,,,,,,,,,,,,,,,,,38074,2022-11-09_14h33.05.439,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.81407118843644,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,3,5,41,7,,,,,,,,,,,,384.96496794209816,384.96496794209816,384.96496794209816,384.96496794209816,384.96496794209816,384.96496794209816,384.96496794209816,384.96496794209816,384.96496794209816,384.96496794209816,a,0.4180927451234311,10,231,0,385.41550731193274,,386.91704138205387,,,,,,,,,,,,,,,,,,,,,38074,2022-11-09_14h33.05.439,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.81407118843644,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,3,6,42,5,,,,,,,,,,,,387.4176253960468,387.4176253960468,387.4176253960468,387.4176253960468,387.4176253960468,387.4176253960468,387.4176253960468,387.4176253960468,387.4176253960468,387.4176253960468,l,0.31709801801480353,1,232,0,387.7514466769062,389.2529917298816,389.2529917298816,,,,,,,,,,,,,,,,,,,,,38074,2022-11-09_14h33.05.439,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.81407118843644,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,3,7,43,10,,,,,,,,,,,,389.75350901600905,389.75350901600905,389.75350901600905,389.75350901600905,389.75350901600905,389.75350901600905,389.75350901600905,389.75350901600905,389.75350901600905,389.75350901600905,a,0.2853709349874407,1,233,0,390.0706050770823,391.5719994790852,391.5719994790852,,,,,,,,,,,,,,,,,,,,,38074,2022-11-09_14h33.05.439,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.81407118843644,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,3,8,44,3,,,,,,,,,,,,392.0727317959536,392.0727317959536,392.0727317959536,392.0727317959536,392.0727317959536,392.0727317959536,392.0727317959536,392.0727317959536,392.0727317959536,392.0727317959536,a,0.3965711882337928,1,234,0,392.4898788090795,,393.9913797820918,,,,,,,,,,,,,,,,,,,,,38074,2022-11-09_14h33.05.439,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.81407118843644,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,3,9,45,2,,,,,,,,,,,,394.4921747990884,394.4921747990884,394.4921747990884,394.4921747990884,394.4921747990884,394.4921747990884,394.4921747990884,394.4921747990884,394.4921747990884,394.4921747990884,a,0.30731759523041546,10,244,0,394.82569683203474,,396.32754759606905,,,,,,,,,,,,,,,,,,,,,38074,2022-11-09_14h33.05.439,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.81407118843644,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,3,10,46,6,,,,,,,,,,,,396.8281100760214,396.8281100760214,396.8281100760214,396.8281100760214,396.8281100760214,396.8281100760214,396.8281100760214,396.8281100760214,396.8281100760214,396.8281100760214,a,0.33458277909085155,1,245,0,397.1950931120664,,398.6968604470603,,,,,,,,,,,,,,,,,,,,,38074,2022-11-09_14h33.05.439,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.81407118843644,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,3,11,47,1,,,,,,,,,,,,399.1972657109145,399.1972657109145,399.1972657109145,399.1972657109145,399.1972657109145,399.1972657109145,399.1972657109145,399.1972657109145,399.1972657109145,399.1972657109145,a,0.35088625317439437,10,255,0,399.58090762607753,,401.0826456719078,,,,,,,,,,,,,,,,,,,,,38074,2022-11-09_14h33.05.439,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.81407118843644,
0,0,0,1,0,0,1,0,star,hexagon,1,0,1,0,0,0,0,11,,,,,,,,,,,,407.5066793470178,407.5066793470178,407.5066793470178,407.5066793470178,407.5066793470178,407.5066793470178,407.5066793470178,407.5066793470178,407.5066793470178,407.5066793470178,a,0.7363657741807401,1,256,1,408.273944840068,,409.7757313319016,,,,,,,,,,,,,,,,,,,,,38074,2022-11-09_14h33.05.439,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.81407118843644,
0,0,0,1,1,0,0,0,star,triangle,1,0,1,0,0,1,1,9,,,,,,,,,,,,410.2760725659318,410.2760725659318,410.2760725659318,410.2760725659318,410.2760725659318,410.2760725659318,410.2760725659318,410.2760725659318,410.2760725659318,410.2760725659318,l,0.3632898770738393,1,257,1,410.65996774705127,,412.1614084690809,,,,,,,,,,,,,,,,,,,,,38074,2022-11-09_14h33.05.439,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.81407118843644,
0,0,1,0,0,0,0,1,hexagon,star,1,0,1,0,0,2,2,8,,,,,,,,,,,,412.66199141088873,412.66199141088873,412.66199141088873,412.66199141088873,412.66199141088873,412.66199141088873,412.66199141088873,412.66199141088873,412.66199141088873,412.66199141088873,a,0.3288133288733661,1,258,1,413.0126456168946,,414.51419880706817,,,,,,,,,,,,,,,,,,,,,38074,2022-11-09_14h33.05.439,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.81407118843644,
0,0,1,0,0,1,0,0,hexagon,circle,1,0,1,0,0,3,3,7,,,,,,,,,,,,415.01460875198245,415.01460875198245,415.01460875198245,415.01460875198245,415.01460875198245,415.01460875198245,415.01460875198245,415.01460875198245,415.01460875198245,415.01460875198245,l,0.2707913259509951,10,268,1,415.3149924050085,,416.8166598859243,,,,,,,,,,,,,,,,,,,,,38074,2022-11-09_14h33.05.439,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.81407118843644,
