LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,training_feedback_txt.stopped,fix.started,fix.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,top_target_prac1.stopped,bott_target_prac1.stopped,target_resp_prac1.stopped,acc,E1,target_resp_prac1.keys,pracBlock,prac_fback_text.started,target_resp_prac1.rt,tgt_fix_prac1.stopped,prac_fback_text.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,249.23481425410137,space,11.194611333077773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38074,2022-11-09_14h33.05.439,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.81407118843644,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,0,0,0,11,,,,,,,,,,,,280.4996556220576,280.4996556220576,280.4996556220576,280.4996556220576,280.4996556220576,280.4996556220576,280.4996556220576,280.4996556220576,280.4996556220576,280.4996556220576,a,2.1184439728967845,1,1,0,282.63524727895856,284.13714134693146,284.13714134693146,,,,,,,,,,,,,,,,,,,,,38074,2022-11-09_14h33.05.439,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.81407118843644,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,0,1,1,7,,,,,,,,,,,,284.637665506918,284.637665506918,284.637665506918,284.637665506918,284.637665506918,284.637665506918,284.637665506918,284.637665506918,284.637665506918,284.637665506918,l,0.6346378391608596,1,2,0,285.30505540408194,,286.80680508189835,,,,,,,,,,,,,,,,,,,,,38074,2022-11-09_14h33.05.439,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.81407118843644,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,0,2,2,1,,,,,,,,,,,,287.3073549750261,287.3073549750261,287.3073549750261,287.3073549750261,287.3073549750261,287.3073549750261,287.3073549750261,287.3073549750261,287.3073549750261,287.3073549750261,a,0.3839415688998997,1,3,0,287.7076995749958,289.20927926991135,289.20927926991135,,,,,,,,,,,,,,,,,,,,,38074,2022-11-09_14h33.05.439,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.81407118843644,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,0,3,3,5,,,,,,,,,,,,289.70988451107405,289.70988451107405,289.70988451107405,289.70988451107405,289.70988451107405,289.70988451107405,289.70988451107405,289.70988451107405,289.70988451107405,289.70988451107405,a,0.26551023311913013,1,4,0,289.9935194689315,,291.4951855649706,,,,,,,,,,,,,,,,,,,,,38074,2022-11-09_14h33.05.439,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.81407118843644,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,0,4,4,6,,,,,,,,,,,,291.99583918903954,291.99583918903954,291.99583918903954,291.99583918903954,291.99583918903954,291.99583918903954,291.99583918903954,291.99583918903954,291.99583918903954,291.99583918903954,a,0.6113333501853049,1,5,0,292.6296805299353,,294.1314737969078,,,,,,,,,,,,,,,,,,,,,38074,2022-11-09_14h33.05.439,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.81407118843644,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,0,5,5,8,,,,,,,,,,,,294.63191883196123,294.63191883196123,294.63191883196123,294.63191883196123,294.63191883196123,294.63191883196123,294.63191883196123,294.63191883196123,294.63191883196123,294.63191883196123,l,0.35057152318768203,1,6,0,294.9991187960841,296.50078472401947,296.50078472401947,,,,,,,,,,,,,,,,,,,,,38074,2022-11-09_14h33.05.439,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.81407118843644,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,0,6,6,4,,,,,,,,,,,,297.0013192698825,297.0013192698825,297.0013192698825,297.0013192698825,297.0013192698825,297.0013192698825,297.0013192698825,297.0013192698825,297.0013192698825,297.0013192698825,l,0.7362250341102481,1,7,0,297.7687472458929,,299.27055273693986,,,,,,,,,,,,,,,,,,,,,38074,2022-11-09_14h33.05.439,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.81407118843644,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,0,7,7,0,,,,,,,,,,,,299.770811551949,299.770811551949,299.770811551949,299.770811551949,299.770811551949,299.770811551949,299.770811551949,299.770811551949,299.770811551949,299.770811551949,l,0.43206614907830954,10,17,0,300.2212869368959,,301.7233242990915,,,,,,,,,,,,,,,,,,,,,38074,2022-11-09_14h33.05.439,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.81407118843644,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,0,8,8,2,,,,,,,,,,,,302.22373266890645,302.22373266890645,302.22373266890645,302.22373266890645,302.22373266890645,302.22373266890645,302.22373266890645,302.22373266890645,302.22373266890645,302.22373266890645,a,0.4411190061364323,10,27,0,302.69073449098505,,304.1926524450537,,,,,,,,,,,,,,,,,,,,,38074,2022-11-09_14h33.05.439,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.81407118843644,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,0,9,9,3,,,,,,,,,,,,304.6929525639862,304.6929525639862,304.6929525639862,304.6929525639862,304.6929525639862,304.6929525639862,304.6929525639862,304.6929525639862,304.6929525639862,304.6929525639862,a,0.6177283730357885,10,37,0,305.3270889769774,306.8288091290742,306.8288091290742,307.32898402702995,,,,,,,,,,,,,,,,,,,,38074,2022-11-09_14h33.05.439,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.81407118843644,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,0,10,10,10,,,,,,,,,,,,307.32898402702995,307.32898402702995,307.32898402702995,307.32898402702995,307.32898402702995,307.32898402702995,307.32898402702995,307.32898402702995,307.32898402702995,307.32898402702995,l,0.42122026812285185,1,38,0,307.7796628489159,,309.2812169638928,,,,,,,,,,,,,,,,,,,,,38074,2022-11-09_14h33.05.439,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.81407118843644,
