LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,training_feedback_txt.stopped,fix.started,fix.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,top_target_prac1.stopped,tgt_fix_prac1.stopped,bott_target_prac1.stopped,target_resp_prac1.stopped,acc,E1,target_resp_prac1.keys,pracBlock,prac_fback_text.started,prac_fback_text.stopped,target_resp_prac1.rt,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,385.91779097518884,space,18.76176110212691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22483,2022-11-08_08h01.33.672,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.976697863035355,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,0,9,9,11,,,,,,,,,,,,472.42851895513013,472.42851895513013,472.42851895513013,472.42851895513013,472.42851895513013,472.42851895513013,472.42851895513013,472.42851895513013,472.42851895513013,472.42851895513013,l,1.4096199278719723,10,64,0,473.86347901821136,,475.3650622051209,,,,,,,,,,,,,,,,,,,,,22483,2022-11-08_08h01.33.672,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.976697863035355,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,0,10,10,10,,,,,,,,,,,,475.86554721021093,475.86554721021093,475.86554721021093,475.86554721021093,475.86554721021093,475.86554721021093,475.86554721021093,475.86554721021093,475.86554721021093,475.86554721021093,a,0.8535040239803493,10,74,0,476.7498507350683,,478.25144530809484,,,,,,,,,,,,,,,,,,,,,22483,2022-11-08_08h01.33.672,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.976697863035355,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,0,11,11,3,,,,,,,,,,,,478.7520777960308,478.7520777960308,478.7520777960308,478.7520777960308,478.7520777960308,478.7520777960308,478.7520777960308,478.7520777960308,478.7520777960308,478.7520777960308,l,0.7449207319878042,10,84,0,479.5198920350522,,481.0214619701728,,,,,,,,,,,,,,,,,,,,,22483,2022-11-08_08h01.33.672,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.976697863035355,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,1,0,12,0,,,,,,,,,,,,481.5219039490912,481.5219039490912,481.5219039490912,481.5219039490912,481.5219039490912,481.5219039490912,481.5219039490912,481.5219039490912,481.5219039490912,481.5219039490912,a,0.6998249299358577,10,94,0,482.23936228407547,,483.74099491513334,,,,,,,,,,,,,,,,,,,,,22483,2022-11-08_08h01.33.672,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.976697863035355,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,1,1,13,4,,,,,,,,,,,,484.2416691961698,484.2416691961698,484.2416691961698,484.2416691961698,484.2416691961698,484.2416691961698,484.2416691961698,484.2416691961698,484.2416691961698,484.2416691961698,l,0.6913496491033584,10,104,0,484.95900364918634,,486.4606288061477,,,,,,,,,,,,,,,,,,,,,22483,2022-11-08_08h01.33.672,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.976697863035355,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,1,2,14,11,,,,,,,,,,,,486.9610976600088,486.9610976600088,486.9610976600088,486.9610976600088,486.9610976600088,486.9610976600088,486.9610976600088,486.9610976600088,486.9610976600088,486.9610976600088,l,1.0657489818986505,10,114,0,488.04586160811596,,489.54736257111654,,,,,,,,,,,,,,,,,,,,,22483,2022-11-08_08h01.33.672,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.976697863035355,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,1,3,15,10,,,,,,,,,,,,490.0478868051432,490.0478868051432,490.0478868051432,490.0478868051432,490.0478868051432,490.0478868051432,490.0478868051432,490.0478868051432,490.0478868051432,490.0478868051432,a,0.678066317923367,10,124,0,490.7488166161347,,492.2504255489912,,,,,,,,,,,,,,,,,,,,,22483,2022-11-08_08h01.33.672,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.976697863035355,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,1,4,16,6,,,,,,,,,,,,492.75111835915595,492.75111835915595,492.75111835915595,492.75111835915595,492.75111835915595,492.75111835915595,492.75111835915595,492.75111835915595,492.75111835915595,492.75111835915595,a,1.4188894249964505,10,134,0,494.2026830560062,,495.7042206840124,,,,,,,,,,,,,,,,,,,,,22483,2022-11-08_08h01.33.672,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.976697863035355,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,1,5,17,8,,,,,,,,,,,,496.20484893908724,496.20484893908724,496.20484893908724,496.20484893908724,496.20484893908724,496.20484893908724,496.20484893908724,496.20484893908724,496.20484893908724,496.20484893908724,l,0.6865078520495445,1,135,0,496.9222524801735,498.42411706317216,498.42411706317216,498.9247360730078,,,,,,,,,,,,,,,,,,,,22483,2022-11-08_08h01.33.672,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.976697863035355,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,1,6,18,9,,,,,,,,,,,,498.9247360730078,498.9247360730078,498.9247360730078,498.9247360730078,498.9247360730078,498.9247360730078,498.9247360730078,498.9247360730078,498.9247360730078,498.9247360730078,a,2.1625586757436395,1,136,0,501.1102235640865,502.6119325950276,502.6119325950276,,,,,,,,,,,,,,,,,,,,,22483,2022-11-08_08h01.33.672,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.976697863035355,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,1,7,19,7,,,,,,,,,,,,503.11231638421305,503.11231638421305,503.11231638421305,503.11231638421305,503.11231638421305,503.11231638421305,503.11231638421305,503.11231638421305,503.11231638421305,503.11231638421305,a,1.115388710051775,10,146,0,504.2470598111395,,505.7486662149895,,,,,,,,,,,,,,,,,,,,,22483,2022-11-08_08h01.33.672,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.976697863035355,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,1,8,20,2,,,,,,,,,,,,506.2494325051084,506.2494325051084,506.2494325051084,506.2494325051084,506.2494325051084,506.2494325051084,506.2494325051084,506.2494325051084,506.2494325051084,506.2494325051084,a,0.9025128670036793,10,156,0,507.18349302513525,,508.6851661980618,,,,,,,,,,,,,,,,,,,,,22483,2022-11-08_08h01.33.672,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.976697863035355,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,1,9,21,3,,,,,,,,,,,,509.18573238910176,509.18573238910176,509.18573238910176,509.18573238910176,509.18573238910176,509.18573238910176,509.18573238910176,509.18573238910176,509.18573238910176,509.18573238910176,l,0.9370043620001525,10,166,0,510.1535911660176,,511.6550603611395,,,,,,,,,,,,,,,,,,,,,22483,2022-11-08_08h01.33.672,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.976697863035355,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,1,10,22,1,,,,,,,,,,,,512.1555404930841,512.1555404930841,512.1555404930841,512.1555404930841,512.1555404930841,512.1555404930841,512.1555404930841,512.1555404930841,512.1555404930841,512.1555404930841,l,0.9365944969467819,10,176,0,513.1236454811879,,514.6251452001743,,,,,,,,,,,,,,,,,,,,,22483,2022-11-08_08h01.33.672,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.976697863035355,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,1,11,23,5,,,,,,,,,,,,515.1257587990258,515.1257587990258,515.1257587990258,515.1257587990258,515.1257587990258,515.1257587990258,515.1257587990258,515.1257587990258,515.1257587990258,515.1257587990258,l,1.2089322439860553,1,177,0,516.3603434490506,,517.8618317511864,,,,,,,,,,,,,,,,,,,,,22483,2022-11-08_08h01.33.672,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.976697863035355,
