LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,training_feedback_txt.stopped,fix.started,fix.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,prac_fback_text.started,prac_fback_text.stopped,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,top_target_prac2.stopped,bott_target_prac2.stopped,target_resp_prac2.stopped,target_resp_prac2.keys,target_resp_prac2.rt,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.108158469200134,space,43.09704314288683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40408,2022-11-16_10h16.13.931,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.01775918754871,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,94.33533978508785,94.33533978508785,94.33533978508785,94.33533978508785,94.33533978508785,94.33533978508785,94.33533978508785,94.33533978508785,94.33533978508785,94.33533978508785,l,1.632202603854239,1,1,0,95.99397624400444,97.49368799803779,97.49368799803779,,,,,,,,,,,,,,,,,,,,,,,,,,40408,2022-11-16_10h16.13.931,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.01775918754871,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,0,1,1,2,,,,,,,,,,,,,,,,,,,,97.99376715207472,97.99376715207472,97.99376715207472,97.99376715207472,97.99376715207472,97.99376715207472,97.99376715207472,97.99376715207472,97.99376715207472,97.99376715207472,l,2.564221729990095,10,11,0,100.58087202813476,102.08062038407661,102.08062038407661,102.58061991818249,,,,,,,,,,,,,,,,,,,,,,,,,40408,2022-11-16_10h16.13.931,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.01775918754871,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,0,2,2,8,,,,,,,,,,,,,,,,,,,,102.58061991818249,102.58061991818249,102.58061991818249,102.58061991818249,102.58061991818249,102.58061991818249,102.58061991818249,102.58061991818249,102.58061991818249,102.58061991818249,l,1.015030366834253,1,12,0,103.61475209519267,105.11500965314917,105.11500965314917,,,,,,,,,,,,,,,,,,,,,,,,,,40408,2022-11-16_10h16.13.931,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.01775918754871,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,0,3,3,4,,,,,,,,,,,,,,,,,,,,105.6169160171412,105.6169160171412,105.6169160171412,105.6169160171412,105.6169160171412,105.6169160171412,105.6169160171412,105.6169160171412,105.6169160171412,105.6169160171412,l,0.8916288679465652,10,22,0,106.5344598130323,108.03450926113874,108.03450926113874,108.53450659615919,,,,,,,,,,,,,,,,,,,,,,,,,40408,2022-11-16_10h16.13.931,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.01775918754871,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,0,4,4,6,,,,,,,,,,,,,,,,,,,,108.53450659615919,108.53450659615919,108.53450659615919,108.53450659615919,108.53450659615919,108.53450659615919,108.53450659615919,108.53450659615919,108.53450659615919,108.53450659615919,a,0.5851814928464592,1,23,0,109.15151598211378,,110.6539458190091,,,,,,,,,,,,,,,,,,,,,,,,,,40408,2022-11-16_10h16.13.931,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.01775918754871,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,0,5,5,9,,,,,,,,,,,,,,,,,,,,111.15394940902479,111.15394940902479,111.15394940902479,111.15394940902479,111.15394940902479,111.15394940902479,111.15394940902479,111.15394940902479,111.15394940902479,111.15394940902479,a,0.6543452928308398,10,33,0,111.8381214060355,113.33830215316266,113.33830215316266,113.83861738303676,,,,,,,,,,,,,,,,,,,,,,,,,40408,2022-11-16_10h16.13.931,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.01775918754871,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,0,6,6,7,,,,,,,,,,,,,,,,,,,,113.83861738303676,113.83861738303676,113.83861738303676,113.83861738303676,113.83861738303676,113.83861738303676,113.83861738303676,113.83861738303676,113.83861738303676,113.83861738303676,a,0.9735002857632935,1,34,0,114.83916584821418,,116.34133386216126,,,,,,,,,,,,,,,,,,,,,,,,,,40408,2022-11-16_10h16.13.931,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.01775918754871,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,0,7,7,10,,,,,,,,,,,,,,,,,,,,116.84139828407206,116.84139828407206,116.84139828407206,116.84139828407206,116.84139828407206,116.84139828407206,116.84139828407206,116.84139828407206,116.84139828407206,116.84139828407206,l,1.0080306120216846,10,44,0,117.87492627114989,119.37560687214136,119.37560687214136,119.87584837013856,,,,,,,,,,,,,,,,,,,,,,,,,40408,2022-11-16_10h16.13.931,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.01775918754871,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,0,8,8,1,,,,,,,,,,,,,,,,,,,,119.87584837013856,119.87584837013856,119.87584837013856,119.87584837013856,119.87584837013856,119.87584837013856,119.87584837013856,119.87584837013856,119.87584837013856,119.87584837013856,l,0.7419803198426962,1,45,0,120.64476957311854,122.14516183221713,122.14516183221713,,,,,,,,,,,,,,,,,,,,,,,,,,40408,2022-11-16_10h16.13.931,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.01775918754871,
