LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,training_feedback_txt.stopped,fix.started,fix.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,top_target_prac1.stopped,bott_target_prac1.stopped,target_resp_prac1.stopped,acc,E1,target_resp_prac1.keys,pracBlock,prac_fback_text.started,target_resp_prac1.rt,prac_fback_text.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,15.438784496858716,space,23.46177901700139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13674,2022-12-02_09h18.27.173,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.9701811746619,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,0,0,0,1,,,,,,,,,,,,63.0415736916475,63.0415736916475,63.0415736916475,63.0415736916475,63.0415736916475,63.0415736916475,63.0415736916475,63.0415736916475,63.0415736916475,63.0415736916475,l,2.6244113729335368,10,10,0,65.70012441789731,67.19981507584453,67.19981507584453,67.69983307272196,,,,,,,,,,,,,,,,,,,13674,2022-12-02_09h18.27.173,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.9701811746619,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,0,1,1,9,,,,,,,,,,,,67.69983307272196,67.69983307272196,67.69983307272196,67.69983307272196,67.69983307272196,67.69983307272196,67.69983307272196,67.69983307272196,67.69983307272196,67.69983307272196,a,1.307223638985306,10,20,0,69.03562314994633,70.5361360986717,70.5361360986717,71.03651312878355,,,,,,,,,,,,,,,,,,,13674,2022-12-02_09h18.27.173,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.9701811746619,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,0,2,2,6,,,,,,,,,,,,71.03651312878355,71.03651312878355,71.03651312878355,71.03651312878355,71.03651312878355,71.03651312878355,71.03651312878355,71.03651312878355,71.03651312878355,71.03651312878355,a,1.098920516204089,1,21,0,72.1551935817115,,73.6557134790346,,,,,,,,,,,,,,,,,,,,13674,2022-12-02_09h18.27.173,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.9701811746619,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,0,3,3,5,,,,,,,,,,,,74.15595405595377,74.15595405595377,74.15595405595377,74.15595405595377,74.15595405595377,74.15595405595377,74.15595405595377,74.15595405595377,74.15595405595377,74.15595405595377,a,2.2434682180173695,1,22,0,76.42356880800799,77.9240831467323,77.9240831467323,78.42382468981668,,,,,,,,,,,,,,,,,,,13674,2022-12-02_09h18.27.173,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.9701811746619,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,0,4,4,0,,,,,,,,,,,,78.42382468981668,78.42382468981668,78.42382468981668,78.42382468981668,78.42382468981668,78.42382468981668,78.42382468981668,78.42382468981668,78.42382468981668,78.42382468981668,a,2.385074400343001,1,23,0,80.82684254786,82.3273147456348,82.3273147456348,82.82737660966814,,,,,,,,,,,,,,,,,,,13674,2022-12-02_09h18.27.173,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.9701811746619,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,0,5,5,11,,,,,,,,,,,,82.82737660966814,82.82737660966814,82.82737660966814,82.82737660966814,82.82737660966814,82.82737660966814,82.82737660966814,82.82737660966814,82.82737660966814,82.82737660966814,a,2.572445028927177,1,24,0,85.43049166398123,86.93106843158603,86.93106843158603,87.43083231570199,,,,,,,,,,,,,,,,,,,13674,2022-12-02_09h18.27.173,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.9701811746619,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,0,6,6,8,,,,,,,,,,,,87.43083231570199,87.43083231570199,87.43083231570199,87.43083231570199,87.43083231570199,87.43083231570199,87.43083231570199,87.43083231570199,87.43083231570199,87.43083231570199,a,1.8384283320046961,1,25,0,89.30029949964955,90.80075037200004,90.80075037200004,91.30084890360013,,,,,,,,,,,,,,,,,,,13674,2022-12-02_09h18.27.173,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.9701811746619,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,0,7,7,4,,,,,,,,,,,,91.30084890360013,91.30084890360013,91.30084890360013,91.30084890360013,91.30084890360013,91.30084890360013,91.30084890360013,91.30084890360013,91.30084890360013,91.30084890360013,l,1.2314851749688387,10,35,0,92.5528137399815,,94.05387179693207,,,,,,,,,,,,,,,,,,,,13674,2022-12-02_09h18.27.173,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.9701811746619,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,0,8,8,7,,,,,,,,,,,,94.55394814070314,94.55394814070314,94.55394814070314,94.55394814070314,94.55394814070314,94.55394814070314,94.55394814070314,94.55394814070314,94.55394814070314,94.55394814070314,a,1.8709888067096472,1,36,0,96.4561133296229,97.95527669601142,97.95527669601142,98.45518516888842,,,,,,,,,,,,,,,,,,,13674,2022-12-02_09h18.27.173,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.9701811746619,
