LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,training_feedback_txt.stopped,fix.started,fix.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,prac_fback_text.started,top_target_prac1.stopped,tgt_fix_prac1.stopped,bott_target_prac1.stopped,target_resp_prac1.stopped,prac_fback_text.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,311.1591957830824,space,17.258227292913944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85891,2022-11-11_15h01.07.648,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.74368475417396,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,0,9,9,9,,,,,,,,,,,,393.24953558295965,393.24953558295965,393.24953558295965,393.24953558295965,393.24953558295965,393.24953558295965,393.24953558295965,393.24953558295965,393.24953558295965,393.24953558295965,a,1.9732200857251883,1,37,0,395.25194105296396,,396.75340318493545,,,,,,,,,,,,,,,,,,,,,85891,2022-11-11_15h01.07.648,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.74368475417396,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,0,10,10,4,,,,,,,,,,,,397.25422666198574,397.25422666198574,397.25422666198574,397.25422666198574,397.25422666198574,397.25422666198574,397.25422666198574,397.25422666198574,397.25422666198574,397.25422666198574,a,0.5117903698701411,10,47,0,397.788065002067,,399.2897690590471,,,,,,,,,,,,,,,,,,,,,85891,2022-11-11_15h01.07.648,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.74368475417396,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,0,11,11,5,,,,,,,,,,,,399.7902873021085,399.7902873021085,399.7902873021085,399.7902873021085,399.7902873021085,399.7902873021085,399.7902873021085,399.7902873021085,399.7902873021085,399.7902873021085,a,0.5519498928915709,10,57,0,400.37410815199837,,401.8757615231443,,,,,,,,,,,,,,,,,,,,,85891,2022-11-11_15h01.07.648,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.74368475417396,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,1,0,12,4,,,,,,,,,,,,402.3763308990747,402.3763308990747,402.3763308990747,402.3763308990747,402.3763308990747,402.3763308990747,402.3763308990747,402.3763308990747,402.3763308990747,402.3763308990747,a,0.5871465818490833,10,67,0,402.99369472498074,,404.4953393100295,,,,,,,,,,,,,,,,,,,,,85891,2022-11-11_15h01.07.648,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.74368475417396,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,1,1,13,8,,,,,,,,,,,,404.9956431090832,404.9956431090832,404.9956431090832,404.9956431090832,404.9956431090832,404.9956431090832,404.9956431090832,404.9956431090832,404.9956431090832,404.9956431090832,a,0.39878017688170075,1,68,0,405.4129724591039,,406.91457031900063,,,,,,,,,,,,,,,,,,,,,85891,2022-11-11_15h01.07.648,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.74368475417396,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,1,2,14,0,,,,,,,,,,,,407.41521769412793,407.41521769412793,407.41521769412793,407.41521769412793,407.41521769412793,407.41521769412793,407.41521769412793,407.41521769412793,407.41521769412793,407.41521769412793,l,0.6443633658345789,10,78,0,408.0826459550299,,409.58439984498546,,,,,,,,,,,,,,,,,,,,,85891,2022-11-11_15h01.07.648,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.74368475417396,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,1,3,15,10,,,,,,,,,,,,410.08479116414674,410.08479116414674,410.08479116414674,410.08479116414674,410.08479116414674,410.08479116414674,410.08479116414674,410.08479116414674,410.08479116414674,410.08479116414674,l,0.5077500510960817,10,88,0,410.6187129570171,,412.1205319969449,,,,,,,,,,,,,,,,,,,,,85891,2022-11-11_15h01.07.648,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.74368475417396,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,1,4,16,11,,,,,,,,,,,,412.62081891996786,412.62081891996786,412.62081891996786,412.62081891996786,412.62081891996786,412.62081891996786,412.62081891996786,412.62081891996786,412.62081891996786,412.62081891996786,l,1.6855024490505457,1,89,0,414.32300539896823,415.82441290514544,415.82441290514544,,,,,,,,,,,,,,,,,,,,,85891,2022-11-11_15h01.07.648,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.74368475417396,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,1,5,17,1,,,,,,,,,,,,416.3251654631458,416.3251654631458,416.3251654631458,416.3251654631458,416.3251654631458,416.3251654631458,416.3251654631458,416.3251654631458,416.3251654631458,416.3251654631458,a,0.8701592008583248,10,99,0,417.2260971330106,418.7278214120306,418.7278214120306,419.2283879390452,,,,,,,,,,,,,,,,,,,,85891,2022-11-11_15h01.07.648,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.74368475417396,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,1,6,18,6,,,,,,,,,,,,419.2283879390452,419.2283879390452,419.2283879390452,419.2283879390452,419.2283879390452,419.2283879390452,419.2283879390452,419.2283879390452,419.2283879390452,419.2283879390452,l,0.9852862770203501,10,109,0,420.24609409994446,421.7477953969501,421.7477953969501,,,,,,,,,,,,,,,,,,,,,85891,2022-11-11_15h01.07.648,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.74368475417396,
