participant,date,expName,psychopyVersion,OS,frameRate,browser,xResolution,yResolution,key_resp.keys,key_resp.rt,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,curr_topStim,curr_bottStim,curr_shape,acc,E1,target_resp_prac1.keys,pracBlock,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task1_prac_trials.ran,target_resp_prac1.rt,target_resp_prac2.keys,target_resp_prac2.rt,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,task2_praac_trials.ran,alt,task,condition,target_resp.keys,rewCond,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,vts_practice_trials.ran,target_resp.rt,blockNum,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,trials_norew.ran,key_resp_2.keys,key_resp_2.rt,rewExpectancy,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,trials_rew.ran,Q1,Q2,Q2_text,Q3,Q4,Q5_text,Q5,xRes,yRes
298135,2022-12-03_14h33.45.655,vts_reward_expectancy_bt,2022.2.4,Win32,165.3986107,Chrome,1920,1080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298135,2022-12-03_14h33.45.655,vts_reward_expectancy_bt,2022.2.4,Win32,165.3986107,Chrome,1920,1080,space,10.2371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298135,2022-12-03_14h33.45.655,vts_reward_expectancy_bt,2022.2.4,Win32,165.3986107,Chrome,1920,1080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298135,2022-12-03_14h33.45.655,vts_reward_expectancy_bt,2022.2.4,Win32,165.3986107,Chrome,1920,1080,,,a,7.3129,10,10,0,0,0,0,8,1,0,0,1,0,0,0,0,1,hexagon,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298135,2022-12-03_14h33.45.655,vts_reward_expectancy_bt,2022.2.4,Win32,165.3986107,Chrome,1920,1080,,,a,5.0632,1,11,0,0,1,1,4,1,0,1,0,0,0,0,1,0,circle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298135,2022-12-03_14h33.45.655,vts_reward_expectancy_bt,2022.2.4,Win32,165.3986107,Chrome,1920,1080,,,a,0.635,10,21,0,0,2,2,6,1,0,0,1,0,1,0,0,0,hexagon,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298135,2022-12-03_14h33.45.655,vts_reward_expectancy_bt,2022.2.4,Win32,165.3986107,Chrome,1920,1080,,,a,2.8825,10,31,0,0,3,3,2,1,1,0,0,0,0,0,0,1,triangle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298135,2022-12-03_14h33.45.655,vts_reward_expectancy_bt,2022.2.4,Win32,165.3986107,Chrome,1920,1080,,,a,0.6855,10,41,0,0,4,4,0,1,1,0,0,0,0,1,0,0,triangle,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298135,2022-12-03_14h33.45.655,vts_reward_expectancy_bt,2022.2.4,Win32,165.3986107,Chrome,1920,1080,,,a,2.9219,1,42,0,0,5,5,5,1,0,1,0,0,0,0,0,1,circle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298135,2022-12-03_14h33.45.655,vts_reward_expectancy_bt,2022.2.4,Win32,165.3986107,Chrome,1920,1080,,,a,0.7993,1,43,0,0,6,6,7,1,0,0,1,0,0,1,0,0,hexagon,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298135,2022-12-03_14h33.45.655,vts_reward_expectancy_bt,2022.2.4,Win32,165.3986107,Chrome,1920,1080,,,l,8.8698,1,44,0,0,7,7,3,1,0,1,0,0,1,0,0,0,circle,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298135,2022-12-03_14h33.45.655,vts_reward_expectancy_bt,2022.2.4,Win32,165.3986107,Chrome,1920,1080,,,l,3.5042,10,54,0,0,8,8,9,1,0,0,0,1,1,0,0,0,star,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298135,2022-12-03_14h33.45.655,vts_reward_expectancy_bt,2022.2.4,Win32,165.3986107,Chrome,1920,1080,,,a,0.2399,10,64,0,0,9,9,11,1,0,0,0,1,0,0,1,0,star,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298135,2022-12-03_14h33.45.655,vts_reward_expectancy_bt,2022.2.4,Win32,165.3986107,Chrome,1920,1080,,,a,0.9165,10,74,0,0,10,10,10,1,0,0,0,1,0,1,0,0,star ,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298135,2022-12-03_14h33.45.655,vts_reward_expectancy_bt,2022.2.4,Win32,165.3986107,Chrome,1920,1080,,,a,0.2558,10,84,0,0,11,11,1,1,1,0,0,0,0,0,1,0,triangle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298135,2022-12-03_14h33.45.655,vts_reward_expectancy_bt,2022.2.4,Win32,165.3986107,Chrome,1920,1080,,,a,0.1475,10,94,0,1,0,12,0,1,1,0,0,0,0,1,0,0,triangle,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298135,2022-12-03_14h33.45.655,vts_reward_expectancy_bt,2022.2.4,Win32,165.3986107,Chrome,1920,1080,,,a,0.1788,10,104,0,1,1,13,2,1,1,0,0,0,0,0,0,1,triangle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298135,2022-12-03_14h33.45.655,vts_reward_expectancy_bt,2022.2.4,Win32,165.3986107,Chrome,1920,1080,,,a,0.1649,10,114,0,1,2,14,10,1,0,0,0,1,0,1,0,0,star ,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298135,2022-12-03_14h33.45.655,vts_reward_expectancy_bt,2022.2.4,Win32,165.3986107,Chrome,1920,1080,,,a,0.0566,1,115,0,1,3,15,7,1,0,0,1,0,0,1,0,0,hexagon,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298135,2022-12-03_14h33.45.655,vts_reward_expectancy_bt,2022.2.4,Win32,165.3986107,Chrome,1920,1080,,,a,0.0005,10,125,0,1,4,16,6,1,0,0,1,0,1,0,0,0,hexagon,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298135,2022-12-03_14h33.45.655,vts_reward_expectancy_bt,2022.2.4,Win32,165.3986107,Chrome,1920,1080,,,a,0.0424,1,126,0,1,5,17,4,1,0,1,0,0,0,0,1,0,circle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
