participant,date,expName,psychopyVersion,OS,frameRate,browser,xResolution,yResolution,key_resp.keys,key_resp.rt,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,curr_topStim,curr_bottStim,curr_shape,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task1_prac_trials.ran,target_resp_prac2.keys,target_resp_prac2.rt,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,task2_praac_trials.ran,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,vts_practice_trials.ran,blockNum,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,trials_norew.ran,key_resp_2.keys,key_resp_2.rt,rewExpect,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,trials_rew.ran,Q1,Q2,Q2_text,Q3,Q4,Q5_text,Q5,xRes,yRes
296827,2022-09-26_24h47.42.735,vts_reward_expectancy,2022.2.4,MacIntel,60.0024001,Chrome,1680,1050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296827,2022-09-26_24h47.42.735,vts_reward_expectancy,2022.2.4,MacIntel,60.0024001,Chrome,1680,1050,space,13.1767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296827,2022-09-26_24h47.42.735,vts_reward_expectancy,2022.2.4,MacIntel,60.0024001,Chrome,1680,1050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296827,2022-09-26_24h47.42.735,vts_reward_expectancy,2022.2.4,MacIntel,60.0024001,Chrome,1680,1050,,,l,1.9266,1,1,0,0,0,0,7,1,0,0,1,0,0,1,0,0,hexagon,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296827,2022-09-26_24h47.42.735,vts_reward_expectancy,2022.2.4,MacIntel,60.0024001,Chrome,1680,1050,,,l,1.1817,1,2,0,0,1,1,5,1,0,1,0,0,0,0,0,1,circle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296827,2022-09-26_24h47.42.735,vts_reward_expectancy,2022.2.4,MacIntel,60.0024001,Chrome,1680,1050,,,l,1.6322,10,12,0,0,2,2,11,1,0,0,0,1,0,0,1,0,star,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296827,2022-09-26_24h47.42.735,vts_reward_expectancy,2022.2.4,MacIntel,60.0024001,Chrome,1680,1050,,,a,0.8667,10,22,0,0,3,3,0,1,1,0,0,0,0,1,0,0,triangle,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296827,2022-09-26_24h47.42.735,vts_reward_expectancy,2022.2.4,MacIntel,60.0024001,Chrome,1680,1050,,,l,1.6171,10,32,0,0,4,4,1,1,1,0,0,0,0,0,1,0,triangle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296827,2022-09-26_24h47.42.735,vts_reward_expectancy,2022.2.4,MacIntel,60.0024001,Chrome,1680,1050,,,l,0.9332,1,33,0,0,5,5,6,1,0,0,1,0,1,0,0,0,hexagon,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296827,2022-09-26_24h47.42.735,vts_reward_expectancy,2022.2.4,MacIntel,60.0024001,Chrome,1680,1050,,,l,0.7992,10,43,0,0,6,6,4,1,0,1,0,0,0,0,1,0,circle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296827,2022-09-26_24h47.42.735,vts_reward_expectancy,2022.2.4,MacIntel,60.0024001,Chrome,1680,1050,,,a,0.8309,10,53,0,0,7,7,8,1,0,0,1,0,0,0,0,1,hexagon,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296827,2022-09-26_24h47.42.735,vts_reward_expectancy,2022.2.4,MacIntel,60.0024001,Chrome,1680,1050,,,a,0.768,10,63,0,0,8,8,10,1,0,0,0,1,0,1,0,0,star ,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296827,2022-09-26_24h47.42.735,vts_reward_expectancy,2022.2.4,MacIntel,60.0024001,Chrome,1680,1050,,,l,0.784,10,73,0,0,9,9,9,1,0,0,0,1,1,0,0,0,star,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296827,2022-09-26_24h47.42.735,vts_reward_expectancy,2022.2.4,MacIntel,60.0024001,Chrome,1680,1050,,,a,0.5169,10,83,0,0,10,10,2,1,1,0,0,0,0,0,0,1,triangle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296827,2022-09-26_24h47.42.735,vts_reward_expectancy,2022.2.4,MacIntel,60.0024001,Chrome,1680,1050,,,l,0.0354,10,93,0,0,11,11,3,1,0,1,0,0,1,0,0,0,circle,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296827,2022-09-26_24h47.42.735,vts_reward_expectancy,2022.2.4,MacIntel,60.0024001,Chrome,1680,1050,,,l,0.3012,1,94,0,1,0,12,7,1,0,0,1,0,0,1,0,0,hexagon,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296827,2022-09-26_24h47.42.735,vts_reward_expectancy,2022.2.4,MacIntel,60.0024001,Chrome,1680,1050,,,l,0.3503,1,95,0,1,1,13,8,1,0,0,1,0,0,0,0,1,hexagon,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296827,2022-09-26_24h47.42.735,vts_reward_expectancy,2022.2.4,MacIntel,60.0024001,Chrome,1680,1050,,,l,0.7497,10,105,0,1,2,14,4,1,0,1,0,0,0,0,1,0,circle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296827,2022-09-26_24h47.42.735,vts_reward_expectancy,2022.2.4,MacIntel,60.0024001,Chrome,1680,1050,,,a,0.867,10,115,0,1,3,15,9,1,0,0,0,1,1,0,0,0,star,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296827,2022-09-26_24h47.42.735,vts_reward_expectancy,2022.2.4,MacIntel,60.0024001,Chrome,1680,1050,,,a,0.8001,1,116,0,1,4,16,3,1,0,1,0,0,1,0,0,0,circle,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296827,2022-09-26_24h47.42.735,vts_reward_expectancy,2022.2.4,MacIntel,60.0024001,Chrome,1680,1050,,,a,0.3308,10,126,0,1,5,17,1,1,1,0,0,0,0,0,1,0,triangle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296827,2022-09-26_24h47.42.735,vts_reward_expectancy,2022.2.4,MacIntel,60.0024001,Chrome,1680,1050,,,l,0.3364,1,127,0,1,6,18,10,1,0,0,0,1,0,1,0,0,star ,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296827,2022-09-26_24h47.42.735,vts_reward_expectancy,2022.2.4,MacIntel,60.0024001,Chrome,1680,1050,,,a,0.3337,10,137,0,1,7,19,0,1,1,0,0,0,0,1,0,0,triangle,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296827,2022-09-26_24h47.42.735,vts_reward_expectancy,2022.2.4,MacIntel,60.0024001,Chrome,1680,1050,,,l,0.3167,10,147,0,1,8,20,5,1,0,1,0,0,0,0,0,1,circle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296827,2022-09-26_24h47.42.735,vts_reward_expectancy,2022.2.4,MacIntel,60.0024001,Chrome,1680,1050,,,a,0.2839,10,157,0,1,9,21,6,1,0,0,1,0,1,0,0,0,hexagon,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296827,2022-09-26_24h47.42.735,vts_reward_expectancy,2022.2.4,MacIntel,60.0024001,Chrome,1680,1050,,,l,0.5174,1,158,0,1,10,22,2,1,1,0,0,0,0,0,0,1,triangle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296827,2022-09-26_24h47.42.735,vts_reward_expectancy,2022.2.4,MacIntel,60.0024001,Chrome,1680,1050,,,l,0.5156,10,168,0,1,11,23,11,1,0,0,0,1,0,0,1,0,star,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296827,2022-09-26_24h47.42.735,vts_reward_expectancy,2022.2.4,MacIntel,60.0024001,Chrome,1680,1050,,,a,0.4826,1,169,0,2,0,24,3,1,0,1,0,0,1,0,0,0,circle,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296827,2022-09-26_24h47.42.735,vts_reward_expectancy,2022.2.4,MacIntel,60.0024001,Chrome,1680,1050,,,a,0.369,1,170,0,2,1,25,11,1,0,0,0,1,0,0,1,0,star,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296827,2022-09-26_24h47.42.735,vts_reward_expectancy,2022.2.4,MacIntel,60.0024001,Chrome,1680,1050,,,a,0.2688,1,171,0,2,2,26,8,1,0,0,1,0,0,0,0,1,hexagon,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296827,2022-09-26_24h47.42.735,vts_reward_expectancy,2022.2.4,MacIntel,60.0024001,Chrome,1680,1050,,,a,0.2674,10,181,0,2,3,27,7,1,0,0,1,0,0,1,0,0,hexagon,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296827,2022-09-26_24h47.42.735,vts_reward_expectancy,2022.2.4,MacIntel,60.0024001,Chrome,1680,1050,,,a,0.7672,10,191,0,2,4,28,2,1,1,0,0,0,0,0,0,1,triangle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296827,2022-09-26_24h47.42.735,vts_reward_expectancy,2022.2.4,MacIntel,60.0024001,Chrome,1680,1050,,,l,0.3167,10,201,0,2,5,29,4,1,0,1,0,0,0,0,1,0,circle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296827,2022-09-26_24h47.42.735,vts_reward_expectancy,2022.2.4,MacIntel,60.0024001,Chrome,1680,1050,,,l,0.2655,1,202,0,2,6,30,0,1,1,0,0,0,0,1,0,0,triangle,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296827,2022-09-26_24h47.42.735,vts_reward_expectancy,2022.2.4,MacIntel,60.0024001,Chrome,1680,1050,,,a,0.3854,10,212,0,2,7,31,1,1,1,0,0,0,0,0,1,0,triangle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296827,2022-09-26_24h47.42.735,vts_reward_expectancy,2022.2.4,MacIntel,60.0024001,Chrome,1680,1050,,,l,0.364,10,222,0,2,8,32,9,1,0,0,0,1,1,0,0,0,star,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296827,2022-09-26_24h47.42.735,vts_reward_expectancy,2022.2.4,MacIntel,60.0024001,Chrome,1680,1050,,,a,0.4331,10,232,0,2,9,33,10,1,0,0,0,1,0,1,0,0,star ,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296827,2022-09-26_24h47.42.735,vts_reward_expectancy,2022.2.4,MacIntel,60.0024001,Chrome,1680,1050,,,l,0.6337,10,242,0,2,10,34,5,1,0,1,0,0,0,0,0,1,circle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296827,2022-09-26_24h47.42.735,vts_reward_expectancy,2022.2.4,MacIntel,60.0024001,Chrome,1680,1050,,,a,0.5001,10,252,0,2,11,35,6,1,0,0,1,0,1,0,0,0,hexagon,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296827,2022-09-26_24h47.42.735,vts_reward_expectancy,2022.2.4,MacIntel,60.0024001,Chrome,1680,1050,,,a,1.683,1,253,1,0,0,0,0,1,1,0,0,0,0,1,0,0,triangle,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296827,2022-09-26_24h47.42.735,vts_reward_expectancy,2022.2.4,MacIntel,60.0024001,Chrome,1680,1050,,,a,0.2698,1,254,1,0,1,1,10,1,0,0,0,1,0,1,0,0,star ,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296827,2022-09-26_24h47.42.735,vts_reward_expectancy,2022.2.4,MacIntel,60.0024001,Chrome,1680,1050,,,a,0.333,1,255,1,0,2,2,3,1,0,1,0,0,1,0,0,0,circle,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296827,2022-09-26_24h47.42.735,vts_reward_expectancy,2022.2.4,MacIntel,60.0024001,Chrome,1680,1050,,,a,0.2665,10,265,1,0,3,3,1,1,1,0,0,0,0,0,1,0,triangle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296827,2022-09-26_24h47.42.735,vts_reward_expectancy,2022.2.4,MacIntel,60.0024001,Chrome,1680,1050,,,a,0.3163,10,275,1,0,4,4,6,1,0,0,1,0,1,0,0,0,hexagon,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296827,2022-09-26_24h47.42.735,vts_reward_expectancy,2022.2.4,MacIntel,60.0024001,Chrome,1680,1050,,,l,0.4176,1,276,1,0,5,5,2,1,1,0,0,0,0,0,0,1,triangle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296827,2022-09-26_24h47.42.735,vts_reward_expectancy,2022.2.4,MacIntel,60.0024001,Chrome,1680,1050,,,l,0.2348,1,277,1,0,6,6,4,1,0,1,0,0,0,0,1,0,circle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296827,2022-09-26_24h47.42.735,vts_reward_expectancy,2022.2.4,MacIntel,60.0024001,Chrome,1680,1050,,,l,0.2839,10,287,1,0,7,7,11,1,0,0,0,1,0,0,1,0,star,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296827,2022-09-26_24h47.42.735,vts_reward_expectancy,2022.2.4,MacIntel,60.0024001,Chrome,1680,1050,,,a,0.3336,1,288,1,0,8,8,7,1,0,0,1,0,0,1,0,0,hexagon,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296827,2022-09-26_24h47.42.735,vts_reward_expectancy,2022.2.4,MacIntel,60.0024001,Chrome,1680,1050,,,a,0.2831,10,298,1,0,9,9,8,1,0,0,1,0,0,0,0,1,hexagon,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296827,2022-09-26_24h47.42.735,vts_reward_expectancy,2022.2.4,MacIntel,60.0024001,Chrome,1680,1050,,,l,0.317,10,308,1,0,10,10,9,1,0,0,0,1,1,0,0,0,star,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296827,2022-09-26_24h47.42.735,vts_reward_expectancy,2022.2.4,MacIntel,60.0024001,Chrome,1680,1050,,,a,0.3179,1,309,1,0,11,11,5,1,0,1,0,0,0,0,0,1,circle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296827,2022-09-26_24h47.42.735,vts_reward_expectancy,2022.2.4,MacIntel,60.0024001,Chrome,1680,1050,,,l,0.35,10,319,1,1,0,12,6,1,0,0,1,0,1,0,0,0,hexagon,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296827,2022-09-26_24h47.42.735,vts_reward_expectancy,2022.2.4,MacIntel,60.0024001,Chrome,1680,1050,,,l,0.4498,10,329,1,1,1,13,9,1,0,0,0,1,1,0,0,0,star,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296827,2022-09-26_24h47.42.735,vts_reward_expectancy,2022.2.4,MacIntel,60.0024001,Chrome,1680,1050,,,l,0.3671,1,330,1,1,2,14,10,1,0,0,0,1,0,1,0,0,star ,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296827,2022-09-26_24h47.42.735,vts_reward_expectancy,2022.2.4,MacIntel,60.0024001,Chrome,1680,1050,,,a,0.3665,1,331,1,1,3,15,4,1,0,1,0,0,0,0,1,0,circle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296827,2022-09-26_24h47.42.735,vts_reward_expectancy,2022.2.4,MacIntel,60.0024001,Chrome,1680,1050,,,l,0.3179,10,341,1,1,4,16,11,1,0,0,0,1,0,0,1,0,star,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296827,2022-09-26_24h47.42.735,vts_reward_expectancy,2022.2.4,MacIntel,60.0024001,Chrome,1680,1050,,,a,0.4007,10,351,1,1,5,17,0,1,1,0,0,0,0,1,0,0,triangle,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296827,2022-09-26_24h47.42.735,vts_reward_expectancy,2022.2.4,MacIntel,60.0024001,Chrome,1680,1050,,,l,0.3027,10,361,1,1,6,18,5,1,0,1,0,0,0,0,0,1,circle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296827,2022-09-26_24h47.42.735,vts_reward_expectancy,2022.2.4,MacIntel,60.0024001,Chrome,1680,1050,,,l,0.2838,10,371,1,1,7,19,1,1,1,0,0,0,0,0,1,0,triangle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296827,2022-09-26_24h47.42.735,vts_reward_expectancy,2022.2.4,MacIntel,60.0024001,Chrome,1680,1050,,,l,0.3836,1,372,1,1,8,20,7,1,0,0,1,0,0,1,0,0,hexagon,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296827,2022-09-26_24h47.42.735,vts_reward_expectancy,2022.2.4,MacIntel,60.0024001,Chrome,1680,1050,,,a,0.2669,1,373,1,1,9,21,8,1,0,0,1,0,0,0,0,1,hexagon,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296827,2022-09-26_24h47.42.735,vts_reward_expectancy,2022.2.4,MacIntel,60.0024001,Chrome,1680,1050,,,l,0.2838,10,383,1,1,10,22,2,1,1,0,0,0,0,0,0,1,triangle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296827,2022-09-26_24h47.42.735,vts_reward_expectancy,2022.2.4,MacIntel,60.0024001,Chrome,1680,1050,,,l,0.6655,10,393,1,1,11,23,3,1,0,1,0,0,1,0,0,0,circle,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296827,2022-09-26_24h47.42.735,vts_reward_expectancy,2022.2.4,MacIntel,60.0024001,Chrome,1680,1050,,,a,0.367,10,403,1,2,0,24,0,1,1,0,0,0,0,1,0,0,triangle,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296827,2022-09-26_24h47.42.735,vts_reward_expectancy,2022.2.4,MacIntel,60.0024001,Chrome,1680,1050,,,a,0.3666,1,404,1,2,1,25,1,1,1,0,0,0,0,0,1,0,triangle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296827,2022-09-26_24h47.42.735,vts_reward_expectancy,2022.2.4,MacIntel,60.0024001,Chrome,1680,1050,,,l,0.3165,10,414,1,2,2,26,10,1,0,0,0,1,0,1,0,0,star ,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296827,2022-09-26_24h47.42.735,vts_reward_expectancy,2022.2.4,MacIntel,60.0024001,Chrome,1680,1050,,,a,0.817,10,424,1,2,3,27,2,1,1,0,0,0,0,0,0,1,triangle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296827,2022-09-26_24h47.42.735,vts_reward_expectancy,2022.2.4,MacIntel,60.0024001,Chrome,1680,1050,,,l,0.266,10,434,1,2,4,28,3,1,0,1,0,0,1,0,0,0,circle,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
