participant,date,expName,psychopyVersion,OS,frameRate,browser,xResolution,yResolution,key_resp.keys,key_resp.rt,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,curr_topStim,curr_bottStim,curr_shape,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task1_prac_trials.ran,target_resp_prac2.keys,target_resp_prac2.rt,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,task2_praac_trials.ran,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,vts_practice_trials.ran,blockNum,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,trials_norew.ran,key_resp_2.keys,key_resp_2.rt,rewExpectancy,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,trials_rew.ran,Q1,Q2,Q2_text,Q3,Q4,Q5_text,Q5,xRes,yRes
296185,2022-12-03_16h04.35.552,vts_reward_expectancy_bt,2022.2.4,Win32,119.7748233,Chrome,1600,1067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296185,2022-12-03_16h04.35.552,vts_reward_expectancy_bt,2022.2.4,Win32,119.7748233,Chrome,1600,1067,space,18.8213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296185,2022-12-03_16h04.35.552,vts_reward_expectancy_bt,2022.2.4,Win32,119.7748233,Chrome,1600,1067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296185,2022-12-03_16h04.35.552,vts_reward_expectancy_bt,2022.2.4,Win32,119.7748233,Chrome,1600,1067,,,a,1.0565,1,1,0,0,0,0,7,1,0,0,1,0,0,1,0,0,hexagon,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296185,2022-12-03_16h04.35.552,vts_reward_expectancy_bt,2022.2.4,Win32,119.7748233,Chrome,1600,1067,,,l,1.1212,1,2,0,0,1,1,1,1,1,0,0,0,0,0,1,0,triangle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296185,2022-12-03_16h04.35.552,vts_reward_expectancy_bt,2022.2.4,Win32,119.7748233,Chrome,1600,1067,,,l,1.1572,10,12,0,0,2,2,8,1,0,0,1,0,0,0,0,1,hexagon,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296185,2022-12-03_16h04.35.552,vts_reward_expectancy_bt,2022.2.4,Win32,119.7748233,Chrome,1600,1067,,,a,0.9967,10,22,0,0,3,3,3,1,0,1,0,0,1,0,0,0,circle,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296185,2022-12-03_16h04.35.552,vts_reward_expectancy_bt,2022.2.4,Win32,119.7748233,Chrome,1600,1067,,,l,1.1445,10,32,0,0,4,4,10,1,0,0,0,1,0,1,0,0,star ,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296185,2022-12-03_16h04.35.552,vts_reward_expectancy_bt,2022.2.4,Win32,119.7748233,Chrome,1600,1067,,,a,1.1908,1,33,0,0,5,5,2,1,1,0,0,0,0,0,0,1,triangle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296185,2022-12-03_16h04.35.552,vts_reward_expectancy_bt,2022.2.4,Win32,119.7748233,Chrome,1600,1067,,,l,0.7901,1,34,0,0,6,6,0,1,1,0,0,0,0,1,0,0,triangle,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296185,2022-12-03_16h04.35.552,vts_reward_expectancy_bt,2022.2.4,Win32,119.7748233,Chrome,1600,1067,,,a,0.7735,10,44,0,0,7,7,6,1,0,0,1,0,1,0,0,0,hexagon,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296185,2022-12-03_16h04.35.552,vts_reward_expectancy_bt,2022.2.4,Win32,119.7748233,Chrome,1600,1067,,,l,0.8011,10,54,0,0,8,8,5,1,0,1,0,0,0,0,0,1,circle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296185,2022-12-03_16h04.35.552,vts_reward_expectancy_bt,2022.2.4,Win32,119.7748233,Chrome,1600,1067,,,a,1.2515,1,55,0,0,9,9,4,1,0,1,0,0,0,0,1,0,circle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296185,2022-12-03_16h04.35.552,vts_reward_expectancy_bt,2022.2.4,Win32,119.7748233,Chrome,1600,1067,,,l,0.8326,10,65,0,0,10,10,9,1,0,0,0,1,1,0,0,0,star,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296185,2022-12-03_16h04.35.552,vts_reward_expectancy_bt,2022.2.4,Win32,119.7748233,Chrome,1600,1067,,,l,1.3755,1,66,0,0,11,11,11,1,0,0,0,1,0,0,1,0,star,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296185,2022-12-03_16h04.35.552,vts_reward_expectancy_bt,2022.2.4,Win32,119.7748233,Chrome,1600,1067,,,a,1.324,10,76,0,1,0,12,5,1,0,1,0,0,0,0,0,1,circle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296185,2022-12-03_16h04.35.552,vts_reward_expectancy_bt,2022.2.4,Win32,119.7748233,Chrome,1600,1067,,,l,0.859,10,86,0,1,1,13,4,1,0,1,0,0,0,0,1,0,circle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296185,2022-12-03_16h04.35.552,vts_reward_expectancy_bt,2022.2.4,Win32,119.7748233,Chrome,1600,1067,,,l,0.9913,1,87,0,1,2,14,3,1,0,1,0,0,1,0,0,0,circle,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
