participant,date,expName,psychopyVersion,OS,frameRate,browser,xResolution,yResolution,key_resp.keys,key_resp.rt,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,curr_topStim,curr_bottStim,curr_shape,acc,E1,target_resp_prac1.keys,pracBlock,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task1_prac_trials.ran,target_resp_prac1.rt,target_resp_prac2.keys,target_resp_prac2.rt,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,task2_praac_trials.ran,alt,task,condition,target_resp.keys,rewCond,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,vts_practice_trials.ran,target_resp.rt,blockNum,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,trials_norew.ran,key_resp_2.keys,key_resp_2.rt,rewExpect,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,trials_rew.ran,Q1,Q2,Q2_text,Q3,Q4,Q5_text,Q5,xRes,yRes
292369,2022-10-05_09h05.22.298,vts_reward_expectancy,2022.2.4,Win32,60.0060006,Chrome,1536,864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292369,2022-10-05_09h05.22.298,vts_reward_expectancy,2022.2.4,Win32,60.0060006,Chrome,1536,864,space,23.785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292369,2022-10-05_09h05.22.298,vts_reward_expectancy,2022.2.4,Win32,60.0060006,Chrome,1536,864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292369,2022-10-05_09h05.22.298,vts_reward_expectancy,2022.2.4,Win32,60.0060006,Chrome,1536,864,,,a,1.909,1,1,0,0,0,0,3,1,0,1,0,0,1,0,0,0,circle,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292369,2022-10-05_09h05.22.298,vts_reward_expectancy,2022.2.4,Win32,60.0060006,Chrome,1536,864,,,a,0.9382,10,11,0,0,1,1,8,1,0,0,1,0,0,0,0,1,hexagon,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292369,2022-10-05_09h05.22.298,vts_reward_expectancy,2022.2.4,Win32,60.0060006,Chrome,1536,864,,,l,0.7123,10,21,0,0,2,2,0,1,1,0,0,0,0,1,0,0,triangle,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292369,2022-10-05_09h05.22.298,vts_reward_expectancy,2022.2.4,Win32,60.0060006,Chrome,1536,864,,,l,1.1929,1,22,0,0,3,3,6,1,0,0,1,0,1,0,0,0,hexagon,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292369,2022-10-05_09h05.22.298,vts_reward_expectancy,2022.2.4,Win32,60.0060006,Chrome,1536,864,,,a,0.9472,1,23,0,0,4,4,5,1,0,1,0,0,0,0,0,1,circle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292369,2022-10-05_09h05.22.298,vts_reward_expectancy,2022.2.4,Win32,60.0060006,Chrome,1536,864,,,a,1.3696,10,33,0,0,5,5,2,1,1,0,0,0,0,0,0,1,triangle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292369,2022-10-05_09h05.22.298,vts_reward_expectancy,2022.2.4,Win32,60.0060006,Chrome,1536,864,,,l,1.4499,1,34,0,0,6,6,10,1,0,0,0,1,0,1,0,0,star ,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292369,2022-10-05_09h05.22.298,vts_reward_expectancy,2022.2.4,Win32,60.0060006,Chrome,1536,864,,,l,1.5574,10,44,0,0,7,7,4,1,0,1,0,0,0,0,1,0,circle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292369,2022-10-05_09h05.22.298,vts_reward_expectancy,2022.2.4,Win32,60.0060006,Chrome,1536,864,,,l,0.6703,10,54,0,0,8,8,1,1,1,0,0,0,0,0,1,0,triangle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292369,2022-10-05_09h05.22.298,vts_reward_expectancy,2022.2.4,Win32,60.0060006,Chrome,1536,864,,,a,1.0658,10,64,0,0,9,9,7,1,0,0,1,0,0,1,0,0,hexagon,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292369,2022-10-05_09h05.22.298,vts_reward_expectancy,2022.2.4,Win32,60.0060006,Chrome,1536,864,,,a,1.103,1,65,0,0,10,10,9,1,0,0,0,1,1,0,0,0,star,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292369,2022-10-05_09h05.22.298,vts_reward_expectancy,2022.2.4,Win32,60.0060006,Chrome,1536,864,,,l,0.7106,10,75,0,0,11,11,11,1,0,0,0,1,0,0,1,0,star,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292369,2022-10-05_09h05.22.298,vts_reward_expectancy,2022.2.4,Win32,60.0060006,Chrome,1536,864,,,l,1.2339,1,76,0,1,0,12,2,1,1,0,0,0,0,0,0,1,triangle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292369,2022-10-05_09h05.22.298,vts_reward_expectancy,2022.2.4,Win32,60.0060006,Chrome,1536,864,,,a,0.7684,1,77,0,1,1,13,5,1,0,1,0,0,0,0,0,1,circle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292369,2022-10-05_09h05.22.298,vts_reward_expectancy,2022.2.4,Win32,60.0060006,Chrome,1536,864,,,a,0.7857,10,87,0,1,2,14,11,1,0,0,0,1,0,0,1,0,star,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292369,2022-10-05_09h05.22.298,vts_reward_expectancy,2022.2.4,Win32,60.0060006,Chrome,1536,864,,,a,0.8747,1,88,0,1,3,15,1,1,1,0,0,0,0,0,1,0,triangle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
