participant,date,expName,psychopyVersion,OS,frameRate,browser,xResolution,yResolution,key_resp.keys,key_resp.rt,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,curr_topStim,curr_bottStim,curr_shape,acc,E1,target_resp_prac1.keys,pracBlock,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task1_prac_trials.ran,target_resp_prac1.rt,target_resp_prac2.keys,target_resp_prac2.rt,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,task2_praac_trials.ran,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,vts_practice_trials.ran,blockNum,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,trials_norew.ran,key_resp_2.keys,key_resp_2.rt,rewExpectancy,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,trials_rew.ran,Q1,Q2,Q2_text,Q3,Q4,Q5,Q5_text,xRes,yRes
292690,2022-12-05_15h10.33.057,vts_reward_expectancy_bt,2022.2.4,Win32,234.1920375,Chrome,1920,1080,,,l,0.2783,1,491,2,1,10,22,9,1,0,0,0,1,1,0,0,0,star,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292690,2022-12-05_15h10.33.057,vts_reward_expectancy_bt,2022.2.4,Win32,234.1920375,Chrome,1920,1080,,,l,0.1259,1,492,2,1,11,23,8,1,0,0,1,0,0,0,0,1,hexagon,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292690,2022-12-05_15h10.33.057,vts_reward_expectancy_bt,2022.2.4,Win32,234.1920375,Chrome,1920,1080,,,a,0.1834,1,493,2,2,0,24,3,1,0,1,0,0,1,0,0,0,circle,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292690,2022-12-05_15h10.33.057,vts_reward_expectancy_bt,2022.2.4,Win32,234.1920375,Chrome,1920,1080,,,l,0.1507,1,494,2,2,1,25,10,1,0,0,0,1,0,1,0,0,star ,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292690,2022-12-05_15h10.33.057,vts_reward_expectancy_bt,2022.2.4,Win32,234.1920375,Chrome,1920,1080,,,l,0.2878,1,495,2,2,2,26,1,1,1,0,0,0,0,0,1,0,triangle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292690,2022-12-05_15h10.33.057,vts_reward_expectancy_bt,2022.2.4,Win32,234.1920375,Chrome,1920,1080,,,a,0.2065,10,505,2,2,3,27,5,1,0,1,0,0,0,0,0,1,circle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292690,2022-12-05_15h10.33.057,vts_reward_expectancy_bt,2022.2.4,Win32,234.1920375,Chrome,1920,1080,,,a,0.1027,1,506,2,2,4,28,7,1,0,0,1,0,0,1,0,0,hexagon,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292690,2022-12-05_15h10.33.057,vts_reward_expectancy_bt,2022.2.4,Win32,234.1920375,Chrome,1920,1080,,,a,0.117,10,516,2,2,5,29,0,1,1,0,0,0,0,1,0,0,triangle,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292690,2022-12-05_15h10.33.057,vts_reward_expectancy_bt,2022.2.4,Win32,234.1920375,Chrome,1920,1080,,,l,0.7842,10,526,2,2,6,30,2,1,1,0,0,0,0,0,0,1,triangle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292690,2022-12-05_15h10.33.057,vts_reward_expectancy_bt,2022.2.4,Win32,234.1920375,Chrome,1920,1080,,,a,0.2338,1,527,2,2,7,31,4,1,0,1,0,0,0,0,1,0,circle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
