participant,date,expName,psychopyVersion,OS,frameRate,browser,xResolution,yResolution,key_resp.keys,key_resp.rt,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,curr_topStim,curr_bottStim,curr_shape,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task1_prac_trials.ran,target_resp_prac2.keys,target_resp_prac2.rt,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,task2_praac_trials.ran,alt,task,condition,target_resp.keys,rewCond,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,vts_practice_trials.ran,target_resp.rt,blockNum,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,trials_norew.ran,key_resp_2.keys,key_resp_2.rt,rewExpectancy,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,trials_rew.ran,Q1,Q2,Q2_text,Q3,Q4,Q5,Q5_text,xRes,yRes
295543,2022-11-29_10h49.34.360,vts_reward_expectancy_bt,2022.2.4,Win32,59.95922773,Chrome,1440,810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295543,2022-11-29_10h49.34.360,vts_reward_expectancy_bt,2022.2.4,Win32,59.95922773,Chrome,1440,810,space,5.8292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295543,2022-11-29_10h49.34.360,vts_reward_expectancy_bt,2022.2.4,Win32,59.95922773,Chrome,1440,810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295543,2022-11-29_10h49.34.360,vts_reward_expectancy_bt,2022.2.4,Win32,59.95922773,Chrome,1440,810,,,l,1.8599,10,10,0,0,0,0,5,1,0,1,0,0,0,0,0,1,circle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295543,2022-11-29_10h49.34.360,vts_reward_expectancy_bt,2022.2.4,Win32,59.95922773,Chrome,1440,810,,,a,1.7443,1,11,0,0,1,1,7,1,0,0,1,0,0,1,0,0,hexagon,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295543,2022-11-29_10h49.34.360,vts_reward_expectancy_bt,2022.2.4,Win32,59.95922773,Chrome,1440,810,,,a,0.9106,1,12,0,0,2,2,0,1,1,0,0,0,0,1,0,0,triangle,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295543,2022-11-29_10h49.34.360,vts_reward_expectancy_bt,2022.2.4,Win32,59.95922773,Chrome,1440,810,,,l,0.5111,1,13,0,0,3,3,4,1,0,1,0,0,0,0,1,0,circle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295543,2022-11-29_10h49.34.360,vts_reward_expectancy_bt,2022.2.4,Win32,59.95922773,Chrome,1440,810,,,a,1.2879,1,14,0,0,4,4,10,1,0,0,0,1,0,1,0,0,star ,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295543,2022-11-29_10h49.34.360,vts_reward_expectancy_bt,2022.2.4,Win32,59.95922773,Chrome,1440,810,,,a,0.9142,10,24,0,0,5,5,11,1,0,0,0,1,0,0,1,0,star,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295543,2022-11-29_10h49.34.360,vts_reward_expectancy_bt,2022.2.4,Win32,59.95922773,Chrome,1440,810,,,l,3.4739,1,25,0,0,6,6,3,1,0,1,0,0,1,0,0,0,circle,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295543,2022-11-29_10h49.34.360,vts_reward_expectancy_bt,2022.2.4,Win32,59.95922773,Chrome,1440,810,,,a,2.7654,1,26,0,0,7,7,8,1,0,0,1,0,0,0,0,1,hexagon,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295543,2022-11-29_10h49.34.360,vts_reward_expectancy_bt,2022.2.4,Win32,59.95922773,Chrome,1440,810,,,a,1.7878,10,36,0,0,8,8,9,1,0,0,0,1,1,0,0,0,star,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295543,2022-11-29_10h49.34.360,vts_reward_expectancy_bt,2022.2.4,Win32,59.95922773,Chrome,1440,810,,,a,2.1045,1,37,0,0,9,9,1,1,1,0,0,0,0,0,1,0,triangle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295543,2022-11-29_10h49.34.360,vts_reward_expectancy_bt,2022.2.4,Win32,59.95922773,Chrome,1440,810,,,l,3.2126,10,47,0,0,10,10,2,1,1,0,0,0,0,0,0,1,triangle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295543,2022-11-29_10h49.34.360,vts_reward_expectancy_bt,2022.2.4,Win32,59.95922773,Chrome,1440,810,,,a,2.3097,1,48,0,0,11,11,6,1,0,0,1,0,1,0,0,0,hexagon,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295543,2022-11-29_10h49.34.360,vts_reward_expectancy_bt,2022.2.4,Win32,59.95922773,Chrome,1440,810,,,a,1.9171,10,58,0,1,0,12,9,1,0,0,0,1,1,0,0,0,star,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295543,2022-11-29_10h49.34.360,vts_reward_expectancy_bt,2022.2.4,Win32,59.95922773,Chrome,1440,810,,,l,0.9615,10,68,0,1,1,13,5,1,0,1,0,0,0,0,0,1,circle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295543,2022-11-29_10h49.34.360,vts_reward_expectancy_bt,2022.2.4,Win32,59.95922773,Chrome,1440,810,,,a,2.651,1,69,0,1,2,14,0,1,1,0,0,0,0,1,0,0,triangle,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295543,2022-11-29_10h49.34.360,vts_reward_expectancy_bt,2022.2.4,Win32,59.95922773,Chrome,1440,810,,,l,1.1852,1,70,0,1,3,15,1,1,1,0,0,0,0,0,1,0,triangle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295543,2022-11-29_10h49.34.360,vts_reward_expectancy_bt,2022.2.4,Win32,59.95922773,Chrome,1440,810,,,l,1.4511,10,80,0,1,4,16,8,1,0,0,1,0,0,0,0,1,hexagon,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295543,2022-11-29_10h49.34.360,vts_reward_expectancy_bt,2022.2.4,Win32,59.95922773,Chrome,1440,810,,,a,0.7059,10,90,0,1,5,17,11,1,0,0,0,1,0,0,1,0,star,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295543,2022-11-29_10h49.34.360,vts_reward_expectancy_bt,2022.2.4,Win32,59.95922773,Chrome,1440,810,,,a,1.5049,1,91,0,1,6,18,6,1,0,0,1,0,1,0,0,0,hexagon,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295543,2022-11-29_10h49.34.360,vts_reward_expectancy_bt,2022.2.4,Win32,59.95922773,Chrome,1440,810,,,a,0.8229,1,92,0,1,7,19,10,1,0,0,0,1,0,1,0,0,star ,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295543,2022-11-29_10h49.34.360,vts_reward_expectancy_bt,2022.2.4,Win32,59.95922773,Chrome,1440,810,,,l,2.0457,10,102,0,1,8,20,7,1,0,0,1,0,0,1,0,0,hexagon,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
