participant,date,expName,psychopyVersion,OS,frameRate,browser,xResolution,yResolution,key_resp.keys,key_resp.rt,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,curr_topStim,curr_bottStim,curr_shape,acc,E1,target_resp_prac1.keys,pracBlock,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task1_prac_trials.ran,target_resp_prac1.rt,target_resp_prac2.keys,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,task2_praac_trials.ran,target_resp_prac2.rt,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,vts_practice_trials.ran,blockNum,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,trials_norew.ran,key_resp_2.keys,key_resp_2.rt,rewExpectancy,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,trials_rew.ran,Q1,Q2,Q2_text,Q3,Q4,Q5_text,Q5,xRes,yRes
295258,2022-12-05_21h56.38.174,vts_reward_expectancy_bt,2022.2.4,Win32,60.40106306,Chrome,1280,720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295258,2022-12-05_21h56.38.174,vts_reward_expectancy_bt,2022.2.4,Win32,60.40106306,Chrome,1280,720,space,29.539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295258,2022-12-05_21h56.38.174,vts_reward_expectancy_bt,2022.2.4,Win32,60.40106306,Chrome,1280,720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295258,2022-12-05_21h56.38.174,vts_reward_expectancy_bt,2022.2.4,Win32,60.40106306,Chrome,1280,720,,,a,3.1959,1,1,0,0,0,0,11,1,0,0,0,1,0,0,1,0,star,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295258,2022-12-05_21h56.38.174,vts_reward_expectancy_bt,2022.2.4,Win32,60.40106306,Chrome,1280,720,,,l,1.8753,10,11,0,0,1,1,10,1,0,0,0,1,0,1,0,0,star ,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295258,2022-12-05_21h56.38.174,vts_reward_expectancy_bt,2022.2.4,Win32,60.40106306,Chrome,1280,720,,,a,1.8729,10,21,0,0,2,2,7,1,0,0,1,0,0,1,0,0,hexagon,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295258,2022-12-05_21h56.38.174,vts_reward_expectancy_bt,2022.2.4,Win32,60.40106306,Chrome,1280,720,,,a,4.7749,1,22,0,0,3,3,3,1,0,1,0,0,1,0,0,0,circle,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295258,2022-12-05_21h56.38.174,vts_reward_expectancy_bt,2022.2.4,Win32,60.40106306,Chrome,1280,720,,,a,1.8157,10,32,0,0,4,4,8,1,0,0,1,0,0,0,0,1,hexagon,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295258,2022-12-05_21h56.38.174,vts_reward_expectancy_bt,2022.2.4,Win32,60.40106306,Chrome,1280,720,,,l,4.1495,10,42,0,0,5,5,5,1,0,1,0,0,0,0,0,1,circle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295258,2022-12-05_21h56.38.174,vts_reward_expectancy_bt,2022.2.4,Win32,60.40106306,Chrome,1280,720,,,l,1.5101,10,52,0,0,6,6,2,1,1,0,0,0,0,0,0,1,triangle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295258,2022-12-05_21h56.38.174,vts_reward_expectancy_bt,2022.2.4,Win32,60.40106306,Chrome,1280,720,,,l,2.997,10,62,0,0,7,7,0,1,1,0,0,0,0,1,0,0,triangle,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295258,2022-12-05_21h56.38.174,vts_reward_expectancy_bt,2022.2.4,Win32,60.40106306,Chrome,1280,720,,,l,2.9242,1,63,0,0,8,8,4,1,0,1,0,0,0,0,1,0,circle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
