participant,date,expName,psychopyVersion,OS,frameRate,browser,xResolution,yResolution,key_resp.keys,key_resp.rt,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,curr_topStim,curr_bottStim,curr_shape,acc,E1,target_resp_prac1.keys,pracBlock,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task1_prac_trials.ran,target_resp_prac1.rt,target_resp_prac2.keys,target_resp_prac2.rt,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,task2_praac_trials.ran,alt,task,condition,target_resp.keys,rewCond,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,vts_practice_trials.ran,target_resp.rt,blockNum,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,trials_norew.ran,key_resp_2.keys,key_resp_2.rt,rewExpect,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,trials_rew.ran,Q1,Q2_text,Q5_text,xRes,yRes
293053,2022-10-05_19h48.49.254,vts_reward_expectancy,2022.2.4,Win32,168.2368775,Chrome,1536,864,,,l,0.8664,10,497,2,0,10,10,3,1,0,1,0,0,1,0,0,0,circle,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293053,2022-10-05_19h48.49.254,vts_reward_expectancy,2022.2.4,Win32,168.2368775,Chrome,1536,864,,,a,0.576,10,507,2,0,11,11,1,1,1,0,0,0,0,0,1,0,triangle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293053,2022-10-05_19h48.49.254,vts_reward_expectancy,2022.2.4,Win32,168.2368775,Chrome,1536,864,,,l,0.9152,10,517,2,1,0,12,10,1,0,0,0,1,0,1,0,0,star ,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293053,2022-10-05_19h48.49.254,vts_reward_expectancy,2022.2.4,Win32,168.2368775,Chrome,1536,864,,,a,1.0183,10,527,2,1,1,13,2,1,1,0,0,0,0,0,0,1,triangle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293053,2022-10-05_19h48.49.254,vts_reward_expectancy,2022.2.4,Win32,168.2368775,Chrome,1536,864,,,a,0.7524,10,537,2,1,2,14,0,1,1,0,0,0,0,1,0,0,triangle,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293053,2022-10-05_19h48.49.254,vts_reward_expectancy,2022.2.4,Win32,168.2368775,Chrome,1536,864,,,l,1.2302,10,547,2,1,3,15,6,1,0,0,1,0,1,0,0,0,hexagon,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293053,2022-10-05_19h48.49.254,vts_reward_expectancy,2022.2.4,Win32,168.2368775,Chrome,1536,864,,,l,0.8341,10,557,2,1,4,16,7,1,0,0,1,0,0,1,0,0,hexagon,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293053,2022-10-05_19h48.49.254,vts_reward_expectancy,2022.2.4,Win32,168.2368775,Chrome,1536,864,,,l,0.6424,10,567,2,1,5,17,9,1,0,0,0,1,1,0,0,0,star,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293053,2022-10-05_19h48.49.254,vts_reward_expectancy,2022.2.4,Win32,168.2368775,Chrome,1536,864,,,a,0.766,1,568,2,1,6,18,1,1,1,0,0,0,0,0,1,0,triangle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293053,2022-10-05_19h48.49.254,vts_reward_expectancy,2022.2.4,Win32,168.2368775,Chrome,1536,864,,,l,1.3702,1,569,2,1,7,19,11,1,0,0,0,1,0,0,1,0,star,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293053,2022-10-05_19h48.49.254,vts_reward_expectancy,2022.2.4,Win32,168.2368775,Chrome,1536,864,,,a,0.8457,10,579,2,1,8,20,8,1,0,0,1,0,0,0,0,1,hexagon,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293053,2022-10-05_19h48.49.254,vts_reward_expectancy,2022.2.4,Win32,168.2368775,Chrome,1536,864,,,a,1.1516,10,589,2,1,9,21,4,1,0,1,0,0,0,0,1,0,circle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293053,2022-10-05_19h48.49.254,vts_reward_expectancy,2022.2.4,Win32,168.2368775,Chrome,1536,864,,,l,0.9396,10,599,2,1,10,22,3,1,0,1,0,0,1,0,0,0,circle,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293053,2022-10-05_19h48.49.254,vts_reward_expectancy,2022.2.4,Win32,168.2368775,Chrome,1536,864,,,a,0.8303,1,600,2,1,11,23,5,1,0,1,0,0,0,0,0,1,circle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293053,2022-10-05_19h48.49.254,vts_reward_expectancy,2022.2.4,Win32,168.2368775,Chrome,1536,864,,,l,1.3934,10,610,2,2,0,24,10,1,0,0,0,1,0,1,0,0,star ,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293053,2022-10-05_19h48.49.254,vts_reward_expectancy,2022.2.4,Win32,168.2368775,Chrome,1536,864,,,a,0.9338,1,611,2,2,1,25,3,1,0,1,0,0,1,0,0,0,circle,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293053,2022-10-05_19h48.49.254,vts_reward_expectancy,2022.2.4,Win32,168.2368775,Chrome,1536,864,,,a,1.3214,10,621,2,2,2,26,11,1,0,0,0,1,0,0,1,0,star,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293053,2022-10-05_19h48.49.254,vts_reward_expectancy,2022.2.4,Win32,168.2368775,Chrome,1536,864,,,a,1.8363,10,631,2,2,3,27,8,1,0,0,1,0,0,0,0,1,hexagon,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293053,2022-10-05_19h48.49.254,vts_reward_expectancy,2022.2.4,Win32,168.2368775,Chrome,1536,864,,,a,1.4365,1,632,2,2,4,28,0,1,1,0,0,0,0,1,0,0,triangle,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293053,2022-10-05_19h48.49.254,vts_reward_expectancy,2022.2.4,Win32,168.2368775,Chrome,1536,864,,,a,1.5758,1,633,2,2,5,29,9,1,0,0,0,1,1,0,0,0,star,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293053,2022-10-05_19h48.49.254,vts_reward_expectancy,2022.2.4,Win32,168.2368775,Chrome,1536,864,,,a,0.9514,10,643,2,2,6,30,5,1,0,1,0,0,0,0,0,1,circle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293053,2022-10-05_19h48.49.254,vts_reward_expectancy,2022.2.4,Win32,168.2368775,Chrome,1536,864,,,a,1.1213,10,653,2,2,7,31,1,1,1,0,0,0,0,0,1,0,triangle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293053,2022-10-05_19h48.49.254,vts_reward_expectancy,2022.2.4,Win32,168.2368775,Chrome,1536,864,,,a,1.2665,10,663,2,2,8,32,4,1,0,1,0,0,0,0,1,0,circle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293053,2022-10-05_19h48.49.254,vts_reward_expectancy,2022.2.4,Win32,168.2368775,Chrome,1536,864,,,l,1.194,10,673,2,2,9,33,6,1,0,0,1,0,1,0,0,0,hexagon,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293053,2022-10-05_19h48.49.254,vts_reward_expectancy,2022.2.4,Win32,168.2368775,Chrome,1536,864,,,a,1.994,10,683,2,2,10,34,2,1,1,0,0,0,0,0,0,1,triangle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293053,2022-10-05_19h48.49.254,vts_reward_expectancy,2022.2.4,Win32,168.2368775,Chrome,1536,864,,,l,1.0178,10,693,2,2,11,35,7,1,0,0,1,0,0,1,0,0,hexagon,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
