participant,date,expName,psychopyVersion,OS,frameRate,browser,xResolution,yResolution,key_resp.keys,key_resp.rt,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,curr_topStim,curr_bottStim,curr_shape,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task1_prac_trials.ran,target_resp_prac2.keys,target_resp_prac2.rt,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,task2_praac_trials.ran,alt,task,condition,target_resp.keys,rewCond,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,vts_practice_trials.ran,target_resp.rt,blockNum,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,trials_norew.ran,key_resp_2.keys,key_resp_2.rt,rewExpectancy,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,trials_rew.ran,Q1,Q2,Q2_text,Q3,Q4,Q5_text,Q5,xRes,yRes
295165,2022-12-05_23h27.58.175,vts_reward_expectancy_bt,2022.2.4,Win32,60.15399423,Chrome,1536,864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295165,2022-12-05_23h27.58.175,vts_reward_expectancy_bt,2022.2.4,Win32,60.15399423,Chrome,1536,864,space,4.4546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295165,2022-12-05_23h27.58.175,vts_reward_expectancy_bt,2022.2.4,Win32,60.15399423,Chrome,1536,864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295165,2022-12-05_23h27.58.175,vts_reward_expectancy_bt,2022.2.4,Win32,60.15399423,Chrome,1536,864,,,a,0.8435,10,10,0,0,0,0,11,1,0,0,0,1,0,0,1,0,star,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295165,2022-12-05_23h27.58.175,vts_reward_expectancy_bt,2022.2.4,Win32,60.15399423,Chrome,1536,864,,,a,0.3817,10,20,0,0,1,1,1,1,1,0,0,0,0,0,1,0,triangle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295165,2022-12-05_23h27.58.175,vts_reward_expectancy_bt,2022.2.4,Win32,60.15399423,Chrome,1536,864,,,a,0.2656,1,21,0,0,2,2,6,1,0,0,1,0,1,0,0,0,hexagon,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295165,2022-12-05_23h27.58.175,vts_reward_expectancy_bt,2022.2.4,Win32,60.15399423,Chrome,1536,864,,,a,0.4405,10,31,0,0,3,3,5,1,0,1,0,0,0,0,0,1,circle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295165,2022-12-05_23h27.58.175,vts_reward_expectancy_bt,2022.2.4,Win32,60.15399423,Chrome,1536,864,,,l,1.2251,1,32,0,0,4,4,2,1,1,0,0,0,0,0,0,1,triangle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295165,2022-12-05_23h27.58.175,vts_reward_expectancy_bt,2022.2.4,Win32,60.15399423,Chrome,1536,864,,,a,0.7435,1,33,0,0,5,5,8,1,0,0,1,0,0,0,0,1,hexagon,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295165,2022-12-05_23h27.58.175,vts_reward_expectancy_bt,2022.2.4,Win32,60.15399423,Chrome,1536,864,,,l,1.3218,10,43,0,0,6,6,0,1,1,0,0,0,0,1,0,0,triangle,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295165,2022-12-05_23h27.58.175,vts_reward_expectancy_bt,2022.2.4,Win32,60.15399423,Chrome,1536,864,,,a,1.9939,10,53,0,0,7,7,3,1,0,1,0,0,1,0,0,0,circle,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295165,2022-12-05_23h27.58.175,vts_reward_expectancy_bt,2022.2.4,Win32,60.15399423,Chrome,1536,864,,,a,2.1104,1,54,0,0,8,8,7,1,0,0,1,0,0,1,0,0,hexagon,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295165,2022-12-05_23h27.58.175,vts_reward_expectancy_bt,2022.2.4,Win32,60.15399423,Chrome,1536,864,,,l,6.9006,10,64,0,0,9,9,9,1,0,0,0,1,1,0,0,0,star,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295165,2022-12-05_23h27.58.175,vts_reward_expectancy_bt,2022.2.4,Win32,60.15399423,Chrome,1536,864,,,a,6.735,10,74,0,0,10,10,4,1,0,1,0,0,0,0,1,0,circle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295165,2022-12-05_23h27.58.175,vts_reward_expectancy_bt,2022.2.4,Win32,60.15399423,Chrome,1536,864,,,l,26.9595,10,84,0,0,11,11,10,1,0,0,0,1,0,1,0,0,star ,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295165,2022-12-05_23h27.58.175,vts_reward_expectancy_bt,2022.2.4,Win32,60.15399423,Chrome,1536,864,,,a,11.5973,1,85,0,1,0,12,2,1,1,0,0,0,0,0,0,1,triangle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295165,2022-12-05_23h27.58.175,vts_reward_expectancy_bt,2022.2.4,Win32,60.15399423,Chrome,1536,864,,,a,3.781,10,95,0,1,1,13,9,1,0,0,0,1,1,0,0,0,star,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295165,2022-12-05_23h27.58.175,vts_reward_expectancy_bt,2022.2.4,Win32,60.15399423,Chrome,1536,864,,,a,25.0062,1,96,0,1,2,14,7,1,0,0,1,0,0,1,0,0,hexagon,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295165,2022-12-05_23h27.58.175,vts_reward_expectancy_bt,2022.2.4,Win32,60.15399423,Chrome,1536,864,,,a,16.3418,10,106,0,1,3,15,4,1,0,1,0,0,0,0,1,0,circle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295165,2022-12-05_23h27.58.175,vts_reward_expectancy_bt,2022.2.4,Win32,60.15399423,Chrome,1536,864,,,a,10.7526,10,116,0,1,4,16,5,1,0,1,0,0,0,0,0,1,circle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295165,2022-12-05_23h27.58.175,vts_reward_expectancy_bt,2022.2.4,Win32,60.15399423,Chrome,1536,864,,,a,9.5604,10,126,0,1,5,17,3,1,0,1,0,0,1,0,0,0,circle,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295165,2022-12-05_23h27.58.175,vts_reward_expectancy_bt,2022.2.4,Win32,60.15399423,Chrome,1536,864,,,l,8.0436,1,127,0,1,6,18,6,1,0,0,1,0,1,0,0,0,hexagon,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295165,2022-12-05_23h27.58.175,vts_reward_expectancy_bt,2022.2.4,Win32,60.15399423,Chrome,1536,864,,,a,1.6749,1,128,0,1,7,19,8,1,0,0,1,0,0,0,0,1,hexagon,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295165,2022-12-05_23h27.58.175,vts_reward_expectancy_bt,2022.2.4,Win32,60.15399423,Chrome,1536,864,,,a,2.8773,10,138,0,1,8,20,11,1,0,0,0,1,0,0,1,0,star,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295165,2022-12-05_23h27.58.175,vts_reward_expectancy_bt,2022.2.4,Win32,60.15399423,Chrome,1536,864,,,l,2.9209,1,139,0,1,9,21,1,1,1,0,0,0,0,0,1,0,triangle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
