participant,date,expName,psychopyVersion,OS,frameRate,browser,xResolution,yResolution,key_resp.keys,key_resp.rt,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,curr_topStim,curr_bottStim,curr_shape,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task1_prac_trials.ran,target_resp_prac2.keys,target_resp_prac2.rt,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,task2_praac_trials.ran,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,vts_practice_trials.ran,blockNum,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,trials_norew.ran,key_resp_2.keys,key_resp_2.rt,rewExpectancy,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,trials_rew.ran,Q1,Q2,Q2_text,Q3,Q4,Q5_text,Q5,xRes,yRes
297556,2022-12-06_06h29.32.188,vts_reward_expectancy_bt,2022.2.4,MacIntel,120.0048002,Chrome,1728,1117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297556,2022-12-06_06h29.32.188,vts_reward_expectancy_bt,2022.2.4,MacIntel,120.0048002,Chrome,1728,1117,space,11.683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297556,2022-12-06_06h29.32.188,vts_reward_expectancy_bt,2022.2.4,MacIntel,120.0048002,Chrome,1728,1117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297556,2022-12-06_06h29.32.188,vts_reward_expectancy_bt,2022.2.4,MacIntel,120.0048002,Chrome,1728,1117,,,l,3.1301,1,1,0,0,0,0,3,1,0,1,0,0,1,0,0,0,circle,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297556,2022-12-06_06h29.32.188,vts_reward_expectancy_bt,2022.2.4,MacIntel,120.0048002,Chrome,1728,1117,,,l,1.4709,10,11,0,0,1,1,2,1,1,0,0,0,0,0,0,1,triangle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297556,2022-12-06_06h29.32.188,vts_reward_expectancy_bt,2022.2.4,MacIntel,120.0048002,Chrome,1728,1117,,,a,2.2413,1,12,0,0,2,2,6,1,0,0,1,0,1,0,0,0,hexagon,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297556,2022-12-06_06h29.32.188,vts_reward_expectancy_bt,2022.2.4,MacIntel,120.0048002,Chrome,1728,1117,,,a,0.7383,1,13,0,0,3,3,9,1,0,0,0,1,1,0,0,0,star,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297556,2022-12-06_06h29.32.188,vts_reward_expectancy_bt,2022.2.4,MacIntel,120.0048002,Chrome,1728,1117,,,a,1.6571,1,14,0,0,4,4,10,1,0,0,0,1,0,1,0,0,star ,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297556,2022-12-06_06h29.32.188,vts_reward_expectancy_bt,2022.2.4,MacIntel,120.0048002,Chrome,1728,1117,,,l,0.6369,1,15,0,0,5,5,11,1,0,0,0,1,0,0,1,0,star,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297556,2022-12-06_06h29.32.188,vts_reward_expectancy_bt,2022.2.4,MacIntel,120.0048002,Chrome,1728,1117,,,l,1.5094,10,25,0,0,6,6,1,1,1,0,0,0,0,0,1,0,triangle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297556,2022-12-06_06h29.32.188,vts_reward_expectancy_bt,2022.2.4,MacIntel,120.0048002,Chrome,1728,1117,,,l,4.464,1,26,0,0,7,7,7,1,0,0,1,0,0,1,0,0,hexagon,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297556,2022-12-06_06h29.32.188,vts_reward_expectancy_bt,2022.2.4,MacIntel,120.0048002,Chrome,1728,1117,,,l,0.7959,10,36,0,0,8,8,4,1,0,1,0,0,0,0,1,0,circle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297556,2022-12-06_06h29.32.188,vts_reward_expectancy_bt,2022.2.4,MacIntel,120.0048002,Chrome,1728,1117,,,l,0.4468,1,37,0,0,9,9,8,1,0,0,1,0,0,0,0,1,hexagon,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297556,2022-12-06_06h29.32.188,vts_reward_expectancy_bt,2022.2.4,MacIntel,120.0048002,Chrome,1728,1117,,,a,1.6352,10,47,0,0,10,10,0,1,1,0,0,0,0,1,0,0,triangle,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297556,2022-12-06_06h29.32.188,vts_reward_expectancy_bt,2022.2.4,MacIntel,120.0048002,Chrome,1728,1117,,,l,5.2171,1,48,0,0,11,11,5,1,0,1,0,0,0,0,0,1,circle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297556,2022-12-06_06h29.32.188,vts_reward_expectancy_bt,2022.2.4,MacIntel,120.0048002,Chrome,1728,1117,,,a,1.0192,10,58,0,1,0,12,0,1,1,0,0,0,0,1,0,0,triangle,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297556,2022-12-06_06h29.32.188,vts_reward_expectancy_bt,2022.2.4,MacIntel,120.0048002,Chrome,1728,1117,,,a,1.2235,1,59,0,1,1,13,8,1,0,0,1,0,0,0,0,1,hexagon,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297556,2022-12-06_06h29.32.188,vts_reward_expectancy_bt,2022.2.4,MacIntel,120.0048002,Chrome,1728,1117,,,a,1.2306,1,60,0,1,2,14,9,1,0,0,0,1,1,0,0,0,star,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297556,2022-12-06_06h29.32.188,vts_reward_expectancy_bt,2022.2.4,MacIntel,120.0048002,Chrome,1728,1117,,,l,0.6246,10,70,0,1,3,15,5,1,0,1,0,0,0,0,0,1,circle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297556,2022-12-06_06h29.32.188,vts_reward_expectancy_bt,2022.2.4,MacIntel,120.0048002,Chrome,1728,1117,,,l,3.414,1,71,0,1,4,16,3,1,0,1,0,0,1,0,0,0,circle,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297556,2022-12-06_06h29.32.188,vts_reward_expectancy_bt,2022.2.4,MacIntel,120.0048002,Chrome,1728,1117,,,a,1.6029,1,72,0,1,5,17,10,1,0,0,0,1,0,1,0,0,star ,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
