participant,date,expName,psychopyVersion,OS,frameRate,browser,xResolution,yResolution,key_resp.keys,key_resp.rt,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,curr_topStim,curr_bottStim,curr_shape,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task1_prac_trials.ran,target_resp_prac2.keys,target_resp_prac2.rt,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,task2_praac_trials.ran,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,vts_practice_trials.ran,blockNum,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,trials_norew.ran,key_resp_2.keys,key_resp_2.rt,rewExpectancy,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,trials_rew.ran,Q1,Q2,Q2_text,Q3,Q4,Q5,Q5_text,xRes,yRes
298000,2022-11-25_02h18.34.500,vts_reward_expectancy_bt,2022.2.4,MacIntel,142.8571429,Safari,1470,956,,,l,1.097,1,76,0,1,0,12,11,1,0,0,0,1,0,0,1,0,star,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298000,2022-11-25_02h18.34.500,vts_reward_expectancy_bt,2022.2.4,MacIntel,142.8571429,Safari,1470,956,,,a,1.134,10,86,0,1,1,13,9,1,0,0,0,1,1,0,0,0,star,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298000,2022-11-25_02h18.34.500,vts_reward_expectancy_bt,2022.2.4,MacIntel,142.8571429,Safari,1470,956,,,l,1.037,10,96,0,1,2,14,8,1,0,0,1,0,0,0,0,1,hexagon,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298000,2022-11-25_02h18.34.500,vts_reward_expectancy_bt,2022.2.4,MacIntel,142.8571429,Safari,1470,956,,,l,1.381,10,106,0,1,3,15,5,1,0,1,0,0,0,0,0,1,circle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298000,2022-11-25_02h18.34.500,vts_reward_expectancy_bt,2022.2.4,MacIntel,142.8571429,Safari,1470,956,,,a,0.713,1,107,0,1,4,16,6,1,0,0,1,0,1,0,0,0,hexagon,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298000,2022-11-25_02h18.34.500,vts_reward_expectancy_bt,2022.2.4,MacIntel,142.8571429,Safari,1470,956,,,l,0.652,1,108,0,1,5,17,2,1,1,0,0,0,0,0,0,1,triangle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298000,2022-11-25_02h18.34.500,vts_reward_expectancy_bt,2022.2.4,MacIntel,142.8571429,Safari,1470,956,,,l,0.423,1,109,0,1,6,18,0,1,1,0,0,0,0,1,0,0,triangle,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298000,2022-11-25_02h18.34.500,vts_reward_expectancy_bt,2022.2.4,MacIntel,142.8571429,Safari,1470,956,,,a,0.307,1,110,0,1,7,19,10,1,0,0,0,1,0,1,0,0,star ,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298000,2022-11-25_02h18.34.500,vts_reward_expectancy_bt,2022.2.4,MacIntel,142.8571429,Safari,1470,956,,,a,1.038,1,111,0,1,8,20,7,1,0,0,1,0,0,1,0,0,hexagon,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298000,2022-11-25_02h18.34.500,vts_reward_expectancy_bt,2022.2.4,MacIntel,142.8571429,Safari,1470,956,,,l,1.136,1,112,0,1,9,21,3,1,0,1,0,0,1,0,0,0,circle,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298000,2022-11-25_02h18.34.500,vts_reward_expectancy_bt,2022.2.4,MacIntel,142.8571429,Safari,1470,956,,,a,1.349,1,113,0,1,10,22,1,1,1,0,0,0,0,0,1,0,triangle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298000,2022-11-25_02h18.34.500,vts_reward_expectancy_bt,2022.2.4,MacIntel,142.8571429,Safari,1470,956,,,l,0.454,1,114,0,1,11,23,4,1,0,1,0,0,0,0,1,0,circle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298000,2022-11-25_02h18.34.500,vts_reward_expectancy_bt,2022.2.4,MacIntel,142.8571429,Safari,1470,956,,,a,0.795,1,115,0,2,0,24,10,1,0,0,0,1,0,1,0,0,star ,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298000,2022-11-25_02h18.34.500,vts_reward_expectancy_bt,2022.2.4,MacIntel,142.8571429,Safari,1470,956,,,l,0.399,10,125,0,2,1,25,0,1,1,0,0,0,0,1,0,0,triangle,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298000,2022-11-25_02h18.34.500,vts_reward_expectancy_bt,2022.2.4,MacIntel,142.8571429,Safari,1470,956,,,l,0.61,10,135,0,2,2,26,4,1,0,1,0,0,0,0,1,0,circle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298000,2022-11-25_02h18.34.500,vts_reward_expectancy_bt,2022.2.4,MacIntel,142.8571429,Safari,1470,956,,,a,1.214,10,145,0,2,3,27,11,1,0,0,0,1,0,0,1,0,star,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298000,2022-11-25_02h18.34.500,vts_reward_expectancy_bt,2022.2.4,MacIntel,142.8571429,Safari,1470,956,,,a,0.632,1,146,0,2,4,28,7,1,0,0,1,0,0,1,0,0,hexagon,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298000,2022-11-25_02h18.34.500,vts_reward_expectancy_bt,2022.2.4,MacIntel,142.8571429,Safari,1470,956,,,a,0.998,10,156,0,2,5,29,3,1,0,1,0,0,1,0,0,0,circle,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
