participant,date,expName,psychopyVersion,OS,frameRate,browser,xResolution,yResolution,key_resp.keys,key_resp.rt,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,curr_topStim,curr_bottStim,curr_shape,acc,E1,target_resp_prac1.keys,pracBlock,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task1_prac_trials.ran,target_resp_prac1.rt,target_resp_prac2.keys,target_resp_prac2.rt,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,task2_praac_trials.ran,alt,task,condition,target_resp.keys,rewCond,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,vts_practice_trials.ran,target_resp.rt,blockNum,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,trials_norew.ran,key_resp_2.keys,key_resp_2.rt,rewExpectancy,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,trials_rew.ran,Q1,Q2,Q2_text,Q3,Q4,Q5,Q5_text,xRes,yRes
295330,2022-11-25_11h04.03.838,vts_reward_expectancy_bt,2022.2.4,MacIntel,60.0024001,Chrome,1200,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295330,2022-11-25_11h04.03.838,vts_reward_expectancy_bt,2022.2.4,MacIntel,60.0024001,Chrome,1200,750,space,2.3682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295330,2022-11-25_11h04.03.838,vts_reward_expectancy_bt,2022.2.4,MacIntel,60.0024001,Chrome,1200,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295330,2022-11-25_11h04.03.838,vts_reward_expectancy_bt,2022.2.4,MacIntel,60.0024001,Chrome,1200,750,,,a,5.5615,1,1,0,0,0,0,8,1,0,0,1,0,0,0,0,1,hexagon,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295330,2022-11-25_11h04.03.838,vts_reward_expectancy_bt,2022.2.4,MacIntel,60.0024001,Chrome,1200,750,,,a,7.0321,1,2,0,0,1,1,2,1,1,0,0,0,0,0,0,1,triangle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295330,2022-11-25_11h04.03.838,vts_reward_expectancy_bt,2022.2.4,MacIntel,60.0024001,Chrome,1200,750,,,a,4.3021,1,3,0,0,2,2,6,1,0,0,1,0,1,0,0,0,hexagon,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295330,2022-11-25_11h04.03.838,vts_reward_expectancy_bt,2022.2.4,MacIntel,60.0024001,Chrome,1200,750,,,l,1.6831,10,13,0,0,3,3,7,1,0,0,1,0,0,1,0,0,hexagon,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295330,2022-11-25_11h04.03.838,vts_reward_expectancy_bt,2022.2.4,MacIntel,60.0024001,Chrome,1200,750,,,a,1.8541,1,14,0,0,4,4,11,1,0,0,0,1,0,0,1,0,star,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295330,2022-11-25_11h04.03.838,vts_reward_expectancy_bt,2022.2.4,MacIntel,60.0024001,Chrome,1200,750,,,l,0.9797,10,24,0,0,5,5,4,1,0,1,0,0,0,0,1,0,circle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295330,2022-11-25_11h04.03.838,vts_reward_expectancy_bt,2022.2.4,MacIntel,60.0024001,Chrome,1200,750,,,l,0.4545,10,34,0,0,6,6,10,1,0,0,0,1,0,1,0,0,star ,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295330,2022-11-25_11h04.03.838,vts_reward_expectancy_bt,2022.2.4,MacIntel,60.0024001,Chrome,1200,750,,,l,0.4183,1,35,0,0,7,7,9,1,0,0,0,1,1,0,0,0,star,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295330,2022-11-25_11h04.03.838,vts_reward_expectancy_bt,2022.2.4,MacIntel,60.0024001,Chrome,1200,750,,,a,0.4846,1,36,0,0,8,8,0,1,1,0,0,0,0,1,0,0,triangle,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295330,2022-11-25_11h04.03.838,vts_reward_expectancy_bt,2022.2.4,MacIntel,60.0024001,Chrome,1200,750,,,l,0.5005,1,37,0,0,9,9,3,1,0,1,0,0,1,0,0,0,circle,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295330,2022-11-25_11h04.03.838,vts_reward_expectancy_bt,2022.2.4,MacIntel,60.0024001,Chrome,1200,750,,,a,0.7143,10,47,0,0,10,10,5,1,0,1,0,0,0,0,0,1,circle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295330,2022-11-25_11h04.03.838,vts_reward_expectancy_bt,2022.2.4,MacIntel,60.0024001,Chrome,1200,750,,,l,1.3343,10,57,0,0,11,11,1,1,1,0,0,0,0,0,1,0,triangle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295330,2022-11-25_11h04.03.838,vts_reward_expectancy_bt,2022.2.4,MacIntel,60.0024001,Chrome,1200,750,,,l,2.452,10,67,0,1,0,12,7,1,0,0,1,0,0,1,0,0,hexagon,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295330,2022-11-25_11h04.03.838,vts_reward_expectancy_bt,2022.2.4,MacIntel,60.0024001,Chrome,1200,750,,,a,1.3695,1,68,0,1,1,13,8,1,0,0,1,0,0,0,0,1,hexagon,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295330,2022-11-25_11h04.03.838,vts_reward_expectancy_bt,2022.2.4,MacIntel,60.0024001,Chrome,1200,750,,,a,3.6893,10,78,0,1,2,14,2,1,1,0,0,0,0,0,0,1,triangle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295330,2022-11-25_11h04.03.838,vts_reward_expectancy_bt,2022.2.4,MacIntel,60.0024001,Chrome,1200,750,,,l,4.2795,1,79,0,1,3,15,0,1,1,0,0,0,0,1,0,0,triangle,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295330,2022-11-25_11h04.03.838,vts_reward_expectancy_bt,2022.2.4,MacIntel,60.0024001,Chrome,1200,750,,,l,1.6511,1,80,0,1,4,16,5,1,0,1,0,0,0,0,0,1,circle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295330,2022-11-25_11h04.03.838,vts_reward_expectancy_bt,2022.2.4,MacIntel,60.0024001,Chrome,1200,750,,,l,3.1595,1,81,0,1,5,17,11,1,0,0,0,1,0,0,1,0,star,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295330,2022-11-25_11h04.03.838,vts_reward_expectancy_bt,2022.2.4,MacIntel,60.0024001,Chrome,1200,750,,,l,1.1072,1,82,0,1,6,18,4,1,0,1,0,0,0,0,1,0,circle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295330,2022-11-25_11h04.03.838,vts_reward_expectancy_bt,2022.2.4,MacIntel,60.0024001,Chrome,1200,750,,,a,1.0079,10,92,0,1,7,19,1,1,1,0,0,0,0,0,1,0,triangle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
