participant,date,expName,psychopyVersion,OS,frameRate,browser,xResolution,yResolution,key_resp.keys,key_resp.rt,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,curr_topStim,curr_bottStim,curr_shape,acc,E1,target_resp_prac1.keys,pracBlock,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task1_prac_trials.ran,target_resp_prac1.rt,target_resp_prac2.keys,target_resp_prac2.rt,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,task2_praac_trials.ran,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,vts_practice_trials.ran,blockNum,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,trials_norew.ran,key_resp_2.keys,key_resp_2.rt,rewExpect,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,trials_rew.ran,Q1,Q2,Q2_text,Q3,Q4,Q5,Q5_text,xRes,yRes
292726,2022-09-30_12h03.29.035,vts_reward_expectancy,2022.2.4,Win32,165.0165017,Firefox,1920,1080,,,a,0.675,1,374,2,0,4,4,1,1,1,0,0,0,0,0,1,0,triangle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292726,2022-09-30_12h03.29.035,vts_reward_expectancy,2022.2.4,Win32,165.0165017,Firefox,1920,1080,,,l,1.008,10,384,2,0,5,5,6,1,0,0,1,0,1,0,0,0,hexagon,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292726,2022-09-30_12h03.29.035,vts_reward_expectancy,2022.2.4,Win32,165.0165017,Firefox,1920,1080,,,a,1.225,1,385,2,0,6,6,5,1,0,1,0,0,0,0,0,1,circle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292726,2022-09-30_12h03.29.035,vts_reward_expectancy,2022.2.4,Win32,165.0165017,Firefox,1920,1080,,,l,0.828,10,395,2,0,7,7,3,1,0,1,0,0,1,0,0,0,circle,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292726,2022-09-30_12h03.29.035,vts_reward_expectancy,2022.2.4,Win32,165.0165017,Firefox,1920,1080,,,l,0.814,10,405,2,0,8,8,9,1,0,0,0,1,1,0,0,0,star,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292726,2022-09-30_12h03.29.035,vts_reward_expectancy,2022.2.4,Win32,165.0165017,Firefox,1920,1080,,,l,1.362,1,406,2,0,9,9,4,1,0,1,0,0,0,0,1,0,circle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292726,2022-09-30_12h03.29.035,vts_reward_expectancy,2022.2.4,Win32,165.0165017,Firefox,1920,1080,,,a,1.006,10,416,2,0,10,10,7,1,0,0,1,0,0,1,0,0,hexagon,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292726,2022-09-30_12h03.29.035,vts_reward_expectancy,2022.2.4,Win32,165.0165017,Firefox,1920,1080,,,a,0.728,10,426,2,0,11,11,0,1,1,0,0,0,0,1,0,0,triangle,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292726,2022-09-30_12h03.29.035,vts_reward_expectancy,2022.2.4,Win32,165.0165017,Firefox,1920,1080,,,a,1.079,10,436,2,1,0,12,1,1,1,0,0,0,0,0,1,0,triangle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292726,2022-09-30_12h03.29.035,vts_reward_expectancy,2022.2.4,Win32,165.0165017,Firefox,1920,1080,,,a,0.99,10,446,2,1,1,13,2,1,1,0,0,0,0,0,0,1,triangle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292726,2022-09-30_12h03.29.035,vts_reward_expectancy,2022.2.4,Win32,165.0165017,Firefox,1920,1080,,,a,0.765,1,447,2,1,2,14,5,1,0,1,0,0,0,0,0,1,circle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292726,2022-09-30_12h03.29.035,vts_reward_expectancy,2022.2.4,Win32,165.0165017,Firefox,1920,1080,,,a,0.972,10,457,2,1,3,15,7,1,0,0,1,0,0,1,0,0,hexagon,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292726,2022-09-30_12h03.29.035,vts_reward_expectancy,2022.2.4,Win32,165.0165017,Firefox,1920,1080,,,l,1.418,10,467,2,1,4,16,6,1,0,0,1,0,1,0,0,0,hexagon,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292726,2022-09-30_12h03.29.035,vts_reward_expectancy,2022.2.4,Win32,165.0165017,Firefox,1920,1080,,,a,1.461,10,477,2,1,5,17,11,1,0,0,0,1,0,0,1,0,star,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292726,2022-09-30_12h03.29.035,vts_reward_expectancy,2022.2.4,Win32,165.0165017,Firefox,1920,1080,,,l,0.987,10,487,2,1,6,18,8,1,0,0,1,0,0,0,0,1,hexagon,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292726,2022-09-30_12h03.29.035,vts_reward_expectancy,2022.2.4,Win32,165.0165017,Firefox,1920,1080,,,l,0.709,10,497,2,1,7,19,3,1,0,1,0,0,1,0,0,0,circle,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292726,2022-09-30_12h03.29.035,vts_reward_expectancy,2022.2.4,Win32,165.0165017,Firefox,1920,1080,,,a,2.105,1,498,2,1,8,20,4,1,0,1,0,0,0,0,1,0,circle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292726,2022-09-30_12h03.29.035,vts_reward_expectancy,2022.2.4,Win32,165.0165017,Firefox,1920,1080,,,a,1.068,1,499,2,1,9,21,10,1,0,0,0,1,0,1,0,0,star ,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292726,2022-09-30_12h03.29.035,vts_reward_expectancy,2022.2.4,Win32,165.0165017,Firefox,1920,1080,,,l,1.069,1,500,2,1,10,22,9,1,0,0,0,1,1,0,0,0,star,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292726,2022-09-30_12h03.29.035,vts_reward_expectancy,2022.2.4,Win32,165.0165017,Firefox,1920,1080,,,a,1.203,10,510,2,1,11,23,0,1,1,0,0,0,0,1,0,0,triangle,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292726,2022-09-30_12h03.29.035,vts_reward_expectancy,2022.2.4,Win32,165.0165017,Firefox,1920,1080,,,a,1.34,1,511,2,2,0,24,7,1,0,0,1,0,0,1,0,0,hexagon,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292726,2022-09-30_12h03.29.035,vts_reward_expectancy,2022.2.4,Win32,165.0165017,Firefox,1920,1080,,,a,0.822,1,512,2,2,1,25,5,1,0,1,0,0,0,0,0,1,circle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292726,2022-09-30_12h03.29.035,vts_reward_expectancy,2022.2.4,Win32,165.0165017,Firefox,1920,1080,,,a,1.595,1,513,2,2,2,26,4,1,0,1,0,0,0,0,1,0,circle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292726,2022-09-30_12h03.29.035,vts_reward_expectancy,2022.2.4,Win32,165.0165017,Firefox,1920,1080,,,l,2.161,1,514,2,2,3,27,11,1,0,0,0,1,0,0,1,0,star,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292726,2022-09-30_12h03.29.035,vts_reward_expectancy,2022.2.4,Win32,165.0165017,Firefox,1920,1080,,,a,0.68,10,524,2,2,4,28,1,1,1,0,0,0,0,0,1,0,triangle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
