participant,date,expName,psychopyVersion,OS,frameRate,browser,xResolution,yResolution,key_resp.keys,key_resp.rt,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,curr_topStim,curr_bottStim,curr_shape,acc,E1,target_resp_prac1.keys,pracBlock,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task1_prac_trials.ran,target_resp_prac1.rt,target_resp_prac2.keys,target_resp_prac2.rt,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,task2_praac_trials.ran,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,vts_practice_trials.ran,blockNum,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,trials_norew.ran,key_resp_2.keys,key_resp_2.rt,rewExpectancy,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,trials_rew.ran,Q1,Q2_text,Q5_text,xRes,yRes
295570,2022-12-03_00h22.44.931,vts_reward_expectancy_bt,2022.2.4,MacIntel,66.66666667,Safari,820,1180,,,l,1.438,10,131,0,1,1,13,2,1,1,0,0,0,0,0,0,1,triangle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295570,2022-12-03_00h22.44.931,vts_reward_expectancy_bt,2022.2.4,MacIntel,66.66666667,Safari,820,1180,,,l,1.015,1,132,0,1,2,14,0,1,1,0,0,0,0,1,0,0,triangle,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295570,2022-12-03_00h22.44.931,vts_reward_expectancy_bt,2022.2.4,MacIntel,66.66666667,Safari,820,1180,,,a,1.024,10,142,0,1,3,15,11,1,0,0,0,1,0,0,1,0,star,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295570,2022-12-03_00h22.44.931,vts_reward_expectancy_bt,2022.2.4,MacIntel,66.66666667,Safari,820,1180,,,a,1.188,10,152,0,1,4,16,10,1,0,0,0,1,0,1,0,0,star ,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295570,2022-12-03_00h22.44.931,vts_reward_expectancy_bt,2022.2.4,MacIntel,66.66666667,Safari,820,1180,,,l,0.981,10,162,0,1,5,17,5,1,0,1,0,0,0,0,0,1,circle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295570,2022-12-03_00h22.44.931,vts_reward_expectancy_bt,2022.2.4,MacIntel,66.66666667,Safari,820,1180,,,l,0.768,1,163,0,1,6,18,8,1,0,0,1,0,0,0,0,1,hexagon,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295570,2022-12-03_00h22.44.931,vts_reward_expectancy_bt,2022.2.4,MacIntel,66.66666667,Safari,820,1180,,,a,0.553,1,164,0,1,7,19,7,1,0,0,1,0,0,1,0,0,hexagon,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295570,2022-12-03_00h22.44.931,vts_reward_expectancy_bt,2022.2.4,MacIntel,66.66666667,Safari,820,1180,,,a,0.656,10,174,0,1,8,20,9,1,0,0,0,1,1,0,0,0,star,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295570,2022-12-03_00h22.44.931,vts_reward_expectancy_bt,2022.2.4,MacIntel,66.66666667,Safari,820,1180,,,a,0.864,10,184,0,1,9,21,1,1,1,0,0,0,0,0,1,0,triangle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295570,2022-12-03_00h22.44.931,vts_reward_expectancy_bt,2022.2.4,MacIntel,66.66666667,Safari,820,1180,,,l,0.938,1,185,0,1,10,22,4,1,0,1,0,0,0,0,1,0,circle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295570,2022-12-03_00h22.44.931,vts_reward_expectancy_bt,2022.2.4,MacIntel,66.66666667,Safari,820,1180,,,l,0.589,1,186,0,1,11,23,3,1,0,1,0,0,1,0,0,0,circle,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295570,2022-12-03_00h22.44.931,vts_reward_expectancy_bt,2022.2.4,MacIntel,66.66666667,Safari,820,1180,,,l,0.814,10,196,0,2,0,24,10,1,0,0,0,1,0,1,0,0,star ,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295570,2022-12-03_00h22.44.931,vts_reward_expectancy_bt,2022.2.4,MacIntel,66.66666667,Safari,820,1180,,,l,1.121,10,206,0,2,1,25,5,1,0,1,0,0,0,0,0,1,circle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295570,2022-12-03_00h22.44.931,vts_reward_expectancy_bt,2022.2.4,MacIntel,66.66666667,Safari,820,1180,,,a,0.66,10,216,0,2,2,26,3,1,0,1,0,0,1,0,0,0,circle,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295570,2022-12-03_00h22.44.931,vts_reward_expectancy_bt,2022.2.4,MacIntel,66.66666667,Safari,820,1180,,,a,1.375,10,226,0,2,3,27,1,1,1,0,0,0,0,0,1,0,triangle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295570,2022-12-03_00h22.44.931,vts_reward_expectancy_bt,2022.2.4,MacIntel,66.66666667,Safari,820,1180,,,l,1.137,10,236,0,2,4,28,6,1,0,0,1,0,1,0,0,0,hexagon,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295570,2022-12-03_00h22.44.931,vts_reward_expectancy_bt,2022.2.4,MacIntel,66.66666667,Safari,820,1180,,,l,0.81,10,246,0,2,5,29,2,1,1,0,0,0,0,0,0,1,triangle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295570,2022-12-03_00h22.44.931,vts_reward_expectancy_bt,2022.2.4,MacIntel,66.66666667,Safari,820,1180,,,l,0.916,1,247,0,2,6,30,8,1,0,0,1,0,0,0,0,1,hexagon,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295570,2022-12-03_00h22.44.931,vts_reward_expectancy_bt,2022.2.4,MacIntel,66.66666667,Safari,820,1180,,,l,2.318,1,248,0,2,7,31,4,1,0,1,0,0,0,0,1,0,circle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295570,2022-12-03_00h22.44.931,vts_reward_expectancy_bt,2022.2.4,MacIntel,66.66666667,Safari,820,1180,,,a,0.739,1,249,0,2,8,32,7,1,0,0,1,0,0,1,0,0,hexagon,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295570,2022-12-03_00h22.44.931,vts_reward_expectancy_bt,2022.2.4,MacIntel,66.66666667,Safari,820,1180,,,a,1.048,10,259,0,2,9,33,9,1,0,0,0,1,1,0,0,0,star,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295570,2022-12-03_00h22.44.931,vts_reward_expectancy_bt,2022.2.4,MacIntel,66.66666667,Safari,820,1180,,,a,1.125,1,260,0,2,10,34,11,1,0,0,0,1,0,0,1,0,star,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295570,2022-12-03_00h22.44.931,vts_reward_expectancy_bt,2022.2.4,MacIntel,66.66666667,Safari,820,1180,,,a,2.832,10,270,0,2,11,35,0,1,1,0,0,0,0,1,0,0,triangle,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
