participant,date,expName,psychopyVersion,OS,frameRate,browser,xResolution,yResolution,key_resp.keys,key_resp.rt,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,curr_topStim,curr_bottStim,curr_shape,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task1_prac_trials.ran,target_resp_prac2.keys,target_resp_prac2.rt,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,task2_praac_trials.ran,alt,task,condition,target_resp.keys,rewCond,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,vts_practice_trials.ran,target_resp.rt,blockNum,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,trials_norew.ran,key_resp_2.keys,key_resp_2.rt,rewExpectancy,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,trials_rew.ran,Q1,Q2,Q2_text,Q3,Q4,Q5_text,Q5,xRes,yRes
297088,2022-11-25_10h22.39.382,vts_reward_expectancy_bt,2022.2.4,MacIntel,62.5,Safari,1470,956,,,a,1.73,1,41,0,1,1,13,3,1,0,1,0,0,1,0,0,0,circle,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297088,2022-11-25_10h22.39.382,vts_reward_expectancy_bt,2022.2.4,MacIntel,62.5,Safari,1470,956,,,a,1.95,1,42,0,1,2,14,0,1,1,0,0,0,0,1,0,0,triangle,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297088,2022-11-25_10h22.39.382,vts_reward_expectancy_bt,2022.2.4,MacIntel,62.5,Safari,1470,956,,,l,1.406,10,52,0,1,3,15,11,1,0,0,0,1,0,0,1,0,star,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297088,2022-11-25_10h22.39.382,vts_reward_expectancy_bt,2022.2.4,MacIntel,62.5,Safari,1470,956,,,l,1.285,1,53,0,1,4,16,10,1,0,0,0,1,0,1,0,0,star ,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297088,2022-11-25_10h22.39.382,vts_reward_expectancy_bt,2022.2.4,MacIntel,62.5,Safari,1470,956,,,a,2.636,1,54,0,1,5,17,6,1,0,0,1,0,1,0,0,0,hexagon,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297088,2022-11-25_10h22.39.382,vts_reward_expectancy_bt,2022.2.4,MacIntel,62.5,Safari,1470,956,,,a,1.481,1,55,0,1,6,18,5,1,0,1,0,0,0,0,0,1,circle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297088,2022-11-25_10h22.39.382,vts_reward_expectancy_bt,2022.2.4,MacIntel,62.5,Safari,1470,956,,,a,2.649,10,65,0,1,7,19,1,1,1,0,0,0,0,0,1,0,triangle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297088,2022-11-25_10h22.39.382,vts_reward_expectancy_bt,2022.2.4,MacIntel,62.5,Safari,1470,956,,,a,0.945,10,75,0,1,8,20,2,1,1,0,0,0,0,0,0,1,triangle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297088,2022-11-25_10h22.39.382,vts_reward_expectancy_bt,2022.2.4,MacIntel,62.5,Safari,1470,956,,,l,1.19,1,76,0,1,9,21,7,1,0,0,1,0,0,1,0,0,hexagon,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297088,2022-11-25_10h22.39.382,vts_reward_expectancy_bt,2022.2.4,MacIntel,62.5,Safari,1470,956,,,l,2.571,10,86,0,1,10,22,8,1,0,0,1,0,0,0,0,1,hexagon,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297088,2022-11-25_10h22.39.382,vts_reward_expectancy_bt,2022.2.4,MacIntel,62.5,Safari,1470,956,,,l,2.01,10,96,0,1,11,23,9,1,0,0,0,1,1,0,0,0,star,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297088,2022-11-25_10h22.39.382,vts_reward_expectancy_bt,2022.2.4,MacIntel,62.5,Safari,1470,956,,,l,1.891,1,97,0,2,0,24,10,1,0,0,0,1,0,1,0,0,star ,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297088,2022-11-25_10h22.39.382,vts_reward_expectancy_bt,2022.2.4,MacIntel,62.5,Safari,1470,956,,,a,1.284,1,98,0,2,1,25,0,1,1,0,0,0,0,1,0,0,triangle,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297088,2022-11-25_10h22.39.382,vts_reward_expectancy_bt,2022.2.4,MacIntel,62.5,Safari,1470,956,,,l,3.413,10,108,0,2,2,26,11,1,0,0,0,1,0,0,1,0,star,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297088,2022-11-25_10h22.39.382,vts_reward_expectancy_bt,2022.2.4,MacIntel,62.5,Safari,1470,956,,,a,1.4,10,118,0,2,3,27,2,1,1,0,0,0,0,0,0,1,triangle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297088,2022-11-25_10h22.39.382,vts_reward_expectancy_bt,2022.2.4,MacIntel,62.5,Safari,1470,956,,,a,2.53,1,119,0,2,4,28,3,1,0,1,0,0,1,0,0,0,circle,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297088,2022-11-25_10h22.39.382,vts_reward_expectancy_bt,2022.2.4,MacIntel,62.5,Safari,1470,956,,,a,2.034,10,129,0,2,5,29,1,1,1,0,0,0,0,0,1,0,triangle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297088,2022-11-25_10h22.39.382,vts_reward_expectancy_bt,2022.2.4,MacIntel,62.5,Safari,1470,956,,,l,2.922,10,139,0,2,6,30,5,1,0,1,0,0,0,0,0,1,circle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297088,2022-11-25_10h22.39.382,vts_reward_expectancy_bt,2022.2.4,MacIntel,62.5,Safari,1470,956,,,l,2.683,10,149,0,2,7,31,7,1,0,0,1,0,0,1,0,0,hexagon,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297088,2022-11-25_10h22.39.382,vts_reward_expectancy_bt,2022.2.4,MacIntel,62.5,Safari,1470,956,,,l,2.332,1,150,0,2,8,32,6,1,0,0,1,0,1,0,0,0,hexagon,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297088,2022-11-25_10h22.39.382,vts_reward_expectancy_bt,2022.2.4,MacIntel,62.5,Safari,1470,956,,,l,1.916,10,160,0,2,9,33,9,1,0,0,0,1,1,0,0,0,star,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297088,2022-11-25_10h22.39.382,vts_reward_expectancy_bt,2022.2.4,MacIntel,62.5,Safari,1470,956,,,a,1.688,1,161,0,2,10,34,8,1,0,0,1,0,0,0,0,1,hexagon,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297088,2022-11-25_10h22.39.382,vts_reward_expectancy_bt,2022.2.4,MacIntel,62.5,Safari,1470,956,,,a,2.273,1,162,0,2,11,35,4,1,0,1,0,0,0,0,1,0,circle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
