participant,date,expName,psychopyVersion,OS,frameRate,browser,xResolution,yResolution,key_resp.keys,key_resp.rt,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,curr_topStim,curr_bottStim,curr_shape,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task1_prac_trials.ran,target_resp_prac2.keys,target_resp_prac2.rt,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,task2_praac_trials.ran,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,vts_practice_trials.ran,blockNum,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,trials_norew.ran,key_resp_2.keys,key_resp_2.rt,rewExpectancy,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,trials_rew.ran,Q1,Q2,Q2_text,Q3,Q4,Q5_text,Q5,xRes,yRes
298186,2022-11-14_09h33.04.705,vts_reward_expectancy_bt,2022.2.4,Win32,4.001008254,Chrome,1536,864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298186,2022-11-14_09h33.04.705,vts_reward_expectancy_bt,2022.2.4,Win32,4.001008254,Chrome,1536,864,space,16.1417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298186,2022-11-14_09h33.04.705,vts_reward_expectancy_bt,2022.2.4,Win32,4.001008254,Chrome,1536,864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298186,2022-11-14_09h33.04.705,vts_reward_expectancy_bt,2022.2.4,Win32,4.001008254,Chrome,1536,864,,,l,3.0165,1,1,0,0,0,0,8,1,0,0,1,0,0,0,0,1,hexagon,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298186,2022-11-14_09h33.04.705,vts_reward_expectancy_bt,2022.2.4,Win32,4.001008254,Chrome,1536,864,,,l,2.1264,10,11,0,0,1,1,5,1,0,1,0,0,0,0,0,1,circle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298186,2022-11-14_09h33.04.705,vts_reward_expectancy_bt,2022.2.4,Win32,4.001008254,Chrome,1536,864,,,l,2.8451,10,21,0,0,2,2,0,1,1,0,0,0,0,1,0,0,triangle,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298186,2022-11-14_09h33.04.705,vts_reward_expectancy_bt,2022.2.4,Win32,4.001008254,Chrome,1536,864,,,a,1.2158,1,22,0,0,3,3,11,1,0,0,0,1,0,0,1,0,star,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298186,2022-11-14_09h33.04.705,vts_reward_expectancy_bt,2022.2.4,Win32,4.001008254,Chrome,1536,864,,,l,1.2205,10,32,0,0,4,4,2,1,1,0,0,0,0,0,0,1,triangle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298186,2022-11-14_09h33.04.705,vts_reward_expectancy_bt,2022.2.4,Win32,4.001008254,Chrome,1536,864,,,l,1.4587,1,33,0,0,5,5,9,1,0,0,0,1,1,0,0,0,star,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298186,2022-11-14_09h33.04.705,vts_reward_expectancy_bt,2022.2.4,Win32,4.001008254,Chrome,1536,864,,,l,1.4797,10,43,0,0,6,6,3,1,0,1,0,0,1,0,0,0,circle,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298186,2022-11-14_09h33.04.705,vts_reward_expectancy_bt,2022.2.4,Win32,4.001008254,Chrome,1536,864,,,a,1.8241,1,44,0,0,7,7,7,1,0,0,1,0,0,1,0,0,hexagon,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298186,2022-11-14_09h33.04.705,vts_reward_expectancy_bt,2022.2.4,Win32,4.001008254,Chrome,1536,864,,,a,1.5089,1,45,0,0,8,8,6,1,0,0,1,0,1,0,0,0,hexagon,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298186,2022-11-14_09h33.04.705,vts_reward_expectancy_bt,2022.2.4,Win32,4.001008254,Chrome,1536,864,,,l,2.0951,1,46,0,0,9,9,1,1,1,0,0,0,0,0,1,0,triangle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298186,2022-11-14_09h33.04.705,vts_reward_expectancy_bt,2022.2.4,Win32,4.001008254,Chrome,1536,864,,,l,1.4807,10,56,0,0,10,10,10,1,0,0,0,1,0,1,0,0,star ,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298186,2022-11-14_09h33.04.705,vts_reward_expectancy_bt,2022.2.4,Win32,4.001008254,Chrome,1536,864,,,a,1.5795,1,57,0,0,11,11,4,1,0,1,0,0,0,0,1,0,circle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298186,2022-11-14_09h33.04.705,vts_reward_expectancy_bt,2022.2.4,Win32,4.001008254,Chrome,1536,864,,,l,2.0511,1,58,0,1,0,12,0,1,1,0,0,0,0,1,0,0,triangle,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298186,2022-11-14_09h33.04.705,vts_reward_expectancy_bt,2022.2.4,Win32,4.001008254,Chrome,1536,864,,,l,2.3921,1,59,0,1,1,13,9,1,0,0,0,1,1,0,0,0,star,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298186,2022-11-14_09h33.04.705,vts_reward_expectancy_bt,2022.2.4,Win32,4.001008254,Chrome,1536,864,,,a,1.7941,1,60,0,1,2,14,11,1,0,0,0,1,0,0,1,0,star,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298186,2022-11-14_09h33.04.705,vts_reward_expectancy_bt,2022.2.4,Win32,4.001008254,Chrome,1536,864,,,a,5.9452,10,70,0,1,3,15,6,1,0,0,1,0,1,0,0,0,hexagon,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298186,2022-11-14_09h33.04.705,vts_reward_expectancy_bt,2022.2.4,Win32,4.001008254,Chrome,1536,864,,,a,3.2571,10,80,0,1,4,16,3,1,0,1,0,0,1,0,0,0,circle,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298186,2022-11-14_09h33.04.705,vts_reward_expectancy_bt,2022.2.4,Win32,4.001008254,Chrome,1536,864,,,l,2.4144,10,90,0,1,5,17,4,1,0,1,0,0,0,0,1,0,circle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298186,2022-11-14_09h33.04.705,vts_reward_expectancy_bt,2022.2.4,Win32,4.001008254,Chrome,1536,864,,,a,1.2128,10,100,0,1,6,18,7,1,0,0,1,0,0,1,0,0,hexagon,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298186,2022-11-14_09h33.04.705,vts_reward_expectancy_bt,2022.2.4,Win32,4.001008254,Chrome,1536,864,,,a,2.0756,1,101,0,1,7,19,5,1,0,1,0,0,0,0,0,1,circle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298186,2022-11-14_09h33.04.705,vts_reward_expectancy_bt,2022.2.4,Win32,4.001008254,Chrome,1536,864,,,a,2.4664,1,102,0,1,8,20,10,1,0,0,0,1,0,1,0,0,star ,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298186,2022-11-14_09h33.04.705,vts_reward_expectancy_bt,2022.2.4,Win32,4.001008254,Chrome,1536,864,,,l,3.7954,1,103,0,1,9,21,1,1,1,0,0,0,0,0,1,0,triangle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298186,2022-11-14_09h33.04.705,vts_reward_expectancy_bt,2022.2.4,Win32,4.001008254,Chrome,1536,864,,,l,1.496,10,113,0,1,10,22,8,1,0,0,1,0,0,0,0,1,hexagon,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298186,2022-11-14_09h33.04.705,vts_reward_expectancy_bt,2022.2.4,Win32,4.001008254,Chrome,1536,864,,,l,1.2193,1,114,0,1,11,23,2,1,1,0,0,0,0,0,0,1,triangle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298186,2022-11-14_09h33.04.705,vts_reward_expectancy_bt,2022.2.4,Win32,4.001008254,Chrome,1536,864,,,a,1.4743,10,124,0,2,0,24,0,1,1,0,0,0,0,1,0,0,triangle,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298186,2022-11-14_09h33.04.705,vts_reward_expectancy_bt,2022.2.4,Win32,4.001008254,Chrome,1536,864,,,l,2.9353,1,125,0,2,1,25,4,1,0,1,0,0,0,0,1,0,circle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298186,2022-11-14_09h33.04.705,vts_reward_expectancy_bt,2022.2.4,Win32,4.001008254,Chrome,1536,864,,,l,1.503,10,135,0,2,2,26,11,1,0,0,0,1,0,0,1,0,star,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298186,2022-11-14_09h33.04.705,vts_reward_expectancy_bt,2022.2.4,Win32,4.001008254,Chrome,1536,864,,,a,0.876,10,145,0,2,3,27,3,1,0,1,0,0,1,0,0,0,circle,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298186,2022-11-14_09h33.04.705,vts_reward_expectancy_bt,2022.2.4,Win32,4.001008254,Chrome,1536,864,,,a,1.2332,1,146,0,2,4,28,2,1,1,0,0,0,0,0,0,1,triangle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298186,2022-11-14_09h33.04.705,vts_reward_expectancy_bt,2022.2.4,Win32,4.001008254,Chrome,1536,864,,,l,0.6282,10,156,0,2,5,29,6,1,0,0,1,0,1,0,0,0,hexagon,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298186,2022-11-14_09h33.04.705,vts_reward_expectancy_bt,2022.2.4,Win32,4.001008254,Chrome,1536,864,,,a,0.6101,10,166,0,2,6,30,9,1,0,0,0,1,1,0,0,0,star,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298186,2022-11-14_09h33.04.705,vts_reward_expectancy_bt,2022.2.4,Win32,4.001008254,Chrome,1536,864,,,l,0.8706,1,167,0,2,7,31,1,1,1,0,0,0,0,0,1,0,triangle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298186,2022-11-14_09h33.04.705,vts_reward_expectancy_bt,2022.2.4,Win32,4.001008254,Chrome,1536,864,,,l,0.6379,10,177,0,2,8,32,5,1,0,1,0,0,0,0,0,1,circle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298186,2022-11-14_09h33.04.705,vts_reward_expectancy_bt,2022.2.4,Win32,4.001008254,Chrome,1536,864,,,a,0.6212,1,178,0,2,9,33,8,1,0,0,1,0,0,0,0,1,hexagon,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298186,2022-11-14_09h33.04.705,vts_reward_expectancy_bt,2022.2.4,Win32,4.001008254,Chrome,1536,864,,,a,0.0323,1,179,0,2,10,34,7,1,0,0,1,0,0,1,0,0,hexagon,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298186,2022-11-14_09h33.04.705,vts_reward_expectancy_bt,2022.2.4,Win32,4.001008254,Chrome,1536,864,,,l,0.5979,10,189,0,2,11,35,10,1,0,0,0,1,0,1,0,0,star ,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298186,2022-11-14_09h33.04.705,vts_reward_expectancy_bt,2022.2.4,Win32,4.001008254,Chrome,1536,864,,,a,0.9968,1,190,1,0,0,0,6,1,0,0,1,0,1,0,0,0,hexagon,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298186,2022-11-14_09h33.04.705,vts_reward_expectancy_bt,2022.2.4,Win32,4.001008254,Chrome,1536,864,,,l,0.6092,10,200,1,0,1,1,9,1,0,0,0,1,1,0,0,0,star,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298186,2022-11-14_09h33.04.705,vts_reward_expectancy_bt,2022.2.4,Win32,4.001008254,Chrome,1536,864,,,a,1.1973,10,210,1,0,2,2,2,1,1,0,0,0,0,0,0,1,triangle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298186,2022-11-14_09h33.04.705,vts_reward_expectancy_bt,2022.2.4,Win32,4.001008254,Chrome,1536,864,,,l,0.9305,10,220,1,0,3,3,4,1,0,1,0,0,0,0,1,0,circle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298186,2022-11-14_09h33.04.705,vts_reward_expectancy_bt,2022.2.4,Win32,4.001008254,Chrome,1536,864,,,l,1.2138,10,230,1,0,4,4,1,1,1,0,0,0,0,0,1,0,triangle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298186,2022-11-14_09h33.04.705,vts_reward_expectancy_bt,2022.2.4,Win32,4.001008254,Chrome,1536,864,,,a,1.5031,10,240,1,0,5,5,11,1,0,0,0,1,0,0,1,0,star,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298186,2022-11-14_09h33.04.705,vts_reward_expectancy_bt,2022.2.4,Win32,4.001008254,Chrome,1536,864,,,a,1.2059,10,250,1,0,6,6,5,1,0,1,0,0,0,0,0,1,circle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298186,2022-11-14_09h33.04.705,vts_reward_expectancy_bt,2022.2.4,Win32,4.001008254,Chrome,1536,864,,,l,1.502,1,251,1,0,7,7,7,1,0,0,1,0,0,1,0,0,hexagon,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298186,2022-11-14_09h33.04.705,vts_reward_expectancy_bt,2022.2.4,Win32,4.001008254,Chrome,1536,864,,,l,1.2129,1,252,1,0,8,8,0,1,1,0,0,0,0,1,0,0,triangle,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298186,2022-11-14_09h33.04.705,vts_reward_expectancy_bt,2022.2.4,Win32,4.001008254,Chrome,1536,864,,,a,0.9091,1,253,1,0,9,9,10,1,0,0,0,1,0,1,0,0,star ,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298186,2022-11-14_09h33.04.705,vts_reward_expectancy_bt,2022.2.4,Win32,4.001008254,Chrome,1536,864,,,a,0.8835,10,263,1,0,10,10,3,1,0,1,0,0,1,0,0,0,circle,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298186,2022-11-14_09h33.04.705,vts_reward_expectancy_bt,2022.2.4,Win32,4.001008254,Chrome,1536,864,,,l,1.1806,1,264,1,0,11,11,8,1,0,0,1,0,0,0,0,1,hexagon,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298186,2022-11-14_09h33.04.705,vts_reward_expectancy_bt,2022.2.4,Win32,4.001008254,Chrome,1536,864,,,a,0.6272,10,274,1,1,0,12,3,1,0,1,0,0,1,0,0,0,circle,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298186,2022-11-14_09h33.04.705,vts_reward_expectancy_bt,2022.2.4,Win32,4.001008254,Chrome,1536,864,,,a,1.2127,10,284,1,1,1,13,1,1,1,0,0,0,0,0,1,0,triangle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298186,2022-11-14_09h33.04.705,vts_reward_expectancy_bt,2022.2.4,Win32,4.001008254,Chrome,1536,864,,,l,0.619,1,285,1,1,2,14,0,1,1,0,0,0,0,1,0,0,triangle,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298186,2022-11-14_09h33.04.705,vts_reward_expectancy_bt,2022.2.4,Win32,4.001008254,Chrome,1536,864,,,a,0.6415,10,295,1,1,3,15,8,1,0,0,1,0,0,0,0,1,hexagon,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298186,2022-11-14_09h33.04.705,vts_reward_expectancy_bt,2022.2.4,Win32,4.001008254,Chrome,1536,864,,,a,1.4831,1,296,1,1,4,16,9,1,0,0,0,1,1,0,0,0,star,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298186,2022-11-14_09h33.04.705,vts_reward_expectancy_bt,2022.2.4,Win32,4.001008254,Chrome,1536,864,,,l,0.6449,10,306,1,1,5,17,11,1,0,0,0,1,0,0,1,0,star,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298186,2022-11-14_09h33.04.705,vts_reward_expectancy_bt,2022.2.4,Win32,4.001008254,Chrome,1536,864,,,l,0.6011,1,307,1,1,6,18,2,1,1,0,0,0,0,0,0,1,triangle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298186,2022-11-14_09h33.04.705,vts_reward_expectancy_bt,2022.2.4,Win32,4.001008254,Chrome,1536,864,,,l,0.6037,10,317,1,1,7,19,6,1,0,0,1,0,1,0,0,0,hexagon,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298186,2022-11-14_09h33.04.705,vts_reward_expectancy_bt,2022.2.4,Win32,4.001008254,Chrome,1536,864,,,a,0.6433,10,327,1,1,8,20,5,1,0,1,0,0,0,0,0,1,circle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298186,2022-11-14_09h33.04.705,vts_reward_expectancy_bt,2022.2.4,Win32,4.001008254,Chrome,1536,864,,,l,0.6298,1,328,1,1,9,21,7,1,0,0,1,0,0,1,0,0,hexagon,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298186,2022-11-14_09h33.04.705,vts_reward_expectancy_bt,2022.2.4,Win32,4.001008254,Chrome,1536,864,,,a,0.3183,10,338,1,1,10,22,4,1,0,1,0,0,0,0,1,0,circle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298186,2022-11-14_09h33.04.705,vts_reward_expectancy_bt,2022.2.4,Win32,4.001008254,Chrome,1536,864,,,l,0.5893,10,348,1,1,11,23,10,1,0,0,0,1,0,1,0,0,star ,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298186,2022-11-14_09h33.04.705,vts_reward_expectancy_bt,2022.2.4,Win32,4.001008254,Chrome,1536,864,,,l,0.6407,10,358,1,2,0,24,10,1,0,0,0,1,0,1,0,0,star ,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298186,2022-11-14_09h33.04.705,vts_reward_expectancy_bt,2022.2.4,Win32,4.001008254,Chrome,1536,864,,,a,0.6351,1,359,1,2,1,25,5,1,0,1,0,0,0,0,0,1,circle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298186,2022-11-14_09h33.04.705,vts_reward_expectancy_bt,2022.2.4,Win32,4.001008254,Chrome,1536,864,,,a,0.3082,10,369,1,2,2,26,0,1,1,0,0,0,0,1,0,0,triangle,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298186,2022-11-14_09h33.04.705,vts_reward_expectancy_bt,2022.2.4,Win32,4.001008254,Chrome,1536,864,,,a,0.678,10,379,1,2,3,27,3,1,0,1,0,0,1,0,0,0,circle,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298186,2022-11-14_09h33.04.705,vts_reward_expectancy_bt,2022.2.4,Win32,4.001008254,Chrome,1536,864,,,l,1.1965,10,389,1,2,4,28,6,1,0,0,1,0,1,0,0,0,hexagon,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298186,2022-11-14_09h33.04.705,vts_reward_expectancy_bt,2022.2.4,Win32,4.001008254,Chrome,1536,864,,,a,0.649,10,399,1,2,5,29,2,1,1,0,0,0,0,0,0,1,triangle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298186,2022-11-14_09h33.04.705,vts_reward_expectancy_bt,2022.2.4,Win32,4.001008254,Chrome,1536,864,,,a,0.625,10,409,1,2,6,30,11,1,0,0,0,1,0,0,1,0,star,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298186,2022-11-14_09h33.04.705,vts_reward_expectancy_bt,2022.2.4,Win32,4.001008254,Chrome,1536,864,,,l,0.5998,10,419,1,2,7,31,1,1,1,0,0,0,0,0,1,0,triangle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298186,2022-11-14_09h33.04.705,vts_reward_expectancy_bt,2022.2.4,Win32,4.001008254,Chrome,1536,864,,,l,0.6042,10,429,1,2,8,32,7,1,0,0,1,0,0,1,0,0,hexagon,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298186,2022-11-14_09h33.04.705,vts_reward_expectancy_bt,2022.2.4,Win32,4.001008254,Chrome,1536,864,,,a,0.3148,1,430,1,2,9,33,4,1,0,1,0,0,0,0,1,0,circle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298186,2022-11-14_09h33.04.705,vts_reward_expectancy_bt,2022.2.4,Win32,4.001008254,Chrome,1536,864,,,a,0.6044,10,440,1,2,10,34,9,1,0,0,0,1,1,0,0,0,star,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298186,2022-11-14_09h33.04.705,vts_reward_expectancy_bt,2022.2.4,Win32,4.001008254,Chrome,1536,864,,,a,0.5928,1,441,1,2,11,35,8,1,0,0,1,0,0,0,0,1,hexagon,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
