participant,date,expName,psychopyVersion,OS,frameRate,browser,xResolution,yResolution,key_resp.keys,key_resp.rt,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,curr_topStim,curr_bottStim,curr_shape,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task1_prac_trials.ran,target_resp_prac2.keys,target_resp_prac2.rt,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,task2_praac_trials.ran,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,vts_practice_trials.ran,blockNum,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,trials_norew.ran,key_resp_2.keys,key_resp_2.rt,rewExpectancy,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,trials_rew.ran,Q1,Q2,Q2_text,Q3,Q4,Q5_text,xRes,yRes
298120,2022-11-14_22h31.22.074,vts_reward_expectancy_bt,2022.2.4,Win32,119.8465964,Chrome,1600,1067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298120,2022-11-14_22h31.22.074,vts_reward_expectancy_bt,2022.2.4,Win32,119.8465964,Chrome,1600,1067,space,24.5886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298120,2022-11-14_22h31.22.074,vts_reward_expectancy_bt,2022.2.4,Win32,119.8465964,Chrome,1600,1067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298120,2022-11-14_22h31.22.074,vts_reward_expectancy_bt,2022.2.4,Win32,119.8465964,Chrome,1600,1067,,,a,3.2505,10,10,0,0,0,0,6,1,0,0,1,0,1,0,0,0,hexagon,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298120,2022-11-14_22h31.22.074,vts_reward_expectancy_bt,2022.2.4,Win32,119.8465964,Chrome,1600,1067,,,l,1.8121,10,20,0,0,1,1,0,1,1,0,0,0,0,1,0,0,triangle,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298120,2022-11-14_22h31.22.074,vts_reward_expectancy_bt,2022.2.4,Win32,119.8465964,Chrome,1600,1067,,,l,2.3013,10,30,0,0,2,2,9,1,0,0,0,1,1,0,0,0,star,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298120,2022-11-14_22h31.22.074,vts_reward_expectancy_bt,2022.2.4,Win32,119.8465964,Chrome,1600,1067,,,l,1.7426,1,31,0,0,3,3,1,1,1,0,0,0,0,0,1,0,triangle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298120,2022-11-14_22h31.22.074,vts_reward_expectancy_bt,2022.2.4,Win32,119.8465964,Chrome,1600,1067,,,a,1.6165,10,41,0,0,4,4,3,1,0,1,0,0,1,0,0,0,circle,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298120,2022-11-14_22h31.22.074,vts_reward_expectancy_bt,2022.2.4,Win32,119.8465964,Chrome,1600,1067,,,l,3.6087,10,51,0,0,5,5,7,1,0,0,1,0,0,1,0,0,hexagon,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298120,2022-11-14_22h31.22.074,vts_reward_expectancy_bt,2022.2.4,Win32,119.8465964,Chrome,1600,1067,,,a,3.3746,1,52,0,0,6,6,4,1,0,1,0,0,0,0,1,0,circle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298120,2022-11-14_22h31.22.074,vts_reward_expectancy_bt,2022.2.4,Win32,119.8465964,Chrome,1600,1067,,,a,1.3569,1,53,0,0,7,7,10,1,0,0,0,1,0,1,0,0,star ,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298120,2022-11-14_22h31.22.074,vts_reward_expectancy_bt,2022.2.4,Win32,119.8465964,Chrome,1600,1067,,,l,1.7687,10,63,0,0,8,8,2,1,1,0,0,0,0,0,0,1,triangle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298120,2022-11-14_22h31.22.074,vts_reward_expectancy_bt,2022.2.4,Win32,119.8465964,Chrome,1600,1067,,,a,1.4182,10,73,0,0,9,9,8,1,0,0,1,0,0,0,0,1,hexagon,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298120,2022-11-14_22h31.22.074,vts_reward_expectancy_bt,2022.2.4,Win32,119.8465964,Chrome,1600,1067,,,l,3.1684,10,83,0,0,10,10,11,1,0,0,0,1,0,0,1,0,star,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298120,2022-11-14_22h31.22.074,vts_reward_expectancy_bt,2022.2.4,Win32,119.8465964,Chrome,1600,1067,,,l,2.4165,10,93,0,0,11,11,5,1,0,1,0,0,0,0,0,1,circle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298120,2022-11-14_22h31.22.074,vts_reward_expectancy_bt,2022.2.4,Win32,119.8465964,Chrome,1600,1067,,,a,1.9099,10,103,0,1,0,12,8,1,0,0,1,0,0,0,0,1,hexagon,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
