participant,date,expName,psychopyVersion,OS,frameRate,browser,xResolution,yResolution,key_resp.keys,key_resp.rt,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,curr_topStim,curr_bottStim,curr_shape,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task1_prac_trials.ran,target_resp_prac2.keys,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,task2_praac_trials.ran,target_resp_prac2.rt,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,vts_practice_trials.ran,blockNum,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,trials_norew.ran,key_resp_2.keys,key_resp_2.rt,rewExpectancy,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,trials_rew.ran,Q1,Q2,Q2_text,Q3,Q4,Q5,Q5_text,xRes,yRes
297490,2022-12-05_23h30.52.934,vts_reward_expectancy_bt,2022.2.4,MacIntel,20.00080003,Chrome,1440,900,,,l,1.3198,1,180,0,2,11,35,4,1,0,1,0,0,0,0,1,0,circle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297490,2022-12-05_23h30.52.934,vts_reward_expectancy_bt,2022.2.4,MacIntel,20.00080003,Chrome,1440,900,,,a,1.6853,10,190,1,0,0,0,11,1,0,0,0,1,0,0,1,0,star,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297490,2022-12-05_23h30.52.934,vts_reward_expectancy_bt,2022.2.4,MacIntel,20.00080003,Chrome,1440,900,,,l,1.4985,1,191,1,0,1,1,10,1,0,0,0,1,0,1,0,0,star ,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297490,2022-12-05_23h30.52.934,vts_reward_expectancy_bt,2022.2.4,MacIntel,20.00080003,Chrome,1440,900,,,a,1.1369,10,201,1,0,2,2,1,1,1,0,0,0,0,0,1,0,triangle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297490,2022-12-05_23h30.52.934,vts_reward_expectancy_bt,2022.2.4,MacIntel,20.00080003,Chrome,1440,900,,,l,0.913,10,211,1,0,3,3,6,1,0,0,1,0,1,0,0,0,hexagon,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297490,2022-12-05_23h30.52.934,vts_reward_expectancy_bt,2022.2.4,MacIntel,20.00080003,Chrome,1440,900,,,a,1.2479,10,221,1,0,4,4,9,1,0,0,0,1,1,0,0,0,star,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297490,2022-12-05_23h30.52.934,vts_reward_expectancy_bt,2022.2.4,MacIntel,20.00080003,Chrome,1440,900,,,l,0.982,1,222,1,0,5,5,8,1,0,0,1,0,0,0,0,1,hexagon,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297490,2022-12-05_23h30.52.934,vts_reward_expectancy_bt,2022.2.4,MacIntel,20.00080003,Chrome,1440,900,,,l,1.2836,1,223,1,0,6,6,2,1,1,0,0,0,0,0,0,1,triangle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297490,2022-12-05_23h30.52.934,vts_reward_expectancy_bt,2022.2.4,MacIntel,20.00080003,Chrome,1440,900,,,l,0.7118,10,233,1,0,7,7,5,1,0,1,0,0,0,0,0,1,circle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297490,2022-12-05_23h30.52.934,vts_reward_expectancy_bt,2022.2.4,MacIntel,20.00080003,Chrome,1440,900,,,l,1.4157,10,243,1,0,8,8,4,1,0,1,0,0,0,0,1,0,circle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
