participant,date,expName,psychopyVersion,OS,frameRate,browser,xResolution,yResolution,key_resp.keys,key_resp.rt,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,curr_topStim,curr_bottStim,curr_shape,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task1_prac_trials.ran,target_resp_prac2.keys,target_resp_prac2.rt,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,task2_praac_trials.ran,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,vts_practice_trials.ran,blockNum,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,trials_norew.ran,key_resp_2.keys,key_resp_2.rt,rewExpect,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,trials_rew.ran,Q1,Q2,Q2_text,Q3,Q4,Q5,Q5_text,xRes,yRes
295099,2022-09-22_19h00.30.566,vts_reward_expectancy,2022.2.4,Win32,60.69802731,Chrome,1536,864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295099,2022-09-22_19h00.30.566,vts_reward_expectancy,2022.2.4,Win32,60.69802731,Chrome,1536,864,space,18.3652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295099,2022-09-22_19h00.30.566,vts_reward_expectancy,2022.2.4,Win32,60.69802731,Chrome,1536,864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295099,2022-09-22_19h00.30.566,vts_reward_expectancy,2022.2.4,Win32,60.69802731,Chrome,1536,864,,,l,1.3802,10,10,0,0,0,0,2,1,1,0,0,0,0,0,0,1,triangle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295099,2022-09-22_19h00.30.566,vts_reward_expectancy,2022.2.4,Win32,60.69802731,Chrome,1536,864,,,a,2.0341,10,20,0,0,1,1,3,1,0,1,0,0,1,0,0,0,circle,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295099,2022-09-22_19h00.30.566,vts_reward_expectancy,2022.2.4,Win32,60.69802731,Chrome,1536,864,,,a,2.1507,1,21,0,0,2,2,5,1,0,1,0,0,0,0,0,1,circle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295099,2022-09-22_19h00.30.566,vts_reward_expectancy,2022.2.4,Win32,60.69802731,Chrome,1536,864,,,l,1.2793,1,22,0,0,3,3,9,1,0,0,0,1,1,0,0,0,star,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295099,2022-09-22_19h00.30.566,vts_reward_expectancy,2022.2.4,Win32,60.69802731,Chrome,1536,864,,,a,2.3714,10,32,0,0,4,4,11,1,0,0,0,1,0,0,1,0,star,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295099,2022-09-22_19h00.30.566,vts_reward_expectancy,2022.2.4,Win32,60.69802731,Chrome,1536,864,,,l,3.9376,1,33,0,0,5,5,6,1,0,0,1,0,1,0,0,0,hexagon,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295099,2022-09-22_19h00.30.566,vts_reward_expectancy,2022.2.4,Win32,60.69802731,Chrome,1536,864,,,a,2.9992,10,43,0,0,6,6,1,1,1,0,0,0,0,0,1,0,triangle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295099,2022-09-22_19h00.30.566,vts_reward_expectancy,2022.2.4,Win32,60.69802731,Chrome,1536,864,,,l,1.7328,10,53,0,0,7,7,8,1,0,0,1,0,0,0,0,1,hexagon,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295099,2022-09-22_19h00.30.566,vts_reward_expectancy,2022.2.4,Win32,60.69802731,Chrome,1536,864,,,l,2.9978,1,54,0,0,8,8,4,1,0,1,0,0,0,0,1,0,circle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295099,2022-09-22_19h00.30.566,vts_reward_expectancy,2022.2.4,Win32,60.69802731,Chrome,1536,864,,,a,3.7415,10,64,0,0,9,9,7,1,0,0,1,0,0,1,0,0,hexagon,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295099,2022-09-22_19h00.30.566,vts_reward_expectancy,2022.2.4,Win32,60.69802731,Chrome,1536,864,,,l,2.1859,1,65,0,0,10,10,10,1,0,0,0,1,0,1,0,0,star ,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295099,2022-09-22_19h00.30.566,vts_reward_expectancy,2022.2.4,Win32,60.69802731,Chrome,1536,864,,,a,2.9691,1,66,0,0,11,11,0,1,1,0,0,0,0,1,0,0,triangle,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295099,2022-09-22_19h00.30.566,vts_reward_expectancy,2022.2.4,Win32,60.69802731,Chrome,1536,864,,,a,1.9167,1,67,0,1,0,12,10,1,0,0,0,1,0,1,0,0,star ,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
