participant,date,expName,psychopyVersion,OS,frameRate,browser,xResolution,yResolution,key_resp.keys,key_resp.rt,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,curr_topStim,curr_bottStim,curr_shape,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task1_prac_trials.ran,target_resp_prac2.keys,target_resp_prac2.rt,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,task2_praac_trials.ran,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,vts_practice_trials.ran,blockNum,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,trials_norew.ran,key_resp_2.keys,key_resp_2.rt,rewExpectancy,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,trials_rew.ran,Q1,Q2_text,Q5_text,xRes,yRes
295660,2022-11-15_14h28.55.910,vts_reward_expectancy_bt,2022.2.4,Win32,60.0240096,Chrome,1920,1080,,,a,2.1963,1,181,1,0,0,0,11,1,0,0,0,1,0,0,1,0,star,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295660,2022-11-15_14h28.55.910,vts_reward_expectancy_bt,2022.2.4,Win32,60.0240096,Chrome,1920,1080,,,a,1.4997,10,191,1,0,1,1,9,1,0,0,0,1,1,0,0,0,star,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295660,2022-11-15_14h28.55.910,vts_reward_expectancy_bt,2022.2.4,Win32,60.0240096,Chrome,1920,1080,,,l,1.5449,10,201,1,0,2,2,4,1,0,1,0,0,0,0,1,0,circle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295660,2022-11-15_14h28.55.910,vts_reward_expectancy_bt,2022.2.4,Win32,60.0240096,Chrome,1920,1080,,,l,0.8845,1,202,1,0,3,3,10,1,0,0,0,1,0,1,0,0,star ,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295660,2022-11-15_14h28.55.910,vts_reward_expectancy_bt,2022.2.4,Win32,60.0240096,Chrome,1920,1080,,,l,1.181,1,203,1,0,4,4,5,1,0,1,0,0,0,0,0,1,circle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295660,2022-11-15_14h28.55.910,vts_reward_expectancy_bt,2022.2.4,Win32,60.0240096,Chrome,1920,1080,,,l,1.1591,1,204,1,0,5,5,0,1,1,0,0,0,0,1,0,0,triangle,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295660,2022-11-15_14h28.55.910,vts_reward_expectancy_bt,2022.2.4,Win32,60.0240096,Chrome,1920,1080,,,l,1.0112,10,214,1,0,6,6,6,1,0,0,1,0,1,0,0,0,hexagon,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295660,2022-11-15_14h28.55.910,vts_reward_expectancy_bt,2022.2.4,Win32,60.0240096,Chrome,1920,1080,,,a,2.5083,10,224,1,0,7,7,8,1,0,0,1,0,0,0,0,1,hexagon,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295660,2022-11-15_14h28.55.910,vts_reward_expectancy_bt,2022.2.4,Win32,60.0240096,Chrome,1920,1080,,,l,3.572,10,234,1,0,8,8,3,1,0,1,0,0,1,0,0,0,circle,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295660,2022-11-15_14h28.55.910,vts_reward_expectancy_bt,2022.2.4,Win32,60.0240096,Chrome,1920,1080,,,l,2.7285,10,244,1,0,9,9,2,1,1,0,0,0,0,0,0,1,triangle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
