participant,date,expName,psychopyVersion,OS,frameRate,browser,xResolution,yResolution,key_resp.keys,key_resp.rt,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,curr_topStim,curr_bottStim,curr_shape,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task1_prac_trials.ran,target_resp_prac2.keys,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,task2_praac_trials.ran,target_resp_prac2.rt,alt,task,condition,target_resp.keys,rewCond,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,vts_practice_trials.ran,target_resp.rt,blockNum,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,trials_norew.ran,key_resp_2.keys,key_resp_2.rt,rewExpectancy,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,trials_rew.ran,Q1,Q2,Q2_text,Q3,Q4,Q5_text,Q5,xRes,yRes
295777,2022-11-14_11h46.25.897,vts_reward_expectancy_bt,2022.2.4,Win32,60.31363088,Chrome,1280,720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295777,2022-11-14_11h46.25.897,vts_reward_expectancy_bt,2022.2.4,Win32,60.31363088,Chrome,1280,720,space,13.3583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295777,2022-11-14_11h46.25.897,vts_reward_expectancy_bt,2022.2.4,Win32,60.31363088,Chrome,1280,720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295777,2022-11-14_11h46.25.897,vts_reward_expectancy_bt,2022.2.4,Win32,60.31363088,Chrome,1280,720,,,a,1.1339,10,10,0,0,0,0,11,1,0,0,0,1,0,0,1,0,star,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295777,2022-11-14_11h46.25.897,vts_reward_expectancy_bt,2022.2.4,Win32,60.31363088,Chrome,1280,720,,,a,0.9981,10,20,0,0,1,1,7,1,0,0,1,0,0,1,0,0,hexagon,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295777,2022-11-14_11h46.25.897,vts_reward_expectancy_bt,2022.2.4,Win32,60.31363088,Chrome,1280,720,,,a,0.8342,10,30,0,0,2,2,0,1,1,0,0,0,0,1,0,0,triangle,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295777,2022-11-14_11h46.25.897,vts_reward_expectancy_bt,2022.2.4,Win32,60.31363088,Chrome,1280,720,,,a,1.0312,1,31,0,0,3,3,6,1,0,0,1,0,1,0,0,0,hexagon,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295777,2022-11-14_11h46.25.897,vts_reward_expectancy_bt,2022.2.4,Win32,60.31363088,Chrome,1280,720,,,a,1.7788,1,32,0,0,4,4,3,1,0,1,0,0,1,0,0,0,circle,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295777,2022-11-14_11h46.25.897,vts_reward_expectancy_bt,2022.2.4,Win32,60.31363088,Chrome,1280,720,,,a,0.8506,1,33,0,0,5,5,9,1,0,0,0,1,1,0,0,0,star,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295777,2022-11-14_11h46.25.897,vts_reward_expectancy_bt,2022.2.4,Win32,60.31363088,Chrome,1280,720,,,a,0.6937,10,43,0,0,6,6,1,1,1,0,0,0,0,0,1,0,triangle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295777,2022-11-14_11h46.25.897,vts_reward_expectancy_bt,2022.2.4,Win32,60.31363088,Chrome,1280,720,,,a,0.8133,10,53,0,0,7,7,10,1,0,0,0,1,0,1,0,0,star ,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295777,2022-11-14_11h46.25.897,vts_reward_expectancy_bt,2022.2.4,Win32,60.31363088,Chrome,1280,720,,,l,0.8383,10,63,0,0,8,8,5,1,0,1,0,0,0,0,0,1,circle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295777,2022-11-14_11h46.25.897,vts_reward_expectancy_bt,2022.2.4,Win32,60.31363088,Chrome,1280,720,,,l,0.9495,1,64,0,0,9,9,4,1,0,1,0,0,0,0,1,0,circle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295777,2022-11-14_11h46.25.897,vts_reward_expectancy_bt,2022.2.4,Win32,60.31363088,Chrome,1280,720,,,l,1.8241,10,74,0,0,10,10,8,1,0,0,1,0,0,0,0,1,hexagon,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295777,2022-11-14_11h46.25.897,vts_reward_expectancy_bt,2022.2.4,Win32,60.31363088,Chrome,1280,720,,,a,0.9938,1,75,0,0,11,11,2,1,1,0,0,0,0,0,0,1,triangle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295777,2022-11-14_11h46.25.897,vts_reward_expectancy_bt,2022.2.4,Win32,60.31363088,Chrome,1280,720,,,l,1.0806,10,85,0,1,0,12,3,1,0,1,0,0,1,0,0,0,circle,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295777,2022-11-14_11h46.25.897,vts_reward_expectancy_bt,2022.2.4,Win32,60.31363088,Chrome,1280,720,,,a,1.5501,10,95,0,1,1,13,2,1,1,0,0,0,0,0,0,1,triangle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295777,2022-11-14_11h46.25.897,vts_reward_expectancy_bt,2022.2.4,Win32,60.31363088,Chrome,1280,720,,,a,1.0311,1,96,0,1,2,14,4,1,0,1,0,0,0,0,1,0,circle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295777,2022-11-14_11h46.25.897,vts_reward_expectancy_bt,2022.2.4,Win32,60.31363088,Chrome,1280,720,,,a,1.0431,10,106,0,1,3,15,1,1,1,0,0,0,0,0,1,0,triangle,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295777,2022-11-14_11h46.25.897,vts_reward_expectancy_bt,2022.2.4,Win32,60.31363088,Chrome,1280,720,,,l,1.9008,10,116,0,1,4,16,8,1,0,0,1,0,0,0,0,1,hexagon,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295777,2022-11-14_11h46.25.897,vts_reward_expectancy_bt,2022.2.4,Win32,60.31363088,Chrome,1280,720,,,a,2.846,10,126,0,1,5,17,9,1,0,0,0,1,1,0,0,0,star,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295777,2022-11-14_11h46.25.897,vts_reward_expectancy_bt,2022.2.4,Win32,60.31363088,Chrome,1280,720,,,l,4.4553,10,136,0,1,6,18,5,1,0,1,0,0,0,0,0,1,circle,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295777,2022-11-14_11h46.25.897,vts_reward_expectancy_bt,2022.2.4,Win32,60.31363088,Chrome,1280,720,,,l,1.1868,1,137,0,1,7,19,7,1,0,0,1,0,0,1,0,0,hexagon,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295777,2022-11-14_11h46.25.897,vts_reward_expectancy_bt,2022.2.4,Win32,60.31363088,Chrome,1280,720,,,a,1.0484,10,147,0,1,8,20,11,1,0,0,0,1,0,0,1,0,star,hexagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295777,2022-11-14_11h46.25.897,vts_reward_expectancy_bt,2022.2.4,Win32,60.31363088,Chrome,1280,720,,,a,2.383,10,157,0,1,9,21,10,1,0,0,0,1,0,1,0,0,star ,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295777,2022-11-14_11h46.25.897,vts_reward_expectancy_bt,2022.2.4,Win32,60.31363088,Chrome,1280,720,,,a,1.0992,10,167,0,1,10,22,0,1,1,0,0,0,0,1,0,0,triangle,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295777,2022-11-14_11h46.25.897,vts_reward_expectancy_bt,2022.2.4,Win32,60.31363088,Chrome,1280,720,,,l,1.1559,10,177,0,1,11,23,6,1,0,0,1,0,1,0,0,0,hexagon,triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295777,2022-11-14_11h46.25.897,vts_reward_expectancy_bt,2022.2.4,Win32,60.31363088,Chrome,1280,720,,,a,3.6968,10,187,0,2,0,24,10,1,0,0,0,1,0,1,0,0,star ,circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
