LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,training_feedback_txt.stopped,fix.started,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,prac_fback_text.started,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,prac_fback_text.stopped,star.started,hegagon.started,triangle.started,circle.started,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_fback.started,vts_fback.stopped,blockNum,norew_fback.started,norew_fback.stopped,top_target.stopped,tgt_fix.stopped,bot_target.stopped,target_resp.stopped,fix.stopped,key_resp_2.keys,key_resp_2.rt,rewExpectancy,feedbk_text.started,feedbk_text.stopped,text_3.started,debrief.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,0,9,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,453.69590911688283,453.69590911688283,453.69590911688283,453.69590911688283,453.69590911688283,453.69590911688283,453.69590911688283,453.69590911688283,453.69590911688283,453.69590911688283,a,0.908674439182505,10,73,0,454.6306680738926,,456.13212892995216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73086,2022-11-15_08h08.14.697,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.22447100255246,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,0,10,10,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456.63269322901033,456.63269322901033,456.63269322901033,456.63269322901033,456.63269322901033,456.63269322901033,456.63269322901033,456.63269322901033,456.63269322901033,456.63269322901033,l,0.6711839649360627,1,74,0,457.33336018491536,,458.83503279602155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73086,2022-11-15_08h08.14.697,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.22447100255246,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,0,11,11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,459.3357436868828,459.3357436868828,459.3357436868828,459.3357436868828,459.3357436868828,459.3357436868828,459.3357436868828,459.3357436868828,459.3357436868828,459.3357436868828,l,0.8843961670063436,10,84,0,460.2365761499386,461.7382272419054,461.7382272419054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73086,2022-11-15_08h08.14.697,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.22447100255246,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,1,0,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,462.23896628501825,462.23896628501825,462.23896628501825,462.23896628501825,462.23896628501825,462.23896628501825,462.23896628501825,462.23896628501825,462.23896628501825,462.23896628501825,a,0.6794221340678632,10,94,0,462.9395945039578,,464.4411768550053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73086,2022-11-15_08h08.14.697,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.22447100255246,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,1,1,13,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,464.9419524939731,464.9419524939731,464.9419524939731,464.9419524939731,464.9419524939731,464.9419524939731,464.9419524939731,464.9419524939731,464.9419524939731,464.9419524939731,a,1.048852310050279,10,104,0,466.0095707359724,,467.511440864997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73086,2022-11-15_08h08.14.697,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.22447100255246,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,1,2,14,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,468.0118729521055,468.0118729521055,468.0118729521055,468.0118729521055,468.0118729521055,468.0118729521055,468.0118729521055,468.0118729521055,468.0118729521055,468.0118729521055,l,0.7242728180717677,1,105,0,468.76287006400526,,470.26434436510317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73086,2022-11-15_08h08.14.697,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.22447100255246,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,1,3,15,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,470.7649179440923,470.7649179440923,470.7649179440923,470.7649179440923,470.7649179440923,470.7649179440923,470.7649179440923,470.7649179440923,470.7649179440923,470.7649179440923,a,0.8176448091398925,1,106,0,471.5990439699963,473.10055957897566,473.10055957897566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73086,2022-11-15_08h08.14.697,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.22447100255246,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,1,4,16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,473.60136906593107,473.60136906593107,473.60136906593107,473.60136906593107,473.60136906593107,473.60136906593107,473.60136906593107,473.60136906593107,473.60136906593107,473.60136906593107,l,0.6468449998646975,1,107,0,474.2685827440582,,475.7706038369797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73086,2022-11-15_08h08.14.697,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.22447100255246,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,1,5,17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,476.2711592919659,476.2711592919659,476.2711592919659,476.2711592919659,476.2711592919659,476.2711592919659,476.2711592919659,476.2711592919659,476.2711592919659,476.2711592919659,l,1.0491410321556032,1,108,0,477.33881624694914,,478.84042340610176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73086,2022-11-15_08h08.14.697,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.22447100255246,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,1,6,18,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,479.3410354759544,479.3410354759544,479.3410354759544,479.3410354759544,479.3410354759544,479.3410354759544,479.3410354759544,479.3410354759544,479.3410354759544,479.3410354759544,l,0.8821755279786885,1,109,0,480.2419809170533,,481.74387229490094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73086,2022-11-15_08h08.14.697,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.22447100255246,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,1,7,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,482.2444505740423,482.2444505740423,482.2444505740423,482.2444505740423,482.2444505740423,482.2444505740423,482.2444505740423,482.2444505740423,482.2444505740423,482.2444505740423,a,0.6893547340296209,1,110,0,482.9617521809414,,484.4634824299719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73086,2022-11-15_08h08.14.697,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.22447100255246,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,1,8,20,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,484.9640074670315,484.9640074670315,484.9640074670315,484.9640074670315,484.9640074670315,484.9640074670315,484.9640074670315,484.9640074670315,484.9640074670315,484.9640074670315,l,0.5346938320435584,10,120,0,485.5309839900583,,487.03296343190596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73086,2022-11-15_08h08.14.697,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.22447100255246,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,1,9,21,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,487.5332033839077,487.5332033839077,487.5332033839077,487.5332033839077,487.5332033839077,487.5332033839077,487.5332033839077,487.5332033839077,487.5332033839077,487.5332033839077,a,0.7894710530526936,1,121,0,488.35093729104847,,489.8525183100719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73086,2022-11-15_08h08.14.697,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.22447100255246,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,1,10,22,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490.35312844696455,490.35312844696455,490.35312844696455,490.35312844696455,490.35312844696455,490.35312844696455,490.35312844696455,490.35312844696455,490.35312844696455,490.35312844696455,l,1.4463501719292253,10,131,0,491.82133511593565,,493.32303547207266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73086,2022-11-15_08h08.14.697,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.22447100255246,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,1,11,23,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,493.82379719102755,493.82379719102755,493.82379719102755,493.82379719102755,493.82379719102755,493.82379719102755,493.82379719102755,493.82379719102755,493.82379719102755,493.82379719102755,a,0.9577805658336729,1,132,0,494.807988445973,,496.3098866699729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73086,2022-11-15_08h08.14.697,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.22447100255246,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,2,0,24,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,496.81030886410736,496.81030886410736,496.81030886410736,496.81030886410736,496.81030886410736,496.81030886410736,496.81030886410736,496.81030886410736,496.81030886410736,496.81030886410736,a,0.6154821140225977,1,133,0,497.44417583500035,,498.9459015640896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73086,2022-11-15_08h08.14.697,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.22447100255246,
