LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,fix.started,training_feedback_txt.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,prac_fback_text.started,prac_fback_text.stopped,fix.stopped,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,star.started,hegagon.started,triangle.started,circle.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_fback.started,vts_fback.stopped,blockNum,norew_fback.started,norew_fback.stopped,key_resp_2.keys,key_resp_2.rt,rewExpectancy,feedbk_text.started,feedbk_text.stopped,text_3.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,497.2742301840044,space,15.602420766983414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74219,2022-10-27_11h18.16.087,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.89075734261679,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,549.7223197109997,549.7223197109997,549.7223197109997,549.7223197109997,549.7223197109997,549.7223197109997,549.7223197109997,549.7223197109997,549.7223197109997,549.7223197109997,l,5.594779525985359,10,10,0,555.3382357210066,556.8403493790101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74219,2022-10-27_11h18.16.087,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.89075734261679,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,0,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,557.3405135159992,557.3405135159992,557.3405135159992,557.3405135159992,557.3405135159992,557.3405135159992,557.3405135159992,557.3405135159992,557.3405135159992,557.3405135159992,a,1.88033497199649,1,11,0,559.2424620219972,560.7440981350082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74219,2022-10-27_11h18.16.087,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.89075734261679,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,0,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,561.2447284340014,561.2447284340014,561.2447284340014,561.2447284340014,561.2447284340014,561.2447284340014,561.2447284340014,561.2447284340014,561.2447284340014,561.2447284340014,l,1.002151464985218,1,12,0,562.2789830880065,563.7808152640064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74219,2022-10-27_11h18.16.087,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.89075734261679,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,0,3,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,564.2813459780009,564.2813459780009,564.2813459780009,564.2813459780009,564.2813459780009,564.2813459780009,564.2813459780009,564.2813459780009,564.2813459780009,564.2813459780009,l,1.4200917469861452,1,13,0,565.7330203910096,567.2345756050054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74219,2022-10-27_11h18.16.087,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.89075734261679,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,0,4,4,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,567.7350033760013,567.7350033760013,567.7350033760013,567.7350033760013,567.7350033760013,567.7350033760013,567.7350033760013,567.7350033760013,567.7350033760013,567.7350033760013,a,0.7107669709948823,10,23,0,568.4692734730052,569.9710827969975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74219,2022-10-27_11h18.16.087,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.89075734261679,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,0,5,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,570.4719489970012,570.4719489970012,570.4719489970012,570.4719489970012,570.4719489970012,570.4719489970012,570.4719489970012,570.4719489970012,570.4719489970012,570.4719489970012,a,0.9576629969960777,1,24,0,571.4563388789975,572.9577264820109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74219,2022-10-27_11h18.16.087,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.89075734261679,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,0,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,573.4581564219989,573.4581564219989,573.4581564219989,573.4581564219989,573.4581564219989,573.4581564219989,573.4581564219989,573.4581564219989,573.4581564219989,573.4581564219989,l,0.8274447680014418,10,34,0,574.3095883589995,575.8109928170015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74219,2022-10-27_11h18.16.087,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.89075734261679,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,0,7,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,576.3114596009982,576.3114596009982,576.3114596009982,576.3114596009982,576.3114596009982,576.3114596009982,576.3114596009982,576.3114596009982,576.3114596009982,576.3114596009982,l,0.9414215019787662,1,35,0,577.2794087119983,578.7807416620053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74219,2022-10-27_11h18.16.087,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.89075734261679,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,579.281438171005,579.281438171005,579.281438171005,579.281438171005,579.281438171005,579.281438171005,579.281438171005,579.281438171005,579.281438171005,579.281438171005,l,0.979982172997552,10,45,0,580.2828682460095,581.7841078860074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74219,2022-10-27_11h18.16.087,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.89075734261679,
