LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,training_feedback_txt.stopped,fix.started,fix.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,prac_fback_text.started,prac_fback_text.stopped,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,star.started,hegagon.started,triangle.started,circle.started,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,top_target.stopped,tgt_fix.stopped,bot_target.stopped,target_resp.stopped,alt,task,condition,target_resp.keys,rewCond,vts_fback.started,target_resp.rt,vts_fback.stopped,blockNum,norew_fback.started,norew_fback.stopped,key_resp_2.keys,key_resp_2.rt,rewExpectancy,feedbk_text.started,feedbk_text.stopped,text_3.started,debrief.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.93218109,space,1.84975425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69140,2022-11-04_09h04.43.869,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.99473103
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.84056585,23.84056585,23.84056585,23.84056585,23.84056585,23.84056585,23.84056585,23.84056585,23.84056585,23.84056585,l,98.68731178,1,1,0,122.5545849,124.0540952,124.0540952,124.5542909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69140,2022-11-04_09h04.43.869,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.99473103
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,0,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.5542909,124.5542909,124.5542909,124.5542909,124.5542909,124.5542909,124.5542909,124.5542909,124.5542909,124.5542909,a,1.258345082,1,2,0,125.8398738,127.3403679,127.3403679,127.8408733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69140,2022-11-04_09h04.43.869,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.99473103
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.8408733,127.8408733,127.8408733,127.8408733,127.8408733,127.8408733,127.8408733,127.8408733,127.8408733,127.8408733,a,2.528151867,10,12,0,130.3943204,131.893772,131.893772,132.3941028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69140,2022-11-04_09h04.43.869,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.99473103
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,0,3,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.3941028,132.3941028,132.3941028,132.3941028,132.3941028,132.3941028,132.3941028,132.3941028,132.3941028,132.3941028,a,1.147579504,1,13,0,133.5612323,135.0618711,135.0618711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69140,2022-11-04_09h04.43.869,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.99473103
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,0,4,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.5636456,135.5636456,135.5636456,135.5636456,135.5636456,135.5636456,135.5636456,135.5636456,135.5636456,135.5636456,a,0.768259119,1,14,0,136.3640705,137.8645723,137.8645723,138.3648421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69140,2022-11-04_09h04.43.869,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.99473103
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,0,5,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.3648421,138.3648421,138.3648421,138.3648421,138.3648421,138.3648421,138.3648421,138.3648421,138.3648421,138.3648421,l,0.656646007,10,24,0,139.0484932,,140.5509233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69140,2022-11-04_09h04.43.869,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.99473103
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,0,6,6,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.0507422,141.0507422,141.0507422,141.0507422,141.0507422,141.0507422,141.0507422,141.0507422,141.0507422,141.0507422,l,1.918846576,1,25,0,143.0016738,144.5020779,144.5020779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69140,2022-11-04_09h04.43.869,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.99473103
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,0,7,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.002316,145.002316,145.002316,145.002316,145.002316,145.002316,145.002316,145.002316,145.002316,145.002316,a,0.982919878,10,35,0,146.0049676,147.5050995,147.5050995,148.0054187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69140,2022-11-04_09h04.43.869,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.99473103
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,0,8,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.0054187,148.0054187,148.0054187,148.0054187,148.0054187,148.0054187,148.0054187,148.0054187,148.0054187,148.0054187,l,1.061620959,10,45,0,149.0889589,,150.5913047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69140,2022-11-04_09h04.43.869,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.99473103
