LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,fix.started,training_feedback_txt.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,prac_fback_text.started,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,star.started,hegagon.started,triangle.started,circle.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,top_target.stopped,tgt_fix.stopped,bot_target.stopped,target_resp.stopped,alt,task,condition,target_resp.keys,rewCond,vts_fback.started,vts_fback.stopped,fix.stopped,target_resp.rt,blockNum,norew_fback.started,norew_fback.stopped,key_resp_2.keys,key_resp_2.rt,rewExpectancy,feedbk_text.started,feedbk_text.stopped,text_3.started,debrief.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,0,9,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,948.9008951139986,948.9008951139986,948.9008951139986,948.9008951139986,948.9008951139986,948.9008951139986,948.9008951139986,948.9008951139986,948.9008951139986,948.9008951139986,l,0.9938289099955,1,82,0,949.9187488189928,951.4205407079862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17022,2022-11-03_11h17.55.310,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.929231485705024,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,0,10,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,951.9209548269864,951.9209548269864,951.9209548269864,951.9209548269864,951.9209548269864,951.9209548269864,951.9209548269864,951.9209548269864,951.9209548269864,951.9209548269864,l,1.4859182029904332,10,92,0,953.4391248419997,954.940887151999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17022,2022-11-03_11h17.55.310,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.929231485705024,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,0,11,11,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,955.4413145739964,955.4413145739964,955.4413145739964,955.4413145739964,955.4413145739964,955.4413145739964,955.4413145739964,955.4413145739964,955.4413145739964,955.4413145739964,l,3.2523754819994792,1,93,0,958.711795168987,960.213327503996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17022,2022-11-03_11h17.55.310,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.929231485705024,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,1,0,12,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,960.7140997909883,960.7140997909883,960.7140997909883,960.7140997909883,960.7140997909883,960.7140997909883,960.7140997909883,960.7140997909883,960.7140997909883,960.7140997909883,a,1.4892538839922054,10,103,0,962.2324462589895,963.7339846509858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17022,2022-11-03_11h17.55.310,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.929231485705024,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,1,1,13,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,964.2346325010003,964.2346325010003,964.2346325010003,964.2346325010003,964.2346325010003,964.2346325010003,964.2346325010003,964.2346325010003,964.2346325010003,964.2346325010003,a,1.8604174310021335,10,113,0,966.1200685069925,967.6215733299905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17022,2022-11-03_11h17.55.310,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.929231485705024,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,1,2,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,968.1226433089905,968.1226433089905,968.1226433089905,968.1226433089905,968.1226433089905,968.1226433089905,968.1226433089905,968.1226433089905,968.1226433089905,968.1226433089905,l,1.235409596003592,1,114,0,969.3904428049864,970.8919150299917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17022,2022-11-03_11h17.55.310,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.929231485705024,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,1,3,15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,971.3925592909945,971.3925592909945,971.3925592909945,971.3925592909945,971.3925592909945,971.3925592909945,971.3925592909945,971.3925592909945,971.3925592909945,971.3925592909945,l,0.9572727170016151,1,115,0,972.3770151969948,973.8785121819965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17022,2022-11-03_11h17.55.310,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.929231485705024,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,1,4,16,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,974.3790605569957,974.3790605569957,974.3790605569957,974.3790605569957,974.3790605569957,974.3790605569957,974.3790605569957,974.3790605569957,974.3790605569957,974.3790605569957,l,1.1447429109975928,10,125,0,975.546936904997,977.0487460219883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17022,2022-11-03_11h17.55.310,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.929231485705024,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,1,5,17,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,977.5492366289982,977.5492366289982,977.5492366289982,977.5492366289982,977.5492366289982,977.5492366289982,977.5492366289982,977.5492366289982,977.5492366289982,977.5492366289982,a,1.4401871629961533,10,135,0,979.017421120996,980.519078982994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17022,2022-11-03_11h17.55.310,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.929231485705024,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,1,6,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,981.0196687189891,981.0196687189891,981.0196687189891,981.0196687189891,981.0196687189891,981.0196687189891,981.0196687189891,981.0196687189891,981.0196687189891,981.0196687189891,a,0.826849183999002,1,136,0,981.8706564219901,983.3722897709958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17022,2022-11-03_11h17.55.310,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.929231485705024,
