LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,fix.started,training_feedback_txt.stopped,fix.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,prac_fback_text.started,prac_fback_text.stopped,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,star.started,hegagon.started,triangle.started,circle.started,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_fback.started,vts_fback.stopped,top_target.stopped,tgt_fix.stopped,bot_target.stopped,target_resp.stopped,blockNum,norew_fback.started,norew_fback.stopped,key_resp_2.keys,key_resp_2.rt,rewExpectancy,feedbk_text.started,feedbk_text.stopped,text_3.started,debrief.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.895733295939863,space,2.260188936954364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85891,2022-11-11_15h17.43.389,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.89083447841669,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.25058645289391,45.25058645289391,45.25058645289391,45.25058645289391,45.25058645289391,45.25058645289391,45.25058645289391,45.25058645289391,45.25058645289391,45.25058645289391,a,1.2781405220739543,1,1,0,46.55170588498004,48.053245916962624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85891,2022-11-11_15h17.43.389,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.89083447841669,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,0,1,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.55397122306749,48.55397122306749,48.55397122306749,48.55397122306749,48.55397122306749,48.55397122306749,48.55397122306749,48.55397122306749,48.55397122306749,48.55397122306749,l,0.8343914530705661,10,11,0,49.40623131999746,50.90636409097351,50.90636409097351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85891,2022-11-11_15h17.43.389,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.89083447841669,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,0,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.4071030379273,51.4071030379273,51.4071030379273,51.4071030379273,51.4071030379273,51.4071030379273,51.4071030379273,51.4071030379273,51.4071030379273,51.4071030379273,a,1.333418122958392,10,21,0,52.75848381710239,54.2603758580517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85891,2022-11-11_15h17.43.389,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.89083447841669,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,0,3,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.76087194192223,54.76087194192223,54.76087194192223,54.76087194192223,54.76087194192223,54.76087194192223,54.76087194192223,54.76087194192223,54.76087194192223,54.76087194192223,l,0.6911522950977087,1,22,0,55.478367572883144,56.979824516922235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85891,2022-11-11_15h17.43.389,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.89083447841669,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,0,4,4,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.48054755991325,57.48054755991325,57.48054755991325,57.48054755991325,57.48054755991325,57.48054755991325,57.48054755991325,57.48054755991325,57.48054755991325,57.48054755991325,l,0.6698062520008534,1,23,0,58.18143100710586,59.68301583803259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85891,2022-11-11_15h17.43.389,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.89083447841669,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,0,5,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.18349203001708,60.18349203001708,60.18349203001708,60.18349203001708,60.18349203001708,60.18349203001708,60.18349203001708,60.18349203001708,60.18349203001708,60.18349203001708,l,0.96013676491566,10,33,0,61.17027529492043,62.66975629189983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85891,2022-11-11_15h17.43.389,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.89083447841669,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,0,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.17011070204899,63.17011070204899,63.17011070204899,63.17011070204899,63.17011070204899,63.17011070204899,63.17011070204899,63.17011070204899,63.17011070204899,63.17011070204899,l,0.8656764631159604,10,43,0,64.05452524498105,65.55589584098198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85891,2022-11-11_15h17.43.389,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.89083447841669,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,0,7,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.0564999380149,66.0564999380149,66.0564999380149,66.0564999380149,66.0564999380149,66.0564999380149,66.0564999380149,66.0564999380149,66.0564999380149,66.0564999380149,l,1.6133092551026493,1,44,0,67.69170410302468,69.19349359092303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85891,2022-11-11_15h17.43.389,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.89083447841669,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,0,8,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.69385200296529,69.69385200296529,69.69385200296529,69.69385200296529,69.69385200296529,69.69385200296529,69.69385200296529,69.69385200296529,69.69385200296529,69.69385200296529,a,2.7702303261030465,1,45,0,72.49709530291148,73.99873703205958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85891,2022-11-11_15h17.43.389,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.89083447841669,
