LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,fix.started,training_feedback_txt.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,top_target_prac1.stopped,tgt_fix_prac1.stopped,bott_target_prac1.stopped,target_resp_prac1.stopped,acc,E1,target_resp_prac1.keys,pracBlock,prac_fback_text.started,prac_fback_text.stopped,fix.stopped,target_resp_prac1.rt,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,star.started,hegagon.started,triangle.started,circle.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_fback.started,blockNum,norew_fback.started,norew_fback.stopped,key_resp_2.keys,key_resp_2.rt,rewExpectancy,feedbk_text.started,feedbk_text.stopped,text_3.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,0,9,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1078.7948402850016,1078.7948402850016,1078.7948402850016,1078.7948402850016,1078.7948402850016,1078.7948402850016,1078.7948402850016,1078.7948402850016,1078.7948402850016,1078.7948402850016,a,3.1097484279889613,10,55,0,1081.9317427969945,1083.4332612129947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90200,2022-10-28_14h56.09.170,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94487158089674,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,0,10,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1083.933895137001,1083.933895137001,1083.933895137001,1083.933895137001,1083.933895137001,1083.933895137001,1083.933895137001,1083.933895137001,1083.933895137001,1083.933895137001,l,6.658497647003969,10,65,0,1090.624450051997,1092.1262287389982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90200,2022-10-28_14h56.09.170,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94487158089674,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,0,11,11,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1092.6267173239903,1092.6267173239903,1092.6267173239903,1092.6267173239903,1092.6267173239903,1092.6267173239903,1092.6267173239903,1092.6267173239903,1092.6267173239903,1092.6267173239903,l,3.340969184995629,1,66,0,1095.9970922469947,1097.4987893240032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90200,2022-10-28_14h56.09.170,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94487158089674,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,1,0,12,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1097.9992425959936,1097.9992425959936,1097.9992425959936,1097.9992425959936,1097.9992425959936,1097.9992425959936,1097.9992425959936,1097.9992425959936,1097.9992425959936,1097.9992425959936,a,1.112820792986895,1,67,0,1099.1337040090002,1100.635660519998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90200,2022-10-28_14h56.09.170,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94487158089674,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,1,1,13,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1101.1362018439977,1101.1362018439977,1101.1362018439977,1101.1362018439977,1101.1362018439977,1101.1362018439977,1101.1362018439977,1101.1362018439977,1101.1362018439977,1101.1362018439977,a,1.624558581999736,10,77,0,1102.7878805569926,1104.289757778999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90200,2022-10-28_14h56.09.170,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94487158089674,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,1,2,14,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1104.790069825991,1104.790069825991,1104.790069825991,1104.790069825991,1104.790069825991,1104.790069825991,1104.790069825991,1104.790069825991,1104.790069825991,1104.790069825991,a,2.3704356730013387,10,87,0,1107.192841547003,1108.6944224929903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90200,2022-10-28_14h56.09.170,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94487158089674,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,1,3,15,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1109.1950493350014,1109.1950493350014,1109.1950493350014,1109.1950493350014,1109.1950493350014,1109.1950493350014,1109.1950493350014,1109.1950493350014,1109.1950493350014,1109.1950493350014,a,4.515800640991074,1,88,0,1113.7334414689976,1115.2350362689904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90200,2022-10-28_14h56.09.170,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94487158089674,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,1,4,16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1115.735597974999,1115.735597974999,1115.735597974999,1115.735597974999,1115.735597974999,1115.735597974999,1115.735597974999,1115.735597974999,1115.735597974999,1115.735597974999,l,1.495337180007482,10,98,0,1117.2538756010035,1118.7555510599923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90200,2022-10-28_14h56.09.170,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94487158089674,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,1,5,17,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1119.2560629509971,1119.2560629509971,1119.2560629509971,1119.2560629509971,1119.2560629509971,1119.2560629509971,1119.2560629509971,1119.2560629509971,1119.2560629509971,1119.2560629509971,l,1.863791694995598,1,99,0,1121.1415213629953,1122.6430189300008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90200,2022-10-28_14h56.09.170,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94487158089674,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,1,6,18,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1123.1435955859924,1123.1435955859924,1123.1435955859924,1123.1435955859924,1123.1435955859924,1123.1435955859924,1123.1435955859924,1123.1435955859924,1123.1435955859924,1123.1435955859924,a,1.2799634099937975,1,100,0,1124.445019174993,1125.9467482369946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90200,2022-10-28_14h56.09.170,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94487158089674,
