LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,fix.started,training_feedback_txt.stopped,fix.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,prac_fback_text.started,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,prac_fback_text.stopped,star.started,hegagon.started,triangle.started,circle.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,top_target.stopped,tgt_fix.stopped,bot_target.stopped,target_resp.stopped,alt,task,condition,target_resp.keys,rewCond,vts_fback.started,vts_fback.stopped,target_resp.rt,blockNum,norew_fback.started,norew_fback.stopped,key_resp_2.keys,key_resp_2.rt,rewExpectancy,feedbk_text.started,feedbk_text.stopped,text_3.started,debrief.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,0,45,0,,,,,,,,,,,,,,,,,,,,,,,,0,990,,,1080.6539596799994,,,160,D,circle,0.0015843700093682855,,,,,1,0,,,,,,,,,,,,1076.9099483670143,1076.9099483670143,1076.9099483670143,1076.9099483670143,1078.418083956989,1078.418083956989,1078.418083956989,1078.418083956989,1078.418083956989,1078.418083956989,1078.418083956989,1078.418083956989,,,,,repeat,number,numRpt,f,noRew,,,0.708662101009395,0,1079.1524285060004,,,,,,,,,,,,,,,,,,,,,,82645,2022-11-17_14h04.31.668,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.952219880520786,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,0,46,0,,,,,,,,,,,,,,,,,,,,,,,,0,990,,,1085.4428665330051,,,174,F,circle,0.001443993009161204,,,,,1,0,,,,,,,,,,,,1081.632107206009,1081.632107206009,1081.632107206009,1081.632107206009,1083.1401002590137,1083.1401002590137,1083.1401002590137,1083.1401002590137,1083.1401002590137,1083.1401002590137,1083.1401002590137,1083.1401002590137,,,,,repeat,number,numRpt,f,noRew,,,0.769643862004159,0,1083.9410741360043,,,,,,,,,,,,,,,,,,,,,,82645,2022-11-17_14h04.31.668,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.952219880520786,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,0,47,0,,,,,,,,,,,,,,,,,,,,,,,,0,990,,,1090.4314921500045,,,181,H,star,0.0017746390076354146,,,,,1,0,,,,,,,,,,,,1086.420588812005,1086.420588812005,1086.420588812005,1086.420588812005,1087.928968216991,1087.928968216991,1087.928968216991,1087.928968216991,1087.928968216991,1087.928968216991,1087.928968216991,1087.928968216991,,,,,repeat,number,numRpt,f,noRew,,,0.9744511760072783,0,1088.9301598760067,,,,,,,,,,,,,,,,,,,,,,82645,2022-11-17_14h04.31.668,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.952219880520786,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,0,48,0,,,,,,,,,,,,,,,,,,,,,,,,0,990,,,1095.470215148991,,,125,H,star,0.0019869400130119175,,,,,1,0,,,,,,,,,,,,1091.4084406240145,1091.4084406240145,1091.4084406240145,1091.4084406240145,1092.9175704969966,1092.9175704969966,1092.9175704969966,1092.9175704969966,1092.9175704969966,1092.9175704969966,1092.9175704969966,1092.9175704969966,,,,,switch,letter,lettSwt,j,noRew,,,1.026659102004487,0,1093.9687150410027,,,,,,,,,,,,,,,,,,,,,,82645,2022-11-17_14h04.31.668,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.952219880520786,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,0,49,0,,,,,,,,,,,,,,,,,,,,,,,,0,990,,,1100.3090133820078,,,132,W,hexagon,0.001729716983390972,,,,,1,0,,,,,,,,,,,,1096.4481432969915,1096.4481432969915,1096.4481432969915,1096.4481432969915,1097.9567842030083,1097.9567842030083,1097.9567842030083,1097.9567842030083,1097.9567842030083,1097.9567842030083,1097.9567842030083,1097.9567842030083,,,,,repeat,letter,lettRpt,k,noRew,,,0.8249781889899168,0,1098.8073045499914,,,,,,,,,,,,,,,,,,,,,,82645,2022-11-17_14h04.31.668,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.952219880520786,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,0,50,0,,,,,,,,,,,,,,,,,,,,,,,,0,990,,,1105.0810452089936,,,139,U,star,0.0016524179955013096,,,,,1,0,,,,,,,,,,,,1101.286475608009,1101.286475608009,1101.286475608009,1101.286475608009,1102.7951445440121,1102.7951445440121,1102.7951445440121,1102.7951445440121,1102.7951445440121,1102.7951445440121,1102.7951445440121,1102.7951445440121,,,,,repeat,letter,lettRpt,k,noRew,,,0.7562587940192316,0,1103.5792453610047,,,,,,,,,,,,,,,,,,,,,,82645,2022-11-17_14h04.31.668,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.952219880520786,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,0,51,0,,,,,,,,,,,,,,,,,,,,,,,,0,990,,,1110.0698364730051,,,174,S,circle,0.0014921939873602241,,,,,1,0,,,,,,,,,,,,1106.058836042008,1106.058836042008,1106.058836042008,1106.058836042008,1107.5669277069974,1107.5669277069974,1107.5669277069974,1107.5669277069974,1107.5669277069974,1107.5669277069974,1107.5669277069974,1107.5669277069974,,,,,repeat,letter,lettRpt,k,noRew,,,0.968983862985624,0,1108.5680394599913,,,,,,,,,,,,,,,,,,,,,,82645,2022-11-17_14h04.31.668,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.952219880520786,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,0,52,0,,,,,,,,,,,,,,,,,,,,,,,,0,990,,,1114.975299460988,,,174,F,hexagon,0.001500659971497953,,,,,1,0,,,,,,,,,,,,1111.0473803110071,1111.0473803110071,1111.0473803110071,1111.0473803110071,1112.5558106320095,1112.5558106320095,1112.5558106320095,1112.5558106320095,1112.5558106320095,1112.5558106320095,1112.5558106320095,1112.5558106320095,,,,,repeat,letter,lettRpt,j,noRew,,,0.8958181510097347,0,1113.4735668989888,,,,,,,,,,,,,,,,,,,,,,82645,2022-11-17_14h04.31.668,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.952219880520786,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,0,53,0,,,,,,,,,,,,,,,,,,,,,,,,0,990,,,1119.7638581770007,,,132,Y,triangle,0.0018223689985461533,,,,,1,0,,,,,,,,,,,,1115.9532782369934,1115.9532782369934,1115.9532782369934,1115.9532782369934,1117.461339692003,1117.461339692003,1117.461339692003,1117.461339692003,1117.461339692003,1117.461339692003,1117.461339692003,1117.461339692003,,,,,switch,number,numSwt,d,noRew,,,0.7732862080156337,0,1118.2620427329966,,,,,,,,,,,,,,,,,,,,,,82645,2022-11-17_14h04.31.668,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.952219880520786,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,0,54,0,,,,,,,,,,,,,,,,,,,,,,,,0,990,,,1124.5356518310145,,,139,B,star,0.0016130369913298637,,,,,1,0,,,,,,,,,,,,1120.741355820006,1120.741355820006,1120.741355820006,1120.741355820006,1122.2499526499887,1122.2499526499887,1122.2499526499887,1122.2499526499887,1122.2499526499887,1122.2499526499887,1122.2499526499887,1122.2499526499887,,,,,repeat,number,numRpt,d,noRew,,,0.7650348139868584,0,1123.0339782469964,1124.5356518310145,,,,,,,,,,,,,,,,,,,,,82645,2022-11-17_14h04.31.668,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.952219880520786,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,0,55,0,,,,,,,,,,,,,,,,,,,,,,,,0,990,,,1129.3744450400118,,,146,S,triangle,0.0009540040045976639,,,,,1,0,,,,,,,,,,,,1125.513351866015,1125.513351866015,1125.513351866015,1125.513351866015,1127.0222270670056,1127.0222270670056,1127.0222270670056,1127.0222270670056,1127.0222270670056,1127.0222270670056,1127.0222270670056,1127.0222270670056,,,,,repeat,number,numRpt,d,noRew,,,0.8309584079834167,0,1127.8727724509954,,,,,,,,,,,,,,,,,,,,,,82645,2022-11-17_14h04.31.668,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.952219880520786,
