LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,fix.started,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,prac_fback_text.started,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,star.started,hegagon.started,triangle.started,circle.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,top_target.stopped,tgt_fix.stopped,bot_target.stopped,target_resp.stopped,alt,task,condition,target_resp.keys,rewCond,vts_fback.started,vts_fback.stopped,fix.stopped,target_resp.rt,blockNum,norew_fback.started,norew_fback.stopped,key_resp_2.keys,key_resp_2.rt,rewExpectancy,feedbk_text.started,feedbk_text.stopped,text_3.started,debrief.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.736446257971693,space,16.561569996003527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18375,2022-12-01_14h04.43.957,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.88073865394295,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.93075526796747,68.93075526796747,68.93075526796747,68.93075526796747,68.93075526796747,68.93075526796747,68.93075526796747,68.93075526796747,68.93075526796747,68.93075526796747,a,1.4222920350148343,10,10,0,70.37243205000414,71.87462543399306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18375,2022-12-01_14h04.43.957,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.88073865394295,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,0,1,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.37510857800953,72.37510857800953,72.37510857800953,72.37510857800953,72.37510857800953,72.37510857800953,72.37510857800953,72.37510857800953,72.37510857800953,72.37510857800953,a,0.8101597440545447,1,11,0,73.20914123998955,74.71059549000347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18375,2022-12-01_14h04.43.957,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.88073865394295,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.2112347339862,75.2112347339862,75.2112347339862,75.2112347339862,75.2112347339862,75.2112347339862,75.2112347339862,75.2112347339862,75.2112347339862,75.2112347339862,l,3.4467309260508046,1,12,0,78.6818273079698,80.18339007598115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18375,2022-12-01_14h04.43.957,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.88073865394295,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.68418175197439,80.68418175197439,80.68418175197439,80.68418175197439,80.68418175197439,80.68418175197439,80.68418175197439,80.68418175197439,80.68418175197439,80.68418175197439,l,1.9022725109825842,1,13,0,82.60289830400143,84.10464623296866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18375,2022-12-01_14h04.43.957,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.88073865394295,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,0,4,4,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.60499048797647,84.60499048797647,84.60499048797647,84.60499048797647,84.60499048797647,84.60499048797647,84.60499048797647,84.60499048797647,84.60499048797647,84.60499048797647,l,1.1239073390024714,1,14,0,85.75622711097822,87.25787979498273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18375,2022-12-01_14h04.43.957,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.88073865394295,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,0,5,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.7586367779877,87.7586367779877,87.7586367779877,87.7586367779877,87.7586367779877,87.7586367779877,87.7586367779877,87.7586367779877,87.7586367779877,87.7586367779877,a,0.7703886239905842,10,24,0,88.55938993301243,90.06115300097736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18375,2022-12-01_14h04.43.957,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.88073865394295,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,0,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.5615837139776,90.5615837139776,90.5615837139776,90.5615837139776,90.5615837139776,90.5615837139776,90.5615837139776,90.5615837139776,90.5615837139776,90.5615837139776,a,0.37597826501587406,1,25,0,90.96211523300735,92.4637640209985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18375,2022-12-01_14h04.43.957,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.88073865394295,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,0,7,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.96421761397505,92.96421761397505,92.96421761397505,92.96421761397505,92.96421761397505,92.96421761397505,92.96421761397505,92.96421761397505,92.96421761397505,92.96421761397505,l,1.2770879850140773,10,35,0,94.26584563701181,95.76735934999306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18375,2022-12-01_14h04.43.957,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.88073865394295,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,0,8,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.26796144596301,96.26796144596301,96.26796144596301,96.26796144596301,96.26796144596301,96.26796144596301,96.26796144596301,96.26796144596301,96.26796144596301,96.26796144596301,a,0.2616057870327495,10,45,0,96.55150698596844,98.05312498699641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18375,2022-12-01_14h04.43.957,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.88073865394295,
