LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,fix.started,training_feedback_txt.stopped,fix.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,prac_fback_text.started,prac_fback_text.stopped,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,star.started,hegagon.started,triangle.started,circle.started,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_fback.started,vts_fback.stopped,blockNum,norew_fback.started,norew_fback.stopped,key_resp_2.keys,key_resp_2.rt,rewExpectancy,feedbk_text.started,feedbk_text.stopped,text_3.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2080.231056033983,space,1.3701514530112036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16592,2022-10-28_15h15.59.757,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.1094454735859,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,0,0,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2082.9172761859954,2082.9172761859954,2082.9172761859954,2082.9172761859954,2082.9172761859954,2082.9172761859954,2082.9172761859954,2082.9172761859954,2082.9172761859954,2082.9172761859954,a,29.165854299033526,1,1,0,2112.1158375990344,2113.61740396003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16592,2022-10-28_15h15.59.757,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.1094454735859,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2114.1181659260183,2114.1181659260183,2114.1181659260183,2114.1181659260183,2114.1181659260183,2114.1181659260183,2114.1181659260183,2114.1181659260183,2114.1181659260183,2114.1181659260183,a,2.170391018036753,10,11,0,2116.320454913017,2117.822365469008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16592,2022-10-28_15h15.59.757,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.1094454735859,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,0,2,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2118.322775974986,2118.322775974986,2118.322775974986,2118.322775974986,2118.322775974986,2118.322775974986,2118.322775974986,2118.322775974986,2118.322775974986,2118.322775974986,a,2.136253507982474,10,21,0,2120.491830304032,2121.993641278008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16592,2022-10-28_15h15.59.757,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.1094454735859,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,0,3,3,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2122.494043641025,2122.494043641025,2122.494043641025,2122.494043641025,2122.494043641025,2122.494043641025,2122.494043641025,2122.494043641025,2122.494043641025,2122.494043641025,a,1.7953554820269346,1,22,0,2124.312687996018,2125.8143930240185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16592,2022-10-28_15h15.59.757,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.1094454735859,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,0,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2126.3148331110133,2126.3148331110133,2126.3148331110133,2126.3148331110133,2126.3148331110133,2126.3148331110133,2126.3148331110133,2126.3148331110133,2126.3148331110133,2126.3148331110133,l,5.5180574000114575,1,23,0,2131.854505009018,2133.3560359160183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16592,2022-10-28_15h15.59.757,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.1094454735859,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2133.8567319710273,2133.8567319710273,2133.8567319710273,2133.8567319710273,2133.8567319710273,2133.8567319710273,2133.8567319710273,2133.8567319710273,2133.8567319710273,2133.8567319710273,l,3.6883343810332008,1,24,0,2137.5772666680277,2139.07919439103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16592,2022-10-28_15h15.59.757,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.1094454735859,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,0,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2139.579655194015,2139.579655194015,2139.579655194015,2139.579655194015,2139.579655194015,2139.579655194015,2139.579655194015,2139.579655194015,2139.579655194015,2139.579655194015,a,0.4848435200401582,10,34,0,2140.0969284760067,2141.5984629580053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16592,2022-10-28_15h15.59.757,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.1094454735859,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,0,7,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2142.098957995011,2142.098957995011,2142.098957995011,2142.098957995011,2142.098957995011,2142.098957995011,2142.098957995011,2142.098957995011,2142.098957995011,2142.098957995011,a,0.3674559320206754,10,44,0,2142.482707209012,2143.984381230024,2143.984381230024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16592,2022-10-28_15h15.59.757,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.1094454735859,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,0,8,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2144.48500572599,2144.48500572599,2144.48500572599,2144.48500572599,2144.48500572599,2144.48500572599,2144.48500572599,2144.48500572599,2144.48500572599,2144.48500572599,a,0.01938989502377808,1,45,0,2144.535122296016,2146.0367734340252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16592,2022-10-28_15h15.59.757,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.1094454735859,
