LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,fix.started,training_feedback_txt.stopped,fix.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,prac_fback_text.started,prac_fback_text.stopped,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,star.started,hegagon.started,triangle.started,circle.started,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_fback.started,top_target.stopped,tgt_fix.stopped,bot_target.stopped,target_resp.stopped,vts_fback.stopped,blockNum,norew_fback.started,norew_fback.stopped,key_resp_2.keys,key_resp_2.rt,rewExpectancy,feedbk_text.started,feedbk_text.stopped,text_3.started,debrief.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate,
1,0,0,0,0,1,0,0,triangle,circle,2,0,2,0,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399.6639925651252,399.6639925651252,399.6639925651252,399.6639925651252,399.6639925651252,399.6639925651252,399.6639925651252,399.6639925651252,399.6639925651252,399.6639925651252,a,1.5798599226400256,10,685,2,401.2643413171172,402.765095544979,402.765095544979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11285,2022-11-30_10h22.22.609,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.87891501713894,
0,0,1,0,0,1,0,0,hexagon,circle,2,0,2,0,0,4,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,403.26692595891654,403.26692595891654,403.26692595891654,403.26692595891654,403.26692595891654,403.26692595891654,403.26692595891654,403.26692595891654,403.26692595891654,403.26692595891654,a,1.9706466067582369,1,686,2,405.27007244201377,406.78497751709074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11285,2022-11-30_10h22.22.609,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.87891501713894,
0,1,0,0,0,0,0,1,circle,star,2,0,2,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407.28523399913684,407.28523399913684,407.28523399913684,407.28523399913684,407.28523399913684,407.28523399913684,407.28523399913684,407.28523399913684,407.28523399913684,407.28523399913684,a,1.057702056132257,10,696,2,408.372831128072,409.8879807102494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11285,2022-11-30_10h22.22.609,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.87891501713894,
0,0,0,1,1,0,0,0,star,triangle,2,0,2,0,0,6,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410.3881274200976,410.3881274200976,410.3881274200976,410.3881274200976,410.3881274200976,410.3881274200976,410.3881274200976,410.3881274200976,410.3881274200976,410.3881274200976,l,0.8016906208358705,10,706,2,411.2216057810001,412.7222907091491,412.7222907091491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11285,2022-11-30_10h22.22.609,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.87891501713894,
0,0,0,1,0,1,0,0,star ,circle,2,0,2,0,0,7,7,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,413.22422739584,413.22422739584,413.22422739584,413.22422739584,413.22422739584,413.22422739584,413.22422739584,413.22422739584,413.22422739584,413.22422739584,l,1.7567975586280227,10,716,2,415.0085365790874,416.50861339922994,416.50861339922994,417.0088688759133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11285,2022-11-30_10h22.22.609,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.87891501713894,
0,1,0,0,1,0,0,0,circle,triangle,2,0,2,0,0,8,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,417.0088688759133,417.0088688759133,417.0088688759133,417.0088688759133,417.0088688759133,417.0088688759133,417.0088688759133,417.0088688759133,417.0088688759133,417.0088688759133,l,0.9096037289127707,1,717,2,417.9452808368951,419.44491851795465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11285,2022-11-30_10h22.22.609,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.87891501713894,
0,0,0,1,0,0,1,0,star,hexagon,2,0,2,0,0,9,9,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419.9453362710774,419.9453362710774,419.9453362710774,419.9453362710774,419.9453362710774,419.9453362710774,419.9453362710774,419.9453362710774,419.9453362710774,419.9453362710774,a,1.932722388766706,10,727,2,421.8982651778497,423.3983853640966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11285,2022-11-30_10h22.22.609,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.87891501713894,
1,0,0,0,0,0,0,1,triangle,star,2,0,2,0,0,10,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,423.89843982318416,423.89843982318416,423.89843982318416,423.89843982318416,423.89843982318416,423.89843982318416,423.89843982318416,423.89843982318416,423.89843982318416,423.89843982318416,a,1.1852514347992837,10,737,2,425.1156098549254,426.61637296993285,426.61637296993285,427.1161877932027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11285,2022-11-30_10h22.22.609,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.87891501713894,
0,0,1,0,1,0,0,0,hexagon,triangle,2,0,2,0,0,11,11,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,427.1161877932027,427.1161877932027,427.1161877932027,427.1161877932027,427.1161877932027,427.1161877932027,427.1161877932027,427.1161877932027,427.1161877932027,427.1161877932027,l,0.7463479656726122,10,747,2,427.88303501717746,429.3856629161164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11285,2022-11-30_10h22.22.609,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.87891501713894,
1,0,0,0,0,0,1,0,triangle,hexagon,2,0,2,0,1,0,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,429.88580335397273,429.88580335397273,429.88580335397273,429.88580335397273,429.88580335397273,429.88580335397273,429.88580335397273,429.88580335397273,429.88580335397273,429.88580335397273,a,0.7554227188229561,1,748,2,430.67186834895983,432.1865851362236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11285,2022-11-30_10h22.22.609,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.87891501713894,
