LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,fix.started,training_feedback_txt.stopped,fix.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,prac_fback_text.started,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,prac_fback_text.stopped,star.started,hegagon.started,triangle.started,circle.started,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,top_target.stopped,tgt_fix.stopped,bot_target.stopped,target_resp.stopped,alt,task,condition,target_resp.keys,rewCond,vts_fback.started,target_resp.rt,vts_fback.stopped,blockNum,norew_fback.started,norew_fback.stopped,key_resp_2.keys,key_resp_2.rt,rewExpectancy,feedbk_text.started,feedbk_text.stopped,text_3.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,27,0,27,0,,,,,,,,,,,,,,,,1,1138,,,1449.7396855420084,,,125,B,triangle,0.0011483699781820178,,,,,1,0,,,,,,,,,,,,1446.0855581440264,1446.0855581440264,1446.0855581440264,1446.0855581440264,1447.5873608980328,1447.5873608980328,1447.5873608980328,1447.5873608980328,1447.5873608980328,1447.5873608980328,1447.5873608980328,1447.5873608980328,,,,,switch,number,numSwt,d,Lo,,0.6176650419947691,,1,,,,,high,1448.238050799002,,,,,,,,,,,,,,,,11919,2022-10-31_10h45.34.358,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.866688873590654,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,28,0,28,0,,,,,,,,,,,,,,,,10,1148,,,1454.2113880329998,,,139,W,circle,0.017059088975656778,,,,,1,0,,,,,,,,,,,,1450.7410501250415,1450.7410501250415,1450.7410501250415,1450.7410501250415,1452.2091678089928,1452.2091678089928,1452.2091678089928,1452.2091678089928,1452.2425495699863,1452.2425495699863,1452.2425495699863,1452.2425495699863,,,,,repeat,number,numRpt,d,Hi,,0.4580994919524528,,1,,,,,high,1452.709592142026,,,,,,,,,,,,,,,,11919,2022-10-31_10h45.34.358,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.866688873590654,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,29,0,29,0,,,,,,,,,,,,,,,,1,1149,,,1458.9330710530048,,,160,Y,hexagon,0.0010761439916677773,,,,,1,0,,,,,,,,,,,,1455.1789971489925,1455.1789971489925,1455.1789971489925,1455.1789971489925,1456.6808021350298,1456.6808021350298,1456.6808021350298,1456.6808021350298,1456.6808021350298,1456.6808021350298,1456.6808021350298,1456.6808021350298,,,,,switch,letter,lettSwt,k,Lo,,0.7314348410000093,,1,,,,,high,1457.4482821419952,,,,,,,,,,,,,,,,11919,2022-10-31_10h45.34.358,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.866688873590654,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,30,0,30,0,,,,,,,,,,,,,,,,10,1159,,,1463.3213160129962,,1463.8220756280352,174,U,star,0.0011346819810569286,,,,,1,0,,,,,,,,,,,,1459.9175523270387,1459.9175523270387,1459.9175523270387,1459.9175523270387,1461.4194985380163,1461.4194985380163,1461.4194985380163,1461.4194985380163,1461.4194985380163,1461.4194985380163,1461.4194985380163,1461.4194985380163,,,,,repeat,letter,lettRpt,k,Hi,,0.3679350519669242,,1,,,,,high,1461.8195853690268,1463.3213160129962,,,,,,,,,,,,,,,11919,2022-10-31_10h45.34.358,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.866688873590654,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,31,0,31,0,,,,,,,,,,,,,,,,1,1160,,,1468.1767306920374,,,146,H,triangle,0.0004329379880800843,,,,,1,0,,,,,,,,,,,,1464.3059447120177,1464.3059447120177,1464.3059447120177,1464.3059447120177,1465.807493284985,1465.807493284985,1465.807493284985,1465.807493284985,1465.807493284985,1465.807493284985,1465.807493284985,1465.807493284985,,,,,switch,number,numSwt,d,Lo,,0.8278787519666366,,1,,,,,high,1466.6750506000244,,,,,,,,,,,,,,,,11919,2022-10-31_10h45.34.358,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.866688873590654,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,10,1170,,,1488.382256640005,,,174,Y,circle,0.001871599000878632,,,,,1,0,,,,,,,,,,,,1484.845235263987,1484.845235263987,1484.845235263987,1484.845235263987,1486.3468001240399,1486.3468001240399,1486.3468001240399,1486.3468001240399,1486.3468001240399,1486.3468001240399,1486.3468001240399,1486.3468001240399,,,,,switch,letter,lettSwt,k,Hi,,0.5051669960375875,,2,,,space,1.549516512954142,high,1486.897520293016,,,,,,,,,,,,,,,,11919,2022-10-31_10h45.34.358,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.866688873590654,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,0,1170,,,1492.9040115019889,,1493.404641155037,160,B,star,0.0012546480284072459,,,,,0,0,,,,,,,,,,,,1489.3666993420338,1489.3666993420338,1489.3666993420338,1489.3666993420338,1490.8684035820188,1490.8684035820188,1490.8684035820188,1490.8684035820188,1490.8684035820188,1490.8684035820188,1490.8684035820188,1490.8684035820188,,,,,repeat,letter,NA,k,Hi,,0.5023160499404185,,2,,,,,high,1491.4022310930304,1492.9040115019889,,,,,,,,,,,,,,,11919,2022-10-31_10h45.34.358,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.866688873590654,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,2,0,2,0,,,,,,,,,,,,,,,,1,1171,,,1497.6926453990163,,,132,S,hexagon,9.043398313224316e-05,,,,,1,1,,,,,,,,,,,,1493.8884305740357,1493.8884305740357,1493.8884305740357,1493.8884305740357,1495.3900051070377,1495.3900051070377,1495.3900051070377,1495.3900051070377,1495.3900051070377,1495.3900051070377,1495.3900051070377,1495.3900051070377,,,,,repeat,letter,lettRpt,k,Lo,,0.7748118650051765,,2,,,,,high,1496.207624623028,,,,,,,,,,,,,,,,11919,2022-10-31_10h45.34.358,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.866688873590654,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,3,0,3,0,,,,,,,,,,,,,,,,1,1172,,,1502.3811472189846,,,125,F,triangle,0.0014923079870641232,,,,,1,0,,,,,,,,,,,,1498.6769261920126,1498.6769261920126,1498.6769261920126,1498.6769261920126,1500.1786309599993,1500.1786309599993,1500.1786309599993,1500.1786309599993,1500.1786309599993,1500.1786309599993,1500.1786309599993,1500.1786309599993,,,,,switch,number,numSwt,d,Lo,,0.6810469589545391,,2,,,,,high,1500.8807571890065,,,,,,,,,,,,,,,,11919,2022-10-31_10h45.34.358,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.866688873590654,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,4,0,4,0,,,,,,,,,,,,,,,,0,1172,,,1507.2199146280182,,,146,H,circle,0.001326182042248547,,,,,1,0,,,,,,,,,,,,1503.365616968018,1503.365616968018,1503.365616968018,1503.365616968018,1504.8673153950367,1504.8673153950367,1504.8673153950367,1504.8673153950367,1504.8673153950367,1504.8673153950367,1504.8673153950367,1504.8673153950367,,,,,switch,letter,lettSwt,j,Hi,,0.8241380689432845,,2,,,,,high,1505.7348508390132,,,,,,,,,,,,,,,,11919,2022-10-31_10h45.34.358,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.866688873590654,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,5,0,5,0,,,,,,,,,,,,,,,,1,1173,,,1511.9587008199887,,,139,D,triangle,0.0011537059908732772,,,,,1,0,,,,,,,,,,,,1508.2043532090029,1508.2043532090029,1508.2043532090029,1508.2043532090029,1509.705718317011,1509.705718317011,1509.705718317011,1509.705718317011,1509.705718317011,1509.705718317011,1509.705718317011,1509.705718317011,,,,,switch,number,numSwt,d,Lo,,0.7298587029799819,,2,,,,,high,1510.473356378032,,,,,,,,,,,,,,,,11919,2022-10-31_10h45.34.358,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.866688873590654,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,6,0,6,0,,,,,,,,,,,,,,,,10,1183,,,1516.4632091799867,,,167,U,star,0.0014081200351938605,,,,,1,0,,,,,,,,,,,,1512.9428075700416,1512.9428075700416,1512.9428075700416,1512.9428075700416,1514.4442895230022,1514.4442895230022,1514.4442895230022,1514.4442895230022,1514.4442895230022,1514.4442895230022,1514.4442895230022,1514.4442895230022,,,,,switch,letter,lettSwt,k,Hi,,0.47961996495723724,,2,,,,,high,1514.9617827170296,,,,,,,,,,,,,,,,11919,2022-10-31_10h45.34.358,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.866688873590654,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,7,0,7,0,,,,,,,,,,,,,,,,1,1184,,,1521.1850292989984,,1521.6855974739883,181,W,hexagon,0.0011180290021002293,,,,,1,0,,,,,,,,,,,,1517.4310530049843,1517.4310530049843,1517.4310530049843,1517.4310530049843,1518.9325017580413,1518.9325017580413,1518.9325017580413,1518.9325017580413,1518.9325017580413,1518.9325017580413,1518.9325017580413,1518.9325017580413,,,,,switch,number,numSwt,f,Lo,,0.7188648409792222,,2,,,,,high,1519.683637463022,1521.1850292989984,,,,,,,,,,,,,,,11919,2022-10-31_10h45.34.358,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.866688873590654,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,8,0,8,0,,,,,,,,,,,,,,,,0,1184,,,1525.8569059130386,,1526.3575430820347,174,Y,star,-0.00022741005523130298,,,,,1,0,,,,,,,,,,,,1522.169464502018,1522.169464502018,1522.169464502018,1522.169464502018,1523.6711832089932,1523.6711832089932,1523.6711832089932,1523.6711832089932,1523.6711832089932,1523.6711832089932,1523.6711832089932,1523.6711832089932,,,,,switch,letter,lettSwt,k,Hi,,0.6518317890004255,,2,,,,,high,1524.3554771729978,1525.8569059130386,,,,,,,,,,,,,,,11919,2022-10-31_10h45.34.358,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.866688873590654,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,9,0,9,0,,,,,,,,,,,,,,,,1,1185,,,1530.4624390270328,,,160,B,triangle,-0.00015294202603399754,,,,,1,0,,,,,,,,,,,,1526.8412709070253,1526.8412709070253,1526.8412709070253,1526.8412709070253,1528.3432703790022,1528.3432703790022,1528.3432703790022,1528.3432703790022,1528.3432703790022,1528.3432703790022,1528.3432703790022,1528.3432703790022,,,,,switch,number,numSwt,f,Lo,,0.5893898789654486,,2,,,,,high,1528.977384435013,,,,,,,,,,,,,,,,11919,2022-10-31_10h45.34.358,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.866688873590654,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,10,0,10,0,,,,,,,,,,,,,,,,1,1186,,,1535.1172660139855,,,132,S,hexagon,0.0011311990092508495,,,,,1,0,,,,,,,,,,,,1531.4466804430122,1531.4466804430122,1531.4466804430122,1531.4466804430122,1532.948154593003,1532.948154593003,1532.948154593003,1532.948154593003,1532.948154593003,1532.948154593003,1532.948154593003,1532.948154593003,,,,,switch,letter,lettSwt,k,Lo,,0.6409506569616497,,2,,,,,high,1533.617173648032,,,,,,,,,,,,,,,,11919,2022-10-31_10h45.34.358,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.866688873590654,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,11,0,11,0,,,,,,,,,,,,,,,,0,1186,,,1539.9393634950393,,1540.4397633020417,125,F,circle,0.001356469001621008,,,,,1,0,,,,,,,,,,,,1536.101531960012,1536.101531960012,1536.101531960012,1536.101531960012,1537.6031833470333,1537.6031833470333,1537.6031833470333,1537.6031833470333,1537.6031833470333,1537.6031833470333,1537.6031833470333,1537.6031833470333,,,,,switch,number,numSwt,d,Hi,,0.8017301149666309,,2,,,,,high,1538.4377220930182,1539.9393634950393,,,,,,,,,,,,,,,11919,2022-10-31_10h45.34.358,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.866688873590654,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,12,0,12,0,,,,,,,,,,,,,,,,1,1187,,,1544.7947128650267,,,146,H,hexagon,-0.0002622519969008863,,,,,1,0,,,,,,,,,,,,1540.9235992730246,1540.9235992730246,1540.9235992730246,1540.9235992730246,1542.4252959319856,1542.4252959319856,1542.4252959319856,1542.4252959319856,1542.4252959319856,1542.4252959319856,1542.4252959319856,1542.4252959319856,,,,,repeat,number,numRpt,d,Lo,,0.8253498869598843,,2,,,,,high,1543.2930701380246,,,,,,,,,,,,,,,,11919,2022-10-31_10h45.34.358,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.866688873590654,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,13,0,13,0,,,,,,,,,,,,,,,,10,1197,,,1549.1826574100414,,,139,D,star,0.0011657049763016403,,,,,1,0,,,,,,,,,,,,1545.7622397390078,1545.7622397390078,1545.7622397390078,1545.7622397390078,1547.263822590001,1547.263822590001,1547.263822590001,1547.263822590001,1547.263822590001,1547.263822590001,1547.263822590001,1547.263822590001,,,,,switch,letter,lettSwt,j,Hi,,0.3879629519651644,,2,,,,,high,1547.6979185400414,,,,,,,,,,,,,,,,11919,2022-10-31_10h45.34.358,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.866688873590654,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,14,0,14,0,,,,,,,,,,,,,,,,10,1207,,,1553.6544443080202,,,167,U,circle,0.001287869003135711,,,,,1,0,,,,,,,,,,,,1550.1672525330214,1550.1672525330214,1550.1672525330214,1550.1672525330214,1551.668725798023,1551.668725798023,1551.668725798023,1551.668725798023,1551.668725798023,1551.668725798023,1551.668725798023,1551.668725798023,,,,,repeat,letter,lettRpt,k,Hi,,0.4555226329830475,,2,,,,,high,1552.1693924590363,,,,,,,,,,,,,,,,11919,2022-10-31_10h45.34.358,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.866688873590654,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,15,0,15,0,,,,,,,,,,,,,,,,1,1208,,,1558.2927946720156,,,181,W,triangle,0.0013379479642026126,,,,,1,0,,,,,,,,,,,,1554.6388982289936,1554.6388982289936,1554.6388982289936,1554.6388982289936,1556.1403576679877,1556.1403576679877,1556.1403576679877,1556.1403576679877,1556.1403576679877,1556.1403576679877,1556.1403576679877,1556.1403576679877,,,,,switch,number,numSwt,f,Lo,,0.6240548319765367,,2,,,,,high,1556.807827821991,,,,,,,,,,,,,,,,11919,2022-10-31_10h45.34.358,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.866688873590654,
