LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,training_feedback_txt.stopped,fix.started,fix.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,top_target_prac1.stopped,tgt_fix_prac1.stopped,bott_target_prac1.stopped,target_resp_prac1.stopped,acc,E1,target_resp_prac1.keys,pracBlock,prac_fback_text.started,prac_fback_text.stopped,target_resp_prac1.rt,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,star.started,hegagon.started,triangle.started,circle.started,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_fback.started,vts_fback.stopped,blockNum,norew_fback.started,norew_fback.stopped,key_resp_2.keys,key_resp_2.rt,rewExpectancy,feedbk_text.started,feedbk_text.stopped,text_3.started,debrief.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,0,9,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,484.7333389510168,484.7333389510168,484.7333389510168,484.7333389510168,484.7333389510168,484.7333389510168,484.7333389510168,484.7333389510168,484.7333389510168,484.7333389510168,a,0.5207523809804115,10,64,0,485.28386739399866,,486.7853962210065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60300,2022-11-22_08h04.11.743,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.21672552549697,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,0,10,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,487.28599863901036,487.28599863901036,487.28599863901036,487.28599863901036,487.28599863901036,487.28599863901036,487.28599863901036,487.28599863901036,487.28599863901036,487.28599863901036,a,0.544932415970834,10,74,0,487.85325534801814,,489.3548955300066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60300,2022-11-22_08h04.11.743,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.21672552549697,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,489.85542930901283,489.85542930901283,489.85542930901283,489.85542930901283,489.85542930901283,489.85542930901283,489.85542930901283,489.85542930901283,489.85542930901283,489.85542930901283,a,0.5296949909825344,10,84,0,490.40615024999715,,491.90776211800403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60300,2022-11-22_08h04.11.743,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.21672552549697,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,1,0,12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,492.4083638510201,492.4083638510201,492.4083638510201,492.4083638510201,492.4083638510201,492.4083638510201,492.4083638510201,492.4083638510201,492.4083638510201,492.4083638510201,l,0.5649095079861581,1,85,0,492.992410019011,,494.4941929000197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60300,2022-11-22_08h04.11.743,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.21672552549697,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,1,1,13,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,494.99454839300597,494.99454839300597,494.99454839300597,494.99454839300597,494.99454839300597,494.99454839300597,494.99454839300597,494.99454839300597,494.99454839300597,494.99454839300597,a,0.8362878289772198,1,86,0,495.8622376200219,,497.3638876490004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60300,2022-11-22_08h04.11.743,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.21672552549697,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,1,2,14,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,497.86458189602126,497.86458189602126,497.86458189602126,497.86458189602126,497.86458189602126,497.86458189602126,497.86458189602126,497.86458189602126,497.86458189602126,497.86458189602126,a,0.6094525999797042,10,96,0,498.49844570001005,,500.00014955402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60300,2022-11-22_08h04.11.743,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.21672552549697,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,1,3,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.50073783900007,500.50073783900007,500.50073783900007,500.50073783900007,500.50073783900007,500.50073783900007,500.50073783900007,500.50073783900007,500.50073783900007,500.50073783900007,a,1.0352288789872546,1,97,0,501.5685944400029,,503.0700608830084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60300,2022-11-22_08h04.11.743,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.21672552549697,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,1,4,16,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,503.57057388301473,503.57057388301473,503.57057388301473,503.57057388301473,503.57057388301473,503.57057388301473,503.57057388301473,503.57057388301473,503.57057388301473,503.57057388301473,l,0.70968594198348,10,107,0,504.30473160301335,,505.8064325750165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60300,2022-11-22_08h04.11.743,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.21672552549697,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,1,5,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,506.3069975200051,506.3069975200051,506.3069975200051,506.3069975200051,506.3069975200051,506.3069975200051,506.3069975200051,506.3069975200051,506.3069975200051,506.3069975200051,l,0.5841748899838421,1,108,0,506.9077091650106,508.40926810901146,508.40926810901146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60300,2022-11-22_08h04.11.743,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.21672552549697,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,1,6,18,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,508.90991280501476,508.90991280501476,508.90991280501476,508.90991280501476,508.90991280501476,508.90991280501476,508.90991280501476,508.90991280501476,508.90991280501476,508.90991280501476,a,0.4347453989612404,1,109,0,509.3769628400041,,510.8786762240052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60300,2022-11-22_08h04.11.743,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.21672552549697,
