LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,fix.started,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,top_target_prac1.stopped,tgt_fix_prac1.stopped,bott_target_prac1.stopped,target_resp_prac1.stopped,acc,E1,target_resp_prac1.keys,pracBlock,prac_fback_text.started,prac_fback_text.stopped,fix.stopped,target_resp_prac1.rt,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,star.started,hegagon.started,triangle.started,circle.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_fback.started,blockNum,norew_fback.started,key_resp_2.keys,key_resp_2.rt,rewExpectancy,feedbk_text.started,feedbk_text.stopped,text_3.started,debrief.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,0,9,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.23306091400445,102.23306091400445,102.23306091400445,102.23306091400445,102.23306091400445,102.23306091400445,102.23306091400445,102.23306091400445,102.23306091400445,102.23306091400445,l,0.7907116660207976,1,19,0,103.05058428499615,104.55218159599463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14066,2022-11-08_10h23.42.245,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94715633633594,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.05291550699621,105.05291550699621,105.05291550699621,105.05291550699621,105.05291550699621,105.05291550699621,105.05291550699621,105.05291550699621,105.05291550699621,105.05291550699621,a,0.7496027479937766,1,20,0,105.8204076680122,107.32198420300847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14066,2022-11-08_10h23.42.245,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94715633633594,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,0,11,11,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.82209771699854,107.82209771699854,107.82209771699854,107.82209771699854,107.82209771699854,107.82209771699854,107.82209771699854,107.82209771699854,107.82209771699854,107.82209771699854,l,0.6918488130322658,10,30,0,108.53996221499983,110.04171981598483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14066,2022-11-08_10h23.42.245,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94715633633594,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,1,0,12,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.54231713700574,110.54231713700574,110.54231713700574,110.54231713700574,110.54231713700574,110.54231713700574,110.54231713700574,110.54231713700574,110.54231713700574,110.54231713700574,a,0.8948271620029118,10,40,0,111.46004305800307,112.96148543298477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14066,2022-11-08_10h23.42.245,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94715633633594,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,1,1,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.46203068600153,113.46203068600153,113.46203068600153,113.46203068600153,113.46203068600153,113.46203068600153,113.46203068600153,113.46203068600153,113.46203068600153,113.46203068600153,a,0.6074865680129733,10,50,0,114.09605972399004,115.59777324800962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14066,2022-11-08_10h23.42.245,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94715633633594,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,1,2,14,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.09823448499083,116.09823448499083,116.09823448499083,116.09823448499083,116.09823448499083,116.09823448499083,116.09823448499083,116.09823448499083,116.09823448499083,116.09823448499083,l,0.6392137299990281,10,60,0,116.76588951499434,118.2673388599942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14066,2022-11-08_10h23.42.245,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94715633633594,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,1,3,15,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.76805797099951,118.76805797099951,118.76805797099951,118.76805797099951,118.76805797099951,118.76805797099951,118.76805797099951,118.76805797099951,118.76805797099951,118.76805797099951,a,0.6680636070086621,10,70,0,119.46862990100635,120.97022763700807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14066,2022-11-08_10h23.42.245,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94715633633594,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,1,4,16,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.47081043000799,121.47081043000799,121.47081043000799,121.47081043000799,121.47081043000799,121.47081043000799,121.47081043000799,121.47081043000799,121.47081043000799,121.47081043000799,l,0.7347901320026722,1,71,0,122.23832823999692,123.7399580499914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14066,2022-11-08_10h23.42.245,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94715633633594,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,1,5,17,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.24057030398399,124.24057030398399,124.24057030398399,124.24057030398399,124.24057030398399,124.24057030398399,124.24057030398399,124.24057030398399,124.24057030398399,124.24057030398399,a,1.1695041340135504,1,72,0,125.44210579598439,126.94364897999913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14066,2022-11-08_10h23.42.245,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94715633633594,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,1,6,18,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.4440711659845,127.4440711659845,127.4440711659845,127.4440711659845,127.4440711659845,127.4440711659845,127.4440711659845,127.4440711659845,127.4440711659845,127.4440711659845,l,0.6671828069956973,10,82,0,128.12831192600424,129.6298380669905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14066,2022-11-08_10h23.42.245,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94715633633594,
