LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,fix.started,training_feedback_txt.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,prac_fback_text.started,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,star.started,hegagon.started,triangle.started,circle.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,top_target.stopped,tgt_fix.stopped,bot_target.stopped,target_resp.stopped,alt,task,condition,target_resp.keys,rewCond,vts_fback.started,vts_fback.stopped,fix.stopped,target_resp.rt,blockNum,norew_fback.started,norew_fback.stopped,key_resp_2.keys,key_resp_2.rt,rewExpectancy,feedbk_text.started,feedbk_text.stopped,text_3.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1288.8003562750018,space,20.219061819007038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61261,2022-10-26_14h46.38.686,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.977512629804274,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,0,0,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1333.830210977998,1333.830210977998,1333.830210977998,1333.830210977998,1333.830210977998,1333.830210977998,1333.830210977998,1333.830210977998,1333.830210977998,1333.830210977998,a,1.9011786650007707,1,1,0,1335.756893234,1337.2586270409956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61261,2022-10-26_14h46.38.686,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.977512629804274,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,0,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1337.7591453659988,1337.7591453659988,1337.7591453659988,1337.7591453659988,1337.7591453659988,1337.7591453659988,1337.7591453659988,1337.7591453659988,1337.7591453659988,1337.7591453659988,l,1.6763445260075969,10,11,0,1339.4608859849977,1340.9626402020003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61261,2022-10-26_14h46.38.686,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.977512629804274,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1341.4632814799988,1341.4632814799988,1341.4632814799988,1341.4632814799988,1341.4632814799988,1341.4632814799988,1341.4632814799988,1341.4632814799988,1341.4632814799988,1341.4632814799988,a,1.2692101530046784,10,21,0,1342.764670724995,1344.2662095849955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61261,2022-10-26_14h46.38.686,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.977512629804274,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,0,3,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1344.7667525259967,1344.7667525259967,1344.7667525259967,1344.7667525259967,1344.7667525259967,1344.7667525259967,1344.7667525259967,1344.7667525259967,1344.7667525259967,1344.7667525259967,a,1.1408251990069402,10,31,0,1345.934754582995,1347.4363088129976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61261,2022-10-26_14h46.38.686,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.977512629804274,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,0,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1347.9369578729966,1347.9369578729966,1347.9369578729966,1347.9369578729966,1347.9369578729966,1347.9369578729966,1347.9369578729966,1347.9369578729966,1347.9369578729966,1347.9369578729966,l,0.9080958500053384,1,32,0,1348.871357365002,1350.373100662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61261,2022-10-26_14h46.38.686,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.977512629804274,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,0,5,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350.8737254449952,1350.8737254449952,1350.8737254449952,1350.8737254449952,1350.8737254449952,1350.8737254449952,1350.8737254449952,1350.8737254449952,1350.8737254449952,1350.8737254449952,l,1.545762438006932,10,42,0,1352.4418391709987,1353.9435326409948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61261,2022-10-26_14h46.38.686,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.977512629804274,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,0,6,6,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1354.4440703369983,1354.4440703369983,1354.4440703369983,1354.4440703369983,1354.4440703369983,1354.4440703369983,1354.4440703369983,1354.4440703369983,1354.4440703369983,1354.4440703369983,l,1.4710948790088878,1,43,0,1355.9462276010017,1357.4474929089993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61261,2022-10-26_14h46.38.686,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.977512629804274,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,0,7,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1357.9479945659987,1357.9479945659987,1357.9479945659987,1357.9479945659987,1357.9479945659987,1357.9479945659987,1357.9479945659987,1357.9479945659987,1357.9479945659987,1357.9479945659987,a,1.0408450899994932,1,44,0,1359.0158894179986,1360.5176670040019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61261,2022-10-26_14h46.38.686,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.977512629804274,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,0,8,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1361.0180373019975,1361.0180373019975,1361.0180373019975,1361.0180373019975,1361.0180373019975,1361.0180373019975,1361.0180373019975,1361.0180373019975,1361.0180373019975,1361.0180373019975,l,1.6581150890051504,1,45,0,1362.7033203039973,1364.204122465002,1364.204122465002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61261,2022-10-26_14h46.38.686,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.977512629804274,
