LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,fix.started,training_feedback_txt.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,prac_fback_text.started,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,star.started,hegagon.started,triangle.started,circle.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,top_target.stopped,tgt_fix.stopped,bot_target.stopped,target_resp.stopped,alt,task,condition,target_resp.keys,rewCond,vts_fback.started,vts_fback.stopped,fix.stopped,target_resp.rt,blockNum,norew_fback.started,key_resp_2.keys,key_resp_2.rt,rewExpectancy,feedbk_text.started,feedbk_text.stopped,text_3.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,0,9,9,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.4048400259926,115.4048400259926,115.4048400259926,115.4048400259926,115.4048400259926,115.4048400259926,115.4048400259926,115.4048400259926,115.4048400259926,115.4048400259926,l,0.8807122130237985,1,28,0,116.30588119498861,117.80735898399143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40705,2022-10-28_09h09.04.353,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.9464135417548,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,0,10,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.30793914898823,118.30793914898823,118.30793914898823,118.30793914898823,118.30793914898823,118.30793914898823,118.30793914898823,118.30793914898823,118.30793914898823,118.30793914898823,l,0.3614372770098271,10,38,0,118.69168166599411,120.19342803499603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40705,2022-10-28_09h09.04.353,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.9464135417548,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,0,11,11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.69389996399696,120.69389996399696,120.69389996399696,120.69389996399696,120.69389996399696,120.69389996399696,120.69389996399696,120.69389996399696,120.69389996399696,120.69389996399696,l,1.2553482580115087,10,48,0,121.9787415079918,123.48038633899705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40705,2022-10-28_09h09.04.353,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.9464135417548,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,1,0,12,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.98084577899135,123.98084577899135,123.98084577899135,123.98084577899135,123.98084577899135,123.98084577899135,123.98084577899135,123.98084577899135,123.98084577899135,123.98084577899135,l,1.6490533800097182,1,49,0,125.64925919599773,127.15109090799524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40705,2022-10-28_09h09.04.353,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.9464135417548,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,1,1,13,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.65147693599283,127.65147693599283,127.65147693599283,127.65147693599283,127.65147693599283,127.65147693599283,127.65147693599283,127.65147693599283,127.65147693599283,127.65147693599283,a,1.65047443601361,1,50,0,129.3200717439904,130.82163041899912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40705,2022-10-28_09h09.04.353,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.9464135417548,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,1,2,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.32216111999878,131.32216111999878,131.32216111999878,131.32216111999878,131.32216111999878,131.32216111999878,131.32216111999878,131.32216111999878,131.32216111999878,131.32216111999878,a,1.738851368005271,10,60,0,133.09080837399233,134.59245187298802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40705,2022-10-28_09h09.04.353,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.9464135417548,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,1,3,15,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.09316375599883,135.09316375599883,135.09316375599883,135.09316375599883,135.09316375599883,135.09316375599883,135.09316375599883,135.09316375599883,135.09316375599883,135.09316375599883,a,3.9686404910025885,1,61,0,139.0807301219902,140.58247350199963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40705,2022-10-28_09h09.04.353,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.9464135417548,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,1,4,16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.0830087279901,141.0830087279901,141.0830087279901,141.0830087279901,141.0830087279901,141.0830087279901,141.0830087279901,141.0830087279901,141.0830087279901,141.0830087279901,l,1.53799925801286,10,71,0,142.65143193399126,144.153142886993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40705,2022-10-28_09h09.04.353,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.9464135417548,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,1,5,17,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.6536582080007,144.6536582080007,144.6536582080007,144.6536582080007,144.6536582080007,144.6536582080007,144.6536582080007,144.6536582080007,144.6536582080007,144.6536582080007,l,1.9759441140049603,10,81,0,146.65591570599645,148.1575813209929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40705,2022-10-28_09h09.04.353,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.9464135417548,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,1,6,18,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.65810297399003,148.65810297399003,148.65810297399003,148.65810297399003,148.65810297399003,148.65810297399003,148.65810297399003,148.65810297399003,148.65810297399003,148.65810297399003,a,2.04312344401842,1,82,0,150.72713273999398,152.22883074299898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40705,2022-10-28_09h09.04.353,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.9464135417548,
