LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,fix.started,training_feedback_txt.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,prac_fback_text.started,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,prac_fback_text.stopped,star.started,hegagon.started,triangle.started,circle.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_fback.started,blockNum,norew_fback.started,norew_fback.stopped,key_resp_2.keys,key_resp_2.rt,rewExpectancy,feedbk_text.started,feedbk_text.stopped,fix.stopped,text_3.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,10,0,10,0,,,,,,,,,,,,,,,,0,1123,,,1552.3778831390082,,S,146,circle,0.0011638929863693193,,,,,1,0,,,,,,,,,,,,1548.7707968449977,1548.7707968449977,1548.7707968449977,1548.7707968449977,1550.2757625119993,1550.2757625119993,1550.2757625119993,1550.2757625119993,1550.2757625119993,1550.2757625119993,1550.2757625119993,1550.2757625119993,switch,letter,lettSwt,f,0.5795777800085489,Hi,,1,,,,,high,1550.8772243349958,,,,,,,,,,,,,,,,,17433,2022-10-31_13h58.59.421,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.935576927775955,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,11,0,11,0,,,,,,,,,,,,,,,,1,1124,,,1556.8327267690038,,Y,160,triangle,0.0014652050012955442,,,,,1,0,,,,,,,,,,,,1553.3570773149986,1553.3570773149986,1553.3570773149986,1553.3570773149986,1554.864049701995,1554.864049701995,1554.864049701995,1554.864049701995,1554.864049701995,1554.864049701995,1554.864049701995,1554.864049701995,repeat,letter,lettRpt,f,0.43880017500487156,Lo,,1,,,,,high,1555.3316225710005,,,,,,,,,,,,,,,,,17433,2022-10-31_13h58.59.421,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.935576927775955,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,12,0,12,0,,,,,,,,,,,,,,,,1,1125,,,1561.2043371000036,,D,181,triangle,0.0015838929975870997,,,,,1,0,,,,,,,,,,,,1557.812044642007,1557.812044642007,1557.812044642007,1557.812044642007,1559.3189958459989,1559.3189958459989,1559.3189958459989,1559.3189958459989,1559.3189958459989,1559.3189958459989,1559.3189958459989,1559.3189958459989,repeat,letter,lettRpt,d,0.35975204200076405,Lo,,1,,,,,high,1559.702803770997,,,,,,,,,,,,,,,,,17433,2022-10-31_13h58.59.421,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.935576927775955,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,13,0,13,0,,,,,,,,,,,,,,,,10,1135,,,1565.759446601005,,B,125,circle,0.0014084569993428886,,,,,1,0,,,,,,,,,,,,1562.1852401200013,1562.1852401200013,1562.1852401200013,1562.1852401200013,1563.6904149170005,1563.6904149170005,1563.6904149170005,1563.6904149170005,1563.6904149170005,1563.6904149170005,1563.6904149170005,1563.6904149170005,repeat,letter,lettRpt,d,0.5491467730025761,Hi,,1,,,,,high,1564.2586414020043,,,,,,,,,,,,,,,,,17433,2022-10-31_13h58.59.421,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.935576927775955,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,14,0,14,0,,,,,,,,,,,,,,,,1,1136,,,1570.3978465569962,,H,167,hexagon,0.0019157390051987022,,,,,1,0,,,,,,,,,,,,1566.740542619009,1566.740542619009,1566.740542619009,1566.740542619009,1568.2453693620046,1568.2453693620046,1568.2453693620046,1568.2453693620046,1568.2453693620046,1568.2453693620046,1568.2453693620046,1568.2453693620046,repeat,letter,lettRpt,d,0.6338001249969238,Lo,,1,,,,,high,1568.8967112600076,,,,,,,,,,,,,,,,,17433,2022-10-31_13h58.59.421,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.935576927775955,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,15,0,15,0,,,,,,,,,,,,,,,,10,1146,,,1574.9027722379979,,U,132,star,0.0012897609994979575,,,,,1,0,,,,,,,,,,,,1571.3768266749976,1571.3768266749976,1571.3768266749976,1571.3768266749976,1572.8838858719973,1572.8838858719973,1572.8838858719973,1572.8838858719973,1572.8838858719973,1572.8838858719973,1572.8838858719973,1572.8838858719973,switch,number,numSwt,j,0.49054678800166585,Hi,,1,,,,,high,1573.4016121970053,,,,,,,,,,,,,,,,,17433,2022-10-31_13h58.59.421,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.935576927775955,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,16,0,16,0,,,,,,,,,,,,,,,,1,1147,,,1579.4414675519947,,S,125,triangle,0.001528396998764947,,,,,1,0,,,,,,,,,,,,1575.8821342559968,1575.8821342559968,1575.8821342559968,1575.8821342559968,1577.388966434999,1577.388966434999,1577.388966434999,1577.388966434999,1577.388966434999,1577.388966434999,1577.388966434999,1577.388966434999,repeat,number,numRpt,j,0.5295965149998665,Lo,,1,,,,,high,1577.9400908020034,,,,,,,,,,,,,,,,,17433,2022-10-31_13h58.59.421,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.935576927775955,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,17,0,17,0,,,,,,,,,,,,,,,,0,1147,,,1583.9795672549953,,U,181,circle,0.0016229449975071475,,,,,0,0,,,,,,,,,,,,1580.4202745259972,1580.4202745259972,1580.4202745259972,1580.4202745259972,1581.9273244350043,1581.9273244350043,1581.9273244350043,1581.9273244350043,1581.9273244350043,1581.9273244350043,1581.9273244350043,1581.9273244350043,repeat,number,NA,j,0.5266694240126526,Lo,,1,,,,,high,1582.4785876120004,,,,,,,,,,,,,,,,,17433,2022-10-31_13h58.59.421,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.935576927775955,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,18,0,18,0,,,,,,,,,,,,,,,,0,1147,,,1588.5011376720067,,W,174,star,0.0015280299994628876,,,,,1,1,,,,,,,,,,,,1584.9604683880025,1584.9604683880025,1584.9604683880025,1584.9604683880025,1586.4654144730011,1586.4654144730011,1586.4654144730011,1586.4654144730011,1586.4654144730011,1586.4654144730011,1586.4654144730011,1586.4654144730011,repeat,number,numRpt,k,0.5171868660108885,Hi,,1,,,,,high,1587.0007672909996,,,,,,,,,,,,,,,,,17433,2022-10-31_13h58.59.421,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.935576927775955,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,19,0,19,0,,,,,,,,,,,,,,,,1,1148,,,1592.9225188319979,,B,167,hexagon,0.0013626389991259202,,,,,1,0,,,,,,,,,,,,1589.480158521008,1589.480158521008,1589.480158521008,1589.480158521008,1590.9872665500006,1590.9872665500006,1590.9872665500006,1590.9872665500006,1590.9872665500006,1590.9872665500006,1590.9872665500006,1590.9872665500006,repeat,number,numRpt,k,0.4109861940087285,Lo,,1,,,,,high,1591.421534951005,,,,,,,,,,,,,,,,,17433,2022-10-31_13h58.59.421,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.935576927775955,
