LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,training_feedback_txt.stopped,fix.started,fix.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,prac_fback_text.started,prac_fback_text.stopped,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,star.started,hegagon.started,triangle.started,circle.started,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,top_target.stopped,tgt_fix.stopped,bot_target.stopped,target_resp.stopped,alt,task,condition,target_resp.keys,rewCond,vts_fback.started,target_resp.rt,vts_fback.stopped,blockNum,norew_fback.started,norew_fback.stopped,key_resp_2.keys,key_resp_2.rt,rewExpectancy,feedbk_text.started,feedbk_text.stopped,text_3.started,debrief.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,0,6,0,6,0,,,,,,,,,,,,,,,,1,1261,,,,2369.52026347199,,167,H,star,0.01682442903984338,,,,,1,1,,,,,,,,,,,,2365.495869203005,2365.495869203005,2365.495869203005,2365.495869203005,2366.969302205951,2366.969302205951,2366.969302205951,2366.969302205951,2367.002446086961,2367.002446086961,2367.002446086961,2367.002446086961,,,,,repeat,number,numRpt,f,Lo,,1.0038058090722188,,5,,,,,high,2368.0087521940004,,,,,,,,,,,,,,,,,30821,2022-11-04_09h04.43.869,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.99473102564513,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,0,7,0,7,0,,,,,,,,,,,,,,,,0,1261,,,,2374.290458427975,,125,D,circle,0.01684655691497028,,,,,1,0,,,,,,,,,,,,2370.516281751916,2370.516281751916,2370.516281751916,2370.516281751916,2371.9896217089845,2371.9896217089845,2371.9896217089845,2371.9896217089845,2372.0227328919573,2372.0227328919573,2372.0227328919573,2372.0227328919573,,,,,switch,letter,lettSwt,j,Hi,,0.7542136010015383,,5,,,,,high,2372.779784022947,,,,,,,,,,,,,,,,,30821,2022-11-04_09h04.43.869,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.99473102564513,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,0,8,0,8,0,,,,,,,,,,,,,,,,0,1261,,,,2380.87785262696,,146,F,star,0.01698893797583878,,,,,0,0,,,,,,,,,,,,2375.2861096359557,2375.2861096359557,2375.2861096359557,2375.2861096359557,2376.758107585949,2376.758107585949,2376.758107585949,2376.758107585949,2376.7910640429473,2376.7910640429473,2376.7910640429473,2376.7910640429473,,,,,repeat,letter,NA,k,Hi,,2.5787654620362446,,5,,,,,high,2379.367179101915,,,,,,,,,,,,,,,,,30821,2022-11-04_09h04.43.869,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.99473102564513,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,0,9,0,9,0,,,,,,,,,,,,,,,,0,1261,,,,2387.6674023469677,,160,B,triangle,0.016883611911907792,,,,,1,1,,,,,,,,,,,,2381.873846179922,2381.873846179922,2381.873846179922,2381.873846179922,2383.3473356179893,2383.3473356179893,2383.3473356179893,2383.3473356179893,2383.380772262928,2383.380772262928,2383.380772262928,2383.380772262928,,,,,repeat,letter,lettRpt,j,Hi,,2.7960046930238605,,5,,,,,high,2386.171888437937,,,,,,,,,,,,,,,,,30821,2022-11-04_09h04.43.869,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.99473102564513,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,0,10,0,10,0,,,,,,,,,,,,,,,,0,1261,,,,2394.388408234925,,181,Y,circle,0.0017393199959769845,,,,,1,0,,,,,,,,,,,,2388.6630175149767,2388.6630175149767,2388.6630175149767,2388.6630175149767,2390.151597038959,2390.151597038959,2390.151597038959,2390.151597038959,2390.168078350951,2390.168078350951,2390.168078350951,2390.168078350951,,,,,repeat,letter,lettRpt,k,Hi,,2.696462230058387,,5,,,,,high,2392.8747033549007,,,,,,,,,,,,,,,,,30821,2022-11-04_09h04.43.869,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.99473102564513,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,0,11,0,11,0,,,,,,,,,,,,,,,,1,1262,,,,2399.541963718948,2400.042215022957,174,W,hexagon,0.016910153906792402,,,,,1,0,,,,,,,,,,,,2395.384238555911,2395.384238555911,2395.384238555911,2395.384238555911,2396.8559297729516,2396.8559297729516,2396.8559297729516,2396.8559297729516,2396.889041044982,2396.889041044982,2396.889041044982,2396.889041044982,,,,,repeat,letter,lettRpt,k,Lo,,1.1680686060572043,,5,,,,,high,2398.0470760290045,,,,,,,,,,,,,,,,,30821,2022-11-04_09h04.43.869,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.99473102564513,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,0,12,0,12,0,,,,,,,,,,,,,,,,0,1262,,,,2404.7456187399803,,139,U,circle,0.0006550210528075695,,,,,1,0,,,,,,,,,,,,2400.5381256069522,2400.5381256069522,2400.5381256069522,2400.5381256069522,2402.028020716971,2402.028020716971,2402.028020716971,2402.028020716971,2402.0447379489196,2402.0447379489196,2402.0447379489196,2402.0447379489196,,,,,repeat,letter,lettRpt,k,Hi,,1.1708974239882082,,5,,,,,high,2403.2349408449372,,,,,,,,,,,,,,,,,30821,2022-11-04_09h04.43.869,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.99473102564513,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,0,13,0,13,0,,,,,,,,,,,,,,,,0,1262,,,,2410.0994988739258,,132,S,triangle,0.01680773205589503,,,,,1,0,,,,,,,,,,,,2405.741579829948,2405.741579829948,2405.741579829948,2405.741579829948,2407.2149916649796,2407.2149916649796,2407.2149916649796,2407.2149916649796,2407.24817892001,2407.24817892001,2407.24817892001,2407.24817892001,,,,,repeat,letter,lettRpt,k,Hi,,1.3392581569496542,,5,,,,,high,2408.5860868969467,,,,,,,,,,,,,,,,,30821,2022-11-04_09h04.43.869,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.99473102564513,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,0,14,0,14,0,,,,,,,,,,,,,,,,0,1262,,,,2414.636344944942,,167,H,star,0.016861982992850244,,,,,0,0,,,,,,,,,,,,2411.095574031002,2411.095574031002,2411.095574031002,2411.095574031002,2412.568943219958,2412.568943219958,2412.568943219958,2412.568943219958,2412.602272309945,2412.602272309945,2412.602272309945,2412.602272309945,,,,,switch,number,NA,d,Hi,,0.5305005670525134,,5,,,,,high,2413.125812146929,,,,,,,,,,,,,,,,,30821,2022-11-04_09h04.43.869,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.99473102564513,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,0,15,0,15,0,,,,,,,,,,,,,,,,1,1263,,,,2420.0734545829473,,125,D,hexagon,0.01660046703182161,,,,,1,1,,,,,,,,,,,,2415.632144375937,2415.632144375937,2415.632144375937,2415.632144375937,2417.1058311619563,2417.1058311619563,2417.1058311619563,2417.1058311619563,2417.138944902923,2417.138944902923,2417.138944902923,2417.138944902923,,,,,repeat,number,numRpt,d,Lo,,1.4275684860767797,,5,,,,,high,2418.5623100019293,,,,,,,,,,,,,,,,,30821,2022-11-04_09h04.43.869,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.99473102564513,
