LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,training_feedback_txt.stopped,fix.started,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,prac_fback_text.started,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,top_target_prac2.stopped,tgt_fix_prac2.stopped,bott_target_prac2.stopped,target_resp_prac2.stopped,target_resp_prac2.keys,prac_fback_text.stopped,fix.stopped,target_resp_prac2.rt,star.started,hegagon.started,triangle.started,circle.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_fback.started,blockNum,norew_fback.started,norew_fback.stopped,key_resp_2.keys,key_resp_2.rt,rewExpectancy,feedbk_text.started,feedbk_text.stopped,text_3.started,debrief.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,17,0,17,0,,,,,,,,,,,,,,,,1,1056,,,,1917.7222053350124,125,F,star,0.001493463001679629,,,,,1,0,,,,,,,,,,,,,,,,,1913.9120406620204,1913.9120406620204,1913.9120406620204,1913.9120406620204,1915.4213238950178,1915.4213238950178,1915.4213238950178,1915.4213238950178,1915.4213238950178,1915.4213238950178,1915.4213238950178,1915.4213238950178,switch,letter,lettSwt,j,0.7840909729711711,Lo,,1,,,,,low,1916.2220493470086,1917.7222053350124,,,,,,,,,,,,,,,,80700,2022-12-01_08h10.00.849,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.91531976085079,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,18,0,18,0,,,,,,,,,,,,,,,,0,1056,,,,1922.3953801479947,167,B,triangle,0.0012396219826769084,,,,,1,0,,,,,,,,,,,,,,,,,1918.7010460960155,1918.7010460960155,1918.7010460960155,1918.7010460960155,1920.209529017011,1920.209529017011,1920.209529017011,1920.209529017011,1920.209529017011,1920.209529017011,1920.209529017011,1920.209529017011,switch,number,numSwt,f,0.6515296779689379,Hi,,1,,,,,low,1920.8936872310005,,,,,,,,,,,,,,,,,80700,2022-12-01_08h10.00.849,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.91531976085079,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,19,0,19,0,,,,,,,,,,,,,,,,1,1057,,,,1926.900564822019,174,Y,hexagon,0.001696826977422461,,,,,1,0,,,,,,,,,,,,,,,,,1923.372839707008,1923.372839707008,1923.372839707008,1923.372839707008,1924.8815409710223,1924.8815409710223,1924.8815409710223,1924.8815409710223,1924.8815409710223,1924.8815409710223,1924.8815409710223,1924.8815409710223,repeat,number,numRpt,f,0.49045121896779165,Hi,,1,,,,,low,1925.3989832249936,,,,,,,,,,,,,,,,,80700,2022-12-01_08h10.00.849,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.91531976085079,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,20,0,20,0,,,,,,,,,,,,,,,,0,1057,,,,1931.5389419830171,146,D,hexagon,0.0015376450028270483,,,,,1,0,,,,,,,,,,,,,,,,,1927.8783892640204,1927.8783892640204,1927.8783892640204,1927.8783892640204,1929.3867689720064,1929.3867689720064,1929.3867689720064,1929.3867689720064,1929.3867689720064,1929.3867689720064,1929.3867689720064,1929.3867689720064,switch,letter,lettSwt,j,0.6340664529707283,Hi,,1,,,,,low,1930.0375991970068,,,,,,,,,,,,,,,,,80700,2022-12-01_08h10.00.849,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.91531976085079,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,21,0,21,0,,,,,,,,,,,,,,,,1,1058,,,,1936.1605980150052,139,U,circle,0.000989552994724363,,,,,1,0,,,,,,,,,,,,,,,,,1932.5167771560082,1932.5167771560082,1932.5167771560082,1932.5167771560082,1934.0249047060206,1934.0249047060206,1934.0249047060206,1934.0249047060206,1934.0249047060206,1934.0249047060206,1934.0249047060206,1934.0249047060206,switch,number,numSwt,d,0.6105461539991666,Lo,,1,,,,,low,1934.6590266179992,,,,,,,,,,,,,,,,,80700,2022-12-01_08h10.00.849,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.91531976085079,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,22,0,22,0,,,,,,,,,,,,,,,,10,1068,,,,1941.0830640119966,132,H,star,0.0013509670097846538,,,,,1,0,,,,,,,,,,,,,,,,,1937.137983223016,1937.137983223016,1937.137983223016,1937.137983223016,1938.6467891840148,1938.6467891840148,1938.6467891840148,1938.6467891840148,1938.6467891840148,1938.6467891840148,1938.6467891840148,1938.6467891840148,switch,letter,lettSwt,j,0.9179889199731406,Lo,,1,,,,,low,1939.5812254330085,,,,,,,,,,,,,,,,,80700,2022-12-01_08h10.00.849,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.91531976085079,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,23,0,23,0,,,,,,,,,,,,,,,,0,1068,,,,1945.6210053730174,160,S,triangle,0.0010195699869655073,,,,,1,0,,,,,,,,,,,,,,,,,1942.0605946610158,1942.0605946610158,1942.0605946610158,1942.0605946610158,1943.5688709570095,1943.5688709570095,1943.5688709570095,1943.5688709570095,1943.5688709570095,1943.5688709570095,1943.5688709570095,1943.5688709570095,switch,number,numSwt,f,0.5228634259547107,Hi,,1,,,,,low,1944.1196162560082,,,,,,,,,,,,,,,,,80700,2022-12-01_08h10.00.849,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.91531976085079,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,24,0,24,0,,,,,,,,,,,,,,,,1,1069,,,,1950.1929402980022,174,D,star,0.0015681940130889416,,,,,1,0,,,,,,,,,,,,,,,,,1946.598709323007,1946.598709323007,1946.598709323007,1946.598709323007,1948.1071296269947,1948.1071296269947,1948.1071296269947,1948.1071296269947,1948.1071296269947,1948.1071296269947,1948.1071296269947,1948.1071296269947,repeat,number,numRpt,f,0.5601708859903738,Lo,,1,,,,,low,1948.6911121500016,,,,,,,,,,,,,,,,,80700,2022-12-01_08h10.00.849,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.91531976085079,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,25,0,25,0,,,,,,,,,,,,,,,,1,1070,,,,1954.9817085580144,146,H,circle,0.0021807750163134187,,,,,1,0,,,,,,,,,,,,,,,,,1951.169621937006,1951.169621937006,1951.169621937006,1951.169621937006,1952.6787477320177,1952.6787477320177,1952.6787477320177,1952.6787477320177,1952.6787477320177,1952.6787477320177,1952.6787477320177,1952.6787477320177,switch,letter,lettSwt,j,0.7733309929899406,Lo,,1,,,,,low,1953.479517934,,,,,,,,,,,,,,,,,80700,2022-12-01_08h10.00.849,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.91531976085079,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,26,0,26,0,,,,,,,,,,,,,,,,0,1070,,,,1959.569685082999,139,W,triangle,0.0014620849979110062,,,,,1,0,,,,,,,,,,,,,,,,,1955.9578086569963,1955.9578086569963,1955.9578086569963,1955.9578086569963,1957.4673474860028,1957.4673474860028,1957.4673474860028,1957.4673474860028,1957.4673474860028,1957.4673474860028,1957.4673474860028,1957.4673474860028,switch,number,numSwt,d,0.5686567789816763,Hi,,1,,,,,low,1958.068109290005,,,,,,,,,,,,,,,,,80700,2022-12-01_08h10.00.849,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.91531976085079,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,27,0,27,0,,,,,,,,,,,,,,,,0,1070,,,,1964.1915415569965,181,B,hexagon,0.0017919869860634208,,,,,1,0,,,,,,,,,,,,,,,,,1960.5483877950173,1960.5483877950173,1960.5483877950173,1960.5483877950173,1962.0558910510154,1962.0558910510154,1962.0558910510154,1962.0558910510154,1962.0558910510154,1962.0558910510154,1962.0558910510154,1962.0558910510154,repeat,number,numRpt,f,0.6042165839753579,Hi,,1,,,,,low,1962.6899242679938,,,,,,,,,,,,,,,,,80700,2022-12-01_08h10.00.849,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.91531976085079,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,28,0,28,0,,,,,,,,,,,,,,,,1,1071,,,,1969.2303710280103,125,F,star,0.0020235849951859564,,,,,1,0,,,,,,,,,,,,,,,,,1965.168874487019,1965.168874487019,1965.168874487019,1965.168874487019,1966.6776144970208,1966.6776144970208,1966.6776144970208,1966.6776144970208,1966.6776144970208,1966.6776144970208,1966.6776144970208,1966.6776144970208,switch,letter,lettSwt,j,1.023296526982449,Lo,,1,,,,,low,1967.7291612749978,,,,,,,,,,,,,,,,,80700,2022-12-01_08h10.00.849,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.91531976085079,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,29,0,29,0,,,,,,,,,,,,,,,,1,1072,,,,1973.7521611429984,132,Y,circle,0.0014419149956665933,,,,,1,0,,,,,,,,,,,,,,,,,1970.2079443070106,1970.2079443070106,1970.2079443070106,1970.2079443070106,1971.7165471590124,1971.7165471590124,1971.7165471590124,1971.7165471590124,1971.7165471590124,1971.7165471590124,1971.7165471590124,1971.7165471590124,repeat,letter,lettRpt,k,0.5107590899860952,Lo,,1,,,,,low,1972.2504423180071,,,,,,,,,,,,,,,,,80700,2022-12-01_08h10.00.849,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.91531976085079,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,30,0,30,0,,,,,,,,,,,,,,,,10,1082,,,,1978.373937730008,167,S,hexagon,0.0015877849946264178,,,,,1,0,,,,,,,,,,,,,,,,,1974.7297175860149,1974.7297175860149,1974.7297175860149,1974.7297175860149,1976.2381130580034,1976.2381130580034,1976.2381130580034,1976.2381130580034,1976.2381130580034,1976.2381130580034,1976.2381130580034,1976.2381130580034,repeat,letter,lettRpt,k,0.6133933859819081,Hi,,1,,,,,low,1976.8721962020209,,,,,,,,,,,,,,,,,80700,2022-12-01_08h10.00.849,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.91531976085079,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,31,0,31,0,,,,,,,,,,,,,,,,0,1082,,,,1983.0623533680046,160,U,triangle,0.0016312340158037841,,,,,1,0,,,,,,,,,,,,,,,,,1979.351851178013,1979.351851178013,1979.351851178013,1979.351851178013,1980.8599824779958,1980.8599824779958,1980.8599824779958,1980.8599824779958,1980.8599824779958,1980.8599824779958,1980.8599824779958,1980.8599824779958,repeat,letter,lettRpt,k,0.6728504599886946,Hi,,1,,,,,low,1981.5606705819955,,,,,,,,,,,,,,,,,80700,2022-12-01_08h10.00.849,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.91531976085079,
