LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,fix.started,training_feedback_txt.stopped,fix.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,prac_fback_text.started,prac_fback_text.stopped,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,star.started,hegagon.started,triangle.started,circle.started,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_fback.started,vts_fback.stopped,blockNum,norew_fback.started,norew_fback.stopped,key_resp_2.keys,key_resp_2.rt,rewExpectancy,feedbk_text.started,feedbk_text.stopped,text_3.started,debrief.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,12,0,12,0,,,,,,,,,,,,,,,,1,999,,,1376.0839812438935,,,W,139,star,0.016660864930599928,,,,,1,0,,,,,,,,,,,,1372.0931939308066,1372.0931939308066,1372.0931939308066,1372.0931939308066,1373.5663037400227,1373.5663037400227,1373.5663037400227,1373.5663037400227,1373.5997067089193,1373.5997067089193,1373.5997067089193,1373.5997067089193,repeat,number,numRpt,j,0.9734683230053633,Lo,,,0,,,,,high,1374.5702734829392,,,,,,,,,,,,,,,,,58413,2022-11-17_13h58.43.079,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.86501480712133,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,13,0,13,0,,,,,,,,,,,,,,,,1,1000,,,1380.987495785812,,,S,125,hexagon,0.016729261027649045,,,,,1,0,,,,,,,,,,,,1377.0800824549515,1377.0800824549515,1377.0800824549515,1377.0800824549515,1378.5534484989475,1378.5534484989475,1378.5534484989475,1378.5534484989475,1378.5863558168057,1378.5863558168057,1378.5863558168057,1378.5863558168057,switch,letter,lettSwt,f,0.8927156049758196,Lo,,,0,,,,,high,1379.473625242943,,,,,,,,,,,,,,,,,58413,2022-11-17_13h58.43.079,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.86501480712133,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,14,0,14,0,,,,,,,,,,,,,,,,10,1010,,,1385.7245789319277,,,D,174,circle,0.016662779031321406,,,,,1,0,,,,,,,,,,,,1381.9839996539522,1381.9839996539522,1381.9839996539522,1381.9839996539522,1383.45705455984,1383.45705455984,1383.45705455984,1383.45705455984,1383.4900959269144,1383.4900959269144,1383.4900959269144,1383.4900959269144,repeat,letter,lettRpt,d,0.7248255221638829,Hi,,,0,,,,,high,1384.21028973395,,,,,,,,,,,,,,,,,58413,2022-11-17_13h58.43.079,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.86501480712133,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,15,0,15,0,,,,,,,,,,,,,,,,10,1020,,,1390.8447061609477,,,H,132,triangle,0.016783752012997866,,,,,1,0,,,,,,,,,,,,1386.7201006868854,1386.7201006868854,1386.7201006868854,1386.7201006868854,1388.1951887218747,1388.1951887218747,1388.1951887218747,1388.1951887218747,1388.227379801916,1388.227379801916,1388.227379801916,1388.227379801916,switch,number,numSwt,j,1.1062460241373628,Hi,,,0,,,,,high,1389.330973078031,,,,,,,,,,,,,,,,,58413,2022-11-17_13h58.43.079,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.86501480712133,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,16,0,16,0,,,,,,,,,,,,,,,,0,1020,,,1397.0320968579035,,,S,167,circle,0.01641081110574305,,,,,1,0,,,,,,,,,,,,1391.8409207568038,1391.8409207568038,1391.8409207568038,1391.8409207568038,1393.314181126887,1393.314181126887,1393.314181126887,1393.314181126887,1393.3471600068733,1393.3471600068733,1393.3471600068733,1393.3471600068733,repeat,number,numRpt,k,2.173788756132126,Hi,,,0,,,,,high,1395.5186626578216,,,,,,,,,,,,,,,,,58413,2022-11-17_13h58.43.079,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.86501480712133,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,17,0,17,0,,,,,,,,,,,,,,,,10,1030,,,1401.8358083018102,,,F,181,triangle,0.016805395018309355,,,,,1,0,,,,,,,,,,,,1398.0285513079725,1398.0285513079725,1398.0285513079725,1398.0285513079725,1399.5013231879566,1399.5013231879566,1399.5013231879566,1399.5013231879566,1399.5350333738606,1399.5350333738606,1399.5350333738606,1399.5350333738606,repeat,number,numRpt,k,0.7908190691377968,Hi,,,0,,,,,high,1400.321891689906,,,,,,,,,,,,,,,,,58413,2022-11-17_13h58.43.079,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.86501480712133,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,18,0,18,0,,,,,,,,,,,,,,,,1,1031,,,1406.6555549879558,,,D,139,star,0.016873907996341586,,,,,1,0,,,,,,,,,,,,1402.8324003329035,1402.8324003329035,1402.8324003329035,1402.8324003329035,1404.3049035649747,1404.3049035649747,1404.3049035649747,1404.3049035649747,1404.338563725818,1404.338563725818,1404.338563725818,1404.338563725818,switch,letter,lettSwt,d,0.803129545180127,Lo,,,0,,,,,high,1405.1419101958163,,,,,,,,,,,,,,,,,58413,2022-11-17_13h58.43.079,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.86501480712133,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,19,0,19,0,,,,,,,,,,,,,,,,1,1032,,,1411.4759952479508,,,U,160,hexagon,0.016568361083045602,,,,,1,0,,,,,,,,,,,,1407.6519090468064,1407.6519090468064,1407.6519090468064,1407.6519090468064,1409.125404804945,1409.125404804945,1409.125404804945,1409.125404804945,1409.1584443959873,1409.1584443959873,1409.1584443959873,1409.1584443959873,switch,number,numSwt,k,0.8087234941776842,Lo,,,0,,,,,high,1409.9621142458636,,,,,,,,,,,,,,,,,58413,2022-11-17_13h58.43.079,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.86501480712133,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,20,0,20,0,,,,,,,,,,,,,,,,10,1042,,,1416.0963736849371,,,B,174,triangle,0.01663975906558335,,,,,1,0,,,,,,,,,,,,1412.4724471538793,1412.4724471538793,1412.4724471538793,1412.4724471538793,1413.945714993868,1413.945714993868,1413.945714993868,1413.945714993868,1413.9789701499976,1413.9789701499976,1413.9789701499976,1413.9789701499976,switch,letter,lettSwt,d,0.6117447530850768,Hi,,,0,,,,,high,1414.582591457991,,,,,,,,,,,,,,,,,58413,2022-11-17_13h58.43.079,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.86501480712133,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,21,0,21,0,,,,,,,,,,,,,,,,1,1043,,,1420.8999330848455,,,Y,125,star,0.016682961955666542,,,,,1,0,,,,,,,,,,,,1417.092678291956,1417.092678291956,1417.092678291956,1417.092678291956,1418.565899360925,1418.565899360925,1418.565899360925,1418.565899360925,1418.5989393310156,1418.5989393310156,1418.5989393310156,1418.5989393310156,repeat,letter,lettRpt,f,0.7954720691777766,Lo,,,0,,,,,high,1419.3860803069547,,,,,,,,,,,,,,,,,58413,2022-11-17_13h58.43.079,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.86501480712133,
