LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,fix.started,training_feedback_txt.stopped,fix.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,top_target_prac1.stopped,tgt_fix_prac1.stopped,bott_target_prac1.stopped,target_resp_prac1.stopped,acc,E1,target_resp_prac1.keys,pracBlock,prac_fback_text.started,prac_fback_text.stopped,target_resp_prac1.rt,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,star.started,hegagon.started,triangle.started,circle.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_fback.started,blockNum,norew_fback.started,norew_fback.stopped,top_target.stopped,tgt_fix.stopped,bot_target.stopped,target_resp.stopped,key_resp_2.keys,key_resp_2.rt,rewExpectancy,feedbk_text.started,feedbk_text.stopped,text_3.started,debrief.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,0,9,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299.1765992490109,299.1765992490109,299.1765992490109,299.1765992490109,299.1765992490109,299.1765992490109,299.1765992490109,299.1765992490109,299.1765992490109,299.1765992490109,a,1.3692513150162995,10,55,0,300.5780567000038,302.0797621780075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95243,2022-11-17_08h05.55.763,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.93543862033485,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,0,10,10,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302.58034940902144,302.58034940902144,302.58034940902144,302.58034940902144,302.58034940902144,302.58034940902144,302.58034940902144,302.58034940902144,302.58034940902144,302.58034940902144,l,0.7549196409818251,1,56,0,303.3646696100186,304.8662141110108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95243,2022-11-17_08h05.55.763,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.93543862033485,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,0,11,11,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305.36662155602244,305.36662155602244,305.36662155602244,305.36662155602244,305.36662155602244,305.36662155602244,305.36662155602244,305.36662155602244,305.36662155602244,305.36662155602244,l,1.0290574180253316,1,57,0,306.417842010007,307.919788935018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95243,2022-11-17_08h05.55.763,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.93543862033485,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,1,0,12,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308.42018033200293,308.42018033200293,308.42018033200293,308.42018033200293,308.42018033200293,308.42018033200293,308.42018033200293,308.42018033200293,308.42018033200293,308.42018033200293,a,0.27114982999046333,1,58,0,308.7204476610059,310.22198723000474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95243,2022-11-17_08h05.55.763,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.93543862033485,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,1,1,13,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310.7227411100175,310.7227411100175,310.7227411100175,310.7227411100175,310.7227411100175,310.7227411100175,310.7227411100175,310.7227411100175,310.7227411100175,310.7227411100175,l,0.37513423000928015,10,68,0,311.1232396060077,312.62475150701357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95243,2022-11-17_08h05.55.763,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.93543862033485,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,1,2,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313.12524391899933,313.12524391899933,313.12524391899933,313.12524391899933,313.12524391899933,313.12524391899933,313.12524391899933,313.12524391899933,313.12524391899933,313.12524391899933,l,0.4033390929980669,10,78,0,313.5591697350028,315.0607757830003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95243,2022-11-17_08h05.55.763,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.93543862033485,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,1,3,15,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315.56123006902635,315.56123006902635,315.56123006902635,315.56123006902635,315.56123006902635,315.56123006902635,315.56123006902635,315.56123006902635,315.56123006902635,315.56123006902635,l,0.39904973199008964,1,79,0,315.97833029401954,317.4800984559988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95243,2022-11-17_08h05.55.763,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.93543862033485,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,1,4,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317.9807891410019,317.9807891410019,317.9807891410019,317.9807891410019,317.9807891410019,317.9807891410019,317.9807891410019,317.9807891410019,317.9807891410019,317.9807891410019,a,0.39634711400140077,10,89,0,318.39768485102104,319.89940033701714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95243,2022-11-17_08h05.55.763,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.93543862033485,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,1,5,17,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320.3999602140102,320.3999602140102,320.3999602140102,320.3999602140102,320.3999602140102,320.3999602140102,320.3999602140102,320.3999602140102,320.3999602140102,320.3999602140102,l,0.30629741700249724,10,99,0,320.73377167101717,322.2354749990045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95243,2022-11-17_08h05.55.763,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.93543862033485,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,1,6,18,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322.736148704018,322.736148704018,322.736148704018,322.736148704018,322.736148704018,322.736148704018,322.736148704018,322.736148704018,322.736148704018,322.736148704018,l,0.2762687719950918,1,100,0,323.0363824640226,324.5377635830082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95243,2022-11-17_08h05.55.763,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.93543862033485,
