LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,fix.started,training_feedback_txt.stopped,fix.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,prac_fback_text.started,prac_fback_text.stopped,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,star.started,hegagon.started,triangle.started,circle.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_fback.started,vts_fback.stopped,blockNum,norew_fback.started,norew_fback.stopped,key_resp_2.keys,key_resp_2.rt,rewExpectancy,feedbk_text.started,feedbk_text.stopped,text_3.started,debrief.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,6,0,13,0,13,0,,,,,,,,,,,,,,,,10,1539,,,2508.8083008159883,,,F,125,circle,0.001766970002790913,,,,,1,1,,,,,,,,,,,,2505.2810786369955,2505.2810786369955,2505.2810786369955,2505.2810786369955,2506.7893773370015,2506.7893773370015,2506.7893773370015,2506.7893773370015,2506.7893773370015,2506.7893773370015,2506.7893773370015,2506.7893773370015,switch,letter,lettSwt,d,0.4892161990283057,Hi,,,6,,,,,high,2507.3077660900017,,,,,,,,,,,,,,,,,38547,2022-11-22_14h01.26.924,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.97644641382636,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,6,0,14,0,14,0,,,,,,,,,,,,,,,,0,1539,,,2513.313302858005,,,W,181,triangle,0.001308314997004345,,,,,0,0,,,,,,,,,,,,2509.7847650299955,2509.7847650299955,2509.7847650299955,2509.7847650299955,2511.294384451001,2511.294384451001,2511.294384451001,2511.294384451001,2511.294384451001,2511.294384451001,2511.294384451001,2511.294384451001,repeat,letter,NA,d,0.4853282989934087,Hi,,,6,,,,,high,2511.8118329689896,,,,,,,,,,,,,,,,,38547,2022-11-22_14h01.26.924,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.97644641382636,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,6,0,15,0,15,0,,,,,,,,,,,,,,,,1,1540,,,2517.784713822999,,,H,167,star,0.0014583099982701242,,,,,1,1,,,,,,,,,,,,2514.2909289749805,2514.2909289749805,2514.2909289749805,2514.2909289749805,2515.7994424999924,2515.7994424999924,2515.7994424999924,2515.7994424999924,2515.7994424999924,2515.7994424999924,2515.7994424999924,2515.7994424999924,switch,number,numSwt,k,0.4555597790167667,Hi,,,6,,,,,high,2516.2843810839986,,,,,,,,,,,,,,,,,38547,2022-11-22_14h01.26.924,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.97644641382636,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,6,0,16,0,16,0,,,,,,,,,,,,,,,,0,1540,,,2522.323037830007,,,B,174,triangle,0.0016869060054887086,,,,,0,0,,,,,,,,,,,,2518.761481903988,2518.761481903988,2518.761481903988,2518.761481903988,2520.270993159007,2520.270993159007,2520.270993159007,2520.270993159007,2520.270993159007,2520.270993159007,2520.270993159007,2520.270993159007,repeat,number,NA,j,0.528886448009871,Hi,,,6,,,,,high,2520.8231942410057,,,,,,,,,,,,,,,,,38547,2022-11-22_14h01.26.924,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.97644641382636,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,6,0,17,0,17,0,,,,,,,,,,,,,,,,0,1540,,,2526.9281954820035,,,S,139,star,0.0013642779958900064,,,,,1,1,,,,,,,,,,,,2523.3009445509815,2523.3009445509815,2523.3009445509815,2523.3009445509815,2524.809263289004,2524.809263289004,2524.809263289004,2524.809263289004,2524.809263289004,2524.809263289004,2524.809263289004,2524.809263289004,repeat,number,numRpt,j,0.5919066100032069,Hi,,,6,,,,,high,2525.428647947003,,,,,,,,,,,,,,,,,38547,2022-11-22_14h01.26.924,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.97644641382636,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,6,0,18,0,18,0,,,,,,,,,,,,,,,,0,1540,,,2531.717045248981,,,Y,167,hexagon,0.0015214779996313155,,,,,0,0,,,,,,,,,,,,2527.9056098510046,2527.9056098510046,2527.9056098510046,2527.9056098510046,2529.4144458340015,2529.4144458340015,2529.4144458340015,2529.4144458340015,2529.4144458340015,2529.4144458340015,2529.4144458340015,2529.4144458340015,repeat,number,NA,j,0.7801174780179281,Hi,,,6,,,,,high,2530.216708389984,,,,,,,,,,,,,,,,,38547,2022-11-22_14h01.26.924,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.97644641382636,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,6,0,19,0,19,0,,,,,,,,,,,,,,,,10,1550,,,2536.2386776289786,,,D,125,circle,0.0015187530079856515,,,,,1,1,,,,,,,,,,,,2532.6946063629875,2532.6946063629875,2532.6946063629875,2532.6946063629875,2534.2029907589895,2534.2029907589895,2534.2029907589895,2534.2029907589895,2534.2029907589895,2534.2029907589895,2534.2029907589895,2534.2029907589895,switch,letter,lettSwt,d,0.5024497830017935,Hi,,,6,,,,,high,2534.7372015510045,,,,,,,,,,,,,,,,,38547,2022-11-22_14h01.26.924,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.97644641382636,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,6,0,20,0,20,0,,,,,,,,,,,,,,,,0,1550,,,2540.626890643005,,,F,181,circle,0.0016500450146850199,,,,,0,0,,,,,,,,,,,,2537.216014228994,2537.216014228994,2537.216014228994,2537.216014228994,2538.7244490059966,2538.7244490059966,2538.7244490059966,2538.7244490059966,2538.7244490059966,2538.7244490059966,2538.7244490059966,2538.7244490059966,repeat,letter,NA,f,0.38006307202158496,Hi,,,6,,,,,high,2539.1408494600037,,,,,,,,,,,,,,,,,38547,2022-11-22_14h01.26.924,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.97644641382636,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,6,0,21,0,21,0,,,,,,,,,,,,,,,,1,1551,,,2545.064740509988,,,W,160,hexagon,0.0012379349791444838,,,,,1,1,,,,,,,,,,,,2541.6042263149866,2541.6042263149866,2541.6042263149866,2541.6042263149866,2543.1126872469904,2543.1126872469904,2543.1126872469904,2543.1126872469904,2543.1126872469904,2543.1126872469904,2543.1126872469904,2543.1126872469904,repeat,letter,lettRpt,f,0.42420769299496897,Lo,,,6,,,,,high,2543.564570846007,,,,,,,,,,,,,,,,,38547,2022-11-22_14h01.26.924,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.97644641382636,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,6,0,22,0,22,0,,,,,,,,,,,,,,,,10,1561,,,2549.5031237879884,,,U,146,star,0.0016318679845426232,,,,,1,0,,,,,,,,,,,,2546.0426891869865,2546.0426891869865,2546.0426891869865,2546.0426891869865,2547.550974304002,2547.550974304002,2547.550974304002,2547.550974304002,2547.550974304002,2547.550974304002,2547.550974304002,2547.550974304002,repeat,letter,lettRpt,f,0.41928124500554986,Hi,,,6,,,,,high,2548.0026913679903,,,,,,,,,,,,,,,,,38547,2022-11-22_14h01.26.924,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.97644641382636,
