LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,fix.started,training_feedback_txt.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,prac_fback_text.started,top_target_prac1.stopped,tgt_fix_prac1.stopped,bott_target_prac1.stopped,target_resp_prac1.stopped,prac_fback_text.stopped,fix.stopped,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,star.started,hegagon.started,triangle.started,circle.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_fback.started,top_target.stopped,tgt_fix.stopped,bot_target.stopped,target_resp.stopped,vts_fback.stopped,blockNum,norew_fback.started,norew_fback.stopped,key_resp_2.keys,key_resp_2.rt,rewExpectancy,feedbk_text.started,feedbk_text.stopped,text_3.started,debrief.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,18,0,18,0,,,,,,,,,,,,,,,,10,1140,,,2391.926484690979,,D,139,circle,0.0015991730033420026,,,,,1,0,,,,,,,,,,,,,,,,,2388.3482251240057,2388.3482251240057,2388.3482251240057,2388.3482251240057,2389.8577236589626,2389.8577236589626,2389.8577236589626,2389.8577236589626,2389.8577236589626,2389.8577236589626,2389.8577236589626,2389.8577236589626,switch,number,numSwt,j,0.534807585994713,Hi,,,,,,,1,,,,,low,2390.4250746250036,,,,,,,,,,,,,,,,,13676,2022-12-02_14h54.06.036,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.93063509894357,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,19,0,19,0,,,,,,,,,,,,,,,,0,1140,,,2396.615534231998,,S,132,star,0.0016711310017853975,,,,,1,0,,,,,,,,,,,,,,,,,2392.9042844739743,2392.9042844739743,2392.9042844739743,2392.9042844739743,2394.4128709610086,2394.4128709610086,2394.4128709610086,2394.4128709610086,2394.4128709610086,2394.4128709610086,2394.4128709610086,2394.4128709610086,repeat,number,numRpt,j,0.6738460690248758,Hi,,,,,,,1,,,,,low,2395.1137584819808,,,,,,,,,,,,,,,,,13676,2022-12-02_14h54.06.036,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.93063509894357,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,20,0,20,0,,,,,,,,,,,,,,,,0,1140,,,2401.7542738069897,,Y,174,circle,0.0017264020279981196,,,,,0,0,,,,,,,,,,,,,,,,,2397.5937525609625,2397.5937525609625,2397.5937525609625,2397.5937525609625,2399.1014005029574,2399.1014005029574,2399.1014005029574,2399.1014005029574,2399.1014005029574,2399.1014005029574,2399.1014005029574,2399.1014005029574,repeat,number,NA,j,1.1226600600639358,Hi,,,,,,,1,,,,,low,2400.2527484479942,,,,,,,,,,,,,,,,,13676,2022-12-02_14h54.06.036,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.93063509894357,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,21,0,21,0,,,,,,,,,,,,,,,,10,1150,,,2406.175749980961,,H,181,triangle,0.0013543970417231321,,,,,1,1,,,,,,,,,,,,,,,,,2402.7314639689866,2402.7314639689866,2402.7314639689866,2402.7314639689866,2404.24035772396,2404.24035772396,2404.24035772396,2404.24035772396,2404.24035772396,2404.24035772396,2404.24035772396,2404.24035772396,repeat,number,numRpt,k,0.4070571450283751,Lo,,,,,,,1,,,,,low,2404.6740946029895,,,,,,,,,,,,,,,,,13676,2022-12-02_14h54.06.036,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.93063509894357,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,22,0,22,0,,,,,,,,,,,,,,,,1,1151,,,2410.7142362899613,,W,146,hexagon,0.0016471629496663809,,,,,1,0,,,,,,,,,,,,,,,,,2407.1526853760006,2407.1526853760006,2407.1526853760006,2407.1526853760006,2408.66180322296,2408.66180322296,2408.66180322296,2408.66180322296,2408.66180322296,2408.66180322296,2408.66180322296,2408.66180322296,repeat,number,numRpt,j,0.529007702076342,Lo,,,,,,,1,,,,,low,2409.2125114459777,,,,,,,,,,,,,,,,,13676,2022-12-02_14h54.06.036,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.93063509894357,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,23,0,23,0,,,,,,,,,,,,,,,,10,1161,,,2415.185699339956,,F,160,star,0.0014719219761900604,,,,,1,0,,,,,,,,,,,,,,,,,2411.691785109986,2411.691785109986,2411.691785109986,2411.691785109986,2413.2003340299707,2413.2003340299707,2413.2003340299707,2413.2003340299707,2413.2003340299707,2413.2003340299707,2413.2003340299707,2413.2003340299707,switch,letter,lettSwt,d,0.45588747604051605,Hi,,,,,,,1,,,,,low,2413.6841564979986,,,,,,,,,,,,,,,,,13676,2022-12-02_14h54.06.036,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.93063509894357,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,24,0,24,0,,,,,,,,,,,,,,,,1,1162,,,2419.6741059349733,,D,139,hexagon,0.0017298879683949053,,,,,1,0,,,,,,,,,,,,,,,,,2416.163199501985,2416.163199501985,2416.163199501985,2416.163199501985,2417.67174762598,2417.67174762598,2417.67174762598,2417.67174762598,2417.67174762598,2417.67174762598,2417.67174762598,2417.67174762598,repeat,letter,lettRpt,d,0.47895308799343184,Lo,,,,,,,1,,,,,low,2418.1724503909936,,,,,,,,,,,,,,,,,13676,2022-12-02_14h54.06.036,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.93063509894357,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,25,0,25,0,,,,,,,,,,,,,,,,1,1163,,,2424.145558143966,,B,125,triangle,0.0015315419877879322,,,,,1,0,,,,,,,,,,,,,,,,,2420.65070790099,2420.65070790099,2420.65070790099,2420.65070790099,2422.1600928489934,2422.1600928489934,2422.1600928489934,2422.1600928489934,2422.1600928489934,2422.1600928489934,2422.1600928489934,2422.1600928489934,switch,number,numSwt,j,0.45553928305162117,Lo,,,,,,,1,,,,,low,2422.6439114100067,,,,,,,,,,,,,,,,,13676,2022-12-02_14h54.06.036,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.93063509894357,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,26,0,26,0,,,,,,,,,,,,,,,,0,1163,,,2428.7005563849816,,Y,160,circle,0.0016320489812642336,,,,,1,0,,,,,,,,,,,,,,,,,2425.1226588319987,2425.1226588319987,2425.1226588319987,2425.1226588319987,2426.6316472899634,2426.6316472899634,2426.6316472899634,2426.6316472899634,2426.6316472899634,2426.6316472899634,2426.6316472899634,2426.6316472899634,repeat,number,numRpt,k,0.5433557060314342,Hi,,,,,,,1,,,,,low,2427.198931054969,,,,,,,,,,,,,,,,,13676,2022-12-02_14h54.06.036,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.93063509894357,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,27,0,27,0,,,,,,,,,,,,,,,,10,1173,,,2433.172159546986,,U,132,star,0.0014467400033026934,,,,,1,0,,,,,,,,,,,,,,,,,2429.6771358459955,2429.6771358459955,2429.6771358459955,2429.6771358459955,2431.186654524994,2431.186654524994,2431.186654524994,2431.186654524994,2431.186654524994,2431.186654524994,2431.186654524994,2431.186654524994,repeat,number,numRpt,j,0.4607604700140655,Hi,,,,,,,1,,,,,low,2431.6705808509723,,,,,,,,,,,,,,,,,13676,2022-12-02_14h54.06.036,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.93063509894357,
